ts_code,name,industry,area,market,list_date,list_status,trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,total_share,valuation_trade_days,valuation_window_start,valuation_window_end,pe_median_window,pb_median_window,pe_percentile_window,pb_percentile_window,indicator_ann_date,indicator_end_date,grossprofit_margin,netprofit_margin,roic,roic_yearly,roe,roe_yearly,debt_to_assets,ocf_to_profit,or_yoy,dt_netprofit_yoy,q_dtprofit,q_sales_yoy,balance_ann_date,balance_end_date,total_assets,total_liab,money_cap,st_borr,lt_borr,nca_within_1y,bond_payable,goodwill,total_hldr_eqy_exc_min_int,accounts_receiv,inventories,cash_ann_date,cash_end_date,n_cashflow_act,free_cashflow,n_cashflow_inv_act,n_cash_flows_fnc_act,audit_latest_end_date,audit_latest_ann_date,audit_result,audit_agency,industry_roic_avg,data_trade_date,data_finance_end_date,debt_ratio_pct,goodwill_to_equity_pct,interest_debt_yi,short_debt_yi,money_cap_yi,cash_cover_short_debt,interest_debt_to_equity_pct,roe_avg_5y,roic_avg_5y,gross_margin_avg_5y,net_margin_avg_5y,revenue_cagr_5y,dt_profit_cagr_5y,dt_profit_positive_years,ocf_positive_years,fcf_positive_years,ocf_5y_yi,net_income_5y_yi,dt_profit_5y_yi,fcf_5y_yi,ocf_net_income_ratio_5y,ocf_dt_profit_ratio_5y,dividend_5y_yi,dividend_years,dividend_payout_mean_pct,dividend_ocf_cover,fcf_yield_pct,ar_risk_flag,inventory_risk_flag,exclude_reason_count,exclude_reasons,risk_flags,stable_value_ok,high_quality_growth_ok,high_dividend_ok,turnaround_ok,turnaround_evidence,turnaround_risks,financial_quality_score,cashflow_quality_score,balance_sheet_score,growth_industry_score,valuation_margin_score,total_score
603444.SH,吉比特,互联网,福建,主板,20170104,L,20260430,406.61,14.4448,4.8776,4.2353,3.9439,2929263.2078,7204.1101,48.0,20260128,20260430,18.09,5.48705,14.583333333333334,25.0,20260424,20260331,93.7666,33.3727,8.8251,35.3004,8.9882,35.9528,21.6029,77.7454,62.6672,91.39,525579624.86,62.6672,20260424,20260331,9026967665.33,1950087964.57,4683179637.83,,,64402266.31,,3808266.8,6005516535.97,325739112.37,,20260424,20260331,579798113.69,454039839.6952,-187622909.61,-55769411.12,20241231,20250328,标准无保留意见,毕马威华振会计师事务所,4.067336249999999,20260430,20260331,21.602912925674143,0.06341281015863351,0.6440226631,0.6440226631,46.8317963783,72.71762169498099,1.0723851299761322,30.09092,31.61742,88.7826,35.45178,7.656787003973142,9.01896952000567,5,5,5,94.00653753440001,67.9307759817,64.2170346323,102.67732760046101,1.3838578490509899,1.463887862039591,16.216924025999997,5,26.578664654320246,5.796816793596786,9.798662783246119,False,False,0,,大股东质押比例：本地库缺失，需二次核验,True,False,True,False,毛利率或净利率出现修复；经营现金流未明显恶化；估值仍处于可接受的偏低位置,,25.0,25.0,19.99,10.34,13.23,93.56
300487.SZ,蓝晓科技,化工原料,陕西,创业板,20150702,L,20260430,63.75,36.6381,7.2887,11.5258,1.2187,3245738.9145,50913.5516,48.0,20260128,20260430,41.72280000000001,8.920950000000001,4.166666666666666,4.166666666666666,20260423,20260331,55.4818,29.994,3.6299,14.5196,4.0463,16.1852,31.5658,94.2148,5.2433,-4.92,181124807.99,5.2433,20260423,20260331,6751700320.46,2131230065.11,2696082310.09,49295053.07,0.0,,464623703.75,26053448.6,4602355687.6,767035694.79,1174162664.44,20260423,20260331,200128167.78,143325835.4948,-77918199.71,25523487.88,,,,,3.856096875,20260430,20260331,31.565827331696454,0.5660894196029892,5.1391875682,0.4929505307,26.9608231009,54.69275601065907,11.166428492361794,21.06754,19.09148,47.63154,29.1822,23.567789933502723,43.36715844479191,4,5,5,32.607088324500005,32.4974876657,24.0463087629,24.400670896272,1.0033725886729294,1.356012211521132,9.57525245237,5,39.545019902292914,3.4053502491654224,2.6114841803484192,False,False,0,,大股东质押比例：本地库缺失，需二次核验,False,True,False,False,毛利率或净利率出现修复；经营现金流未明显恶化；估值仍处于可接受的偏低位置,,23.93,24.61,19.74,13.02,10.62,91.92
300573.SZ,兴齐眼药,化学制药,辽宁,创业板,20161208,L,20260430,69.45,22.6271,7.8324,6.5321,2.0275,1711453.065,24642.9527,48.0,20260128,20260430,26.15095,9.0363,2.083333333333333,2.083333333333333,20260428,20260331,82.0522,30.2068,9.5457,38.1828,9.9163,39.6652,20.5104,89.6248,27.4549,51.72,206363102.71,27.4549,20260428,20260331,2748919887.38,563815191.83,574031990.48,70051027.78,,,,,2185104695.55,273109871.71,215473730.13,20260428,20260331,208447399.44,165966547.206,-27037575.12,-1999636.26,,,,,5.516894594594595,20260430,20260331,20.51042645580236,,0.7005102778,0.7005102778,5.7403199048,8.19448348827638,3.2058430848947426,21.64002,20.32818,78.73844,19.83418,24.540399562935654,39.35666286956065,5,5,4,20.811594431299998,16.8034009962,16.7786892598,11.217651567474,1.2385346535505777,1.24035877350458,8.96528608,5,103.77625993353928,2.3213530773688373,3.8391417781170647,False,False,0,,大股东质押比例：本地库缺失，需二次核验,True,True,False,False,毛利率或净利率出现修复；经营现金流未明显恶化；估值仍处于可接受的偏低位置,,23.97,22.06,17.0,15.0,11.58,89.6
300453.SZ,三鑫医疗,医疗保健,江西,创业板,20150515,L,20260430,10.08,18.824,3.4428,3.1168,2.9771,526260.9492,52208.4275,48.0,20260128,20260430,19.6581,3.51625,8.333333333333332,14.583333333333334,20260427,20260331,37.1083,18.4466,4.1793,16.7172,4.5771,18.3084,33.7571,14.4376,13.393,21.26,61240212.53,13.393,20260427,20260331,2443891227.87,824986289.23,183788524.14,30719708.32,170722678.0,32586164.4,,79576308.08,1528586691.9,87180397.07,241355124.07,20260427,20260331,12596331.16,-84353934.0017,-233594403.15,-17556608.25,,,,,4.287561111111111,20260430,20260331,33.757078867582244,5.205874714314591,2.3402855072,0.6330587272,1.8378852413999998,2.9031828524486376,15.310126142018651,18.32182,16.5629,34.84288,16.20728,8.945363467308809,13.583483737337998,5,5,5,19.2189180313,10.3952062035,9.4423842875,7.22935869096,1.8488250887057067,2.035388250056964,3.4491625125,5,38.44339627122253,5.572053494623502,4.661655174189391,False,False,0,,大股东质押比例：本地库缺失，需二次核验,True,True,False,False,毛利率或净利率出现修复；经营现金流未明显恶化；估值仍处于可接受的偏低位置,,20.06,25.0,18.91,11.24,12.3,87.51
002517.SZ,恺英网络,互联网,福建,主板,20101207,L,20260430,17.98,17.7342,3.7099,6.2023,0.5562,3841324.9347,213644.3234,48.0,20260128,20260430,21.27715,4.0238499999999995,2.083333333333333,16.666666666666664,20260429,20260331,80.7497,37.0447,7.8845,31.538,7.7069,30.8276,22.4364,57.4371,64.1938,5.75,545472473.6,64.1938,20260429,20260331,13400955989.18,3006689120.8,3791859579.59,9368021.72,89900000.0,30493643.84,,852263659.9,10354232143.03,1409819571.11,61793217.16,20260429,20260331,428023749.87,,-523475427.94,-162379597.96,,,,,4.067336249999999,20260430,20260331,22.436377846682102,8.231065791524726,1.2976166556,0.39861665560000004,37.9185957959,95.12546769734124,1.2532234526666437,25.04072,27.215780000000002,78.27658,35.2819,22.36287392283012,41.15735589373959,5,5,4,77.0661921425,65.9571046395,62.128448636399995,50.98298344502,1.1684289746149206,1.2404332288018574,10.242199727200001,5,13.833950508410773,7.524378961077755,,False,True,0,,存货增速连续高于营收；大股东质押比例：本地库缺失，需二次核验,False,True,False,False,毛利率或净利率出现修复；经营现金流未明显恶化；估值仍处于可接受的偏低位置,存货增速连续高于营收,25.0,22.58,17.18,15.0,9.67,87.43
000858.SZ,五粮液,白酒,四川,主板,19980427,L,20260430,97.08,13.2528,2.8442,4.584,5.9199,37682650.5125,388160.8005,48.0,20260128,20260430,14.0753,3.02075,2.083333333333333,2.083333333333333,20260430,20260331,81.4344,36.447,6.238,24.952,6.5041,26.0164,34.3133,-23.7829,33.667,,,33.667,20251031,20250930,181073423202.77,34872936995.66,136305976701.21,,,,,1621619.53,142495742798.41,98282128.5,17540752483.71,20251031,20250930,28247488416.94,19113740160.6364,-1498530538.36,-18951307119.54,20241231,20250426,标准无保留意见,天职国际会计师事务所,14.8447,20260430,20260331,19.259003546096615,0.0011380126157832797,0.0,0.0,1363.0597670121,,0.0,21.293799999999997,20.195439999999998,76.23338,34.57882,11.681810149554718,-21.594722694602197,5,5,5,1415.8664082875,1320.8630314862,1206.6453009713,1408.548336636095,1.071925229593567,1.1733907281185163,651.1397428387501,5,51.20705463931612,2.1744432341278985,10.954210160315856,False,False,0,,大股东质押比例：本地库缺失，需二次核验,True,False,True,False,利润仍处于近年偏低区间；毛利率或净利率出现修复；估值仍处于可接受的偏低位置,,25.0,22.03,16.0,9.34,15.0,87.36
600988.SH,赤峰黄金,黄金,内蒙,主板,20040414,L,20260430,38.0,20.1315,5.0539,5.2385,0.4211,7221562.4764,190041.1178,48.0,20260128,20260430,27.161749999999998,6.0978,4.166666666666666,4.166666666666666,20260425,20260331,59.2701,32.5089,6.3708,25.4832,7.1342,28.5368,29.3577,29.2084,47.6534,101.57,984169395.89,47.6534,20260425,20260331,24866565232.31,7300253173.43,6330535724.49,434909619.7,29759047.7,,,15741599.31,14289040547.47,397617979.12,2849633661.21,20260425,20260331,496810882.92,-376483167.248,-620855508.87,-279627973.75,20241231,20250329,标准无保留意见,安永华明会计师事务所,26.9424,20260430,20260331,29.357706242213645,0.11016554440939835,4.646686674,4.349096197,63.305357244899994,14.555979996158268,3.2519234993862036,18.147759999999998,13.138380000000002,38.15648,17.091839999999998,35.199672855672844,54.691382945730595,5,5,4,128.7243164073,66.8433872079,65.5994218187,61.23129940474,1.9257599260632097,1.9622782158516738,3.8650222737999997,5,13.744053039072693,33.30493520823652,5.079264586908532,False,False,0,,大股东质押比例：本地库缺失，需二次核验,True,False,False,False,毛利率或净利率出现修复；经营现金流未明显恶化；估值仍处于可接受的偏低位置,,18.96,24.0,19.99,12.71,11.17,86.82
300394.SZ,天孚通信,通信设备,江苏,创业板,20150217,L,20260430,307.5,110.3166,39.8512,43.1769,0.2781,23959194.0158,77916.0781,48.0,20260128,20260430,133.48435,48.90565,14.583333333333334,10.416666666666668,20260421,20260331,56.6039,37.0053,8.2361,32.9444,8.5709,34.2836,14.254,31.5859,40.8243,48.44,493192417.72,40.8243,20260421,20260331,6981677447.38,995168210.3,3027047195.67,,,,,29647573.18,5979870333.53,1241517070.86,538513343.82,20260421,20260331,182277065.44,59932189.8846,-112755257.81,-6000.0,,,,,1.5687036496350366,20260430,20260331,14.253998667232251,0.4957895661008193,0.0,0.0,30.2704719567,,0.0,27.57604,26.10228,53.3556,36.3512,49.54550591422555,63.39928941001034,5,5,4,48.6599221759,48.0000190154,46.520304843000005,24.922468283027,1.0137479770640982,1.0459931924376018,15.36343008,5,41.28600914009716,3.167256395383029,0.6370085260134071,False,False,0,,大股东质押比例：本地库缺失，需二次核验,False,True,False,False,经营现金流未明显恶化；估值仍处于可接受的偏低位置,,25.0,20.85,15.95,15.0,9.75,86.55
301552.SZ,科力装备,汽车配件,河北,创业板,20240722,L,20260430,40.94,27.2063,3.2241,5.8377,2.966,389748.8,9520.0,48.0,20260128,20260430,24.328650000000003,3.3125,97.91666666666666,31.25,20251028,20250930,37.0719,25.5903,10.1624,13.5499,10.6754,14.2339,17.5268,68.6306,12.5564,1.6,36547779.69,12.8053,20260424,20260331,1485143958.21,277516410.18,419821648.81,27285952.61,,,,33394659.15,1208875204.07,126359247.04,91425446.57,20260424,20260331,35070157.92,-15230369.3954,9034640.79,-15287767.63,,,,,4.968141603053435,20260430,20250930,18.68616228385579,2.7624571202691555,0.27285952609999997,0.27285952609999997,4.1982164881,15.385999338580541,2.2571356016017683,25.23628,25.11934,42.15782,26.6094,18.625717979203692,37.290351532697905,5,4,4,6.8913488442999995,5.588584439200001,4.9589581419,3.410140628083,1.2331116974742333,1.3896767520726871,1.156,2,45.26400478076288,5.961374432785466,1.541563528695919,False,False,0,,大股东质押比例：本地库缺失，需二次核验,True,False,False,False,经营现金流未明显恶化；估值仍处于可接受的偏低位置,,24.1,22.51,19.72,13.43,6.57,86.34
300515.SZ,三德科技,电器仪表,湖南,创业板,20160608,L,20260430,17.13,18.6791,3.6545,5.187,1.7088,352457.4585,20575.45,48.0,20260128,20260430,21.056350000000002,4.14865,8.333333333333332,8.333333333333332,20260421,20260331,58.6829,26.2402,3.4569,13.8276,3.4964,13.9856,33.396,-28.1548,18.1734,-6.33,25622270.83,18.1734,20260421,20260331,1471583604.15,491449393.99,133667910.22,,,20000000.0,,,964438072.94,204435772.13,286636910.01,20260421,20260331,-10650266.2,37297097.7545,27854149.21,1582932.45,,,,,2.9058084905660375,20260430,20260331,33.39595471192176,,0.2,0.2,1.3366791022,6.683395511,2.073746418889484,15.065760000000001,15.06204,56.7386,22.593,14.455675372238241,22.95524454188911,5,5,5,7.4765794846,5.591226043,4.9655230999,3.9222594265149997,1.3371985727460243,1.5056982586085583,1.9019477175,5,43.65618110846735,3.9310120966035442,3.758368656743861,False,False,0,,大股东质押比例：本地库缺失，需二次核验,False,True,False,False,毛利率或净利率出现修复；估值仍处于可接受的偏低位置,,20.86,25.0,16.66,12.48,11.32,86.32
