代码,名称,行业,价格日期,收盘价,市值(亿元),PE_TTM,PB,PS_TTM,股息率TTM%,2025收入(亿),2025净利(亿),2025收入同比%,2025净利同比%,2026Q1收入(亿),2026Q1净利(亿),Q1收入同比%,Q1净利同比%,2025毛利率%,Q1毛利率%,2025毛利率变动pct,Q1毛利率较2025pct,2025ROE%,2025资产负债率%,OCF/净利,2025利润较近年峰值%,筑底左侧评分,入选理由
000778.SZ,新兴铸管,钢加工,20260507,4.57,181.12,17.98,0.68,0.47,0.44,370.22,9.47,2.29,465.67,98.76,1.97,17.93,43.94,7.69,6.38,2.29,-1.32,3.66,44.04,3.72,-52.8,68.96,Q1净利同比+44%；利润仍低于近年峰值53%；PB 0.68x；PS 0.47x
600028.SH,中国石化,石油加工,20260507,5.27,6372.77,17.93,0.76,0.23,4.33,27835.83,318.09,-9.46,-36.78,7066.95,170.06,-3.9,28.21,15.89,19.89,0.42,4.0,3.86,54.08,5.11,-55.33,68.75,Q1净利同比转正+28%；Q1毛利率较2025年+4.0pct；利润仍低于近年峰值55%；PB 0.76x
600019.SH,宝钢股份,普钢,20260507,6.32,1376.63,13.58,0.66,0.43,3.43,3175.08,103.46,-1.43,40.53,770.61,22.25,5.74,-8.61,7.24,6.62,1.78,-0.62,5.09,37.97,3.25,-56.22,68.28,利润仍低于近年峰值56%；PB 0.66x；PS 0.43x；经营现金流覆盖利润
600585.SH,海螺水泥,水泥,20260507,21.21,1123.98,14.46,0.58,1.4,4.48,825.32,81.13,-9.33,5.42,,,,,24.16,21.26,2.46,-2.91,4.27,20.42,2.05,-75.61,64.89,利润仍低于近年峰值76%；PB 0.58x；PS 1.40x；经营现金流覆盖利润
002538.SZ,ST司特,农药化肥,20260507,7.04,60.09,30.6,1.13,1.21,1.7,46.62,1.65,8.87,-46.98,13.73,0.69,27.04,82.46,13.33,12.51,-5.86,-0.82,3.18,21.22,2.79,-69.48,64.56,Q1净利同比+82%；利润仍低于近年峰值69%；PB 1.13x；PS 1.21x
600717.SH,天津港,港口,20260507,4.69,135.73,12.82,0.66,1.09,2.22,127.92,9.81,5.98,-1.3,26.32,3.53,-12.68,28.29,27.82,38.94,-0.78,11.12,4.97,25.22,2.56,-1.3,64.06,Q1净利同比转正+28%；Q1毛利率较2025年+11.1pct；PB 0.66x；PS 1.09x
600035.SH,楚天高速,路桥,20260507,3.85,61.99,12.34,0.68,0.97,4.42,65.74,5.4,49.83,-29.67,10.57,2.39,-12.96,-13.53,18.49,35.82,-13.7,17.33,6.17,55.39,2.77,-42.7,63.75,Q1毛利率较2025年+17.3pct；利润仍低于近年峰值43%；PB 0.68x；PS 0.97x
601919.SH,中远海控,水运,20260507,14.07,2154.5,8.6,0.91,1.01,11.35,2195.04,308.68,-6.14,-37.13,,,,,20.05,17.24,-9.49,-2.81,13.22,41.42,1.48,-71.83,63.68,利润仍低于近年峰值72%；PB 0.91x；PS 1.01x；经营现金流覆盖利润
600546.SH,山煤国际,煤炭开采,20260507,13.87,274.97,20.52,1.65,1.27,4.97,204.72,11.66,-30.75,-48.58,49.68,4.29,10.34,68.1,35.61,38.84,3.3,3.24,7.14,51.21,2.88,-83.29,63.06,Q1净利同比+68%；Q1毛利率较2025年+3.2pct；利润仍低于近年峰值83%；PS 1.27x
601006.SH,大秦铁路,铁路,20260507,5.27,1061.76,18.58,0.64,1.35,4.17,776.45,59.0,4.04,-34.73,185.7,23.84,4.32,-7.26,8.62,14.52,-6.68,5.9,3.7,15.24,0.85,-51.56,62.88,Q1毛利率较2025年+5.9pct；利润仍低于近年峰值52%；PB 0.64x；PS 1.35x
000932.SZ,华菱钢铁,普钢,20260507,4.68,320.7,14.28,0.57,0.27,2.14,1217.41,26.11,-15.86,28.49,294.12,1.98,-2.71,-64.82,9.71,5.82,2.88,-3.89,4.77,53.46,2.52,-73.03,61.66,利润仍低于近年峰值73%；PB 0.57x；PS 0.27x；经营现金流覆盖利润
000933.SZ,神火股份,铝,20260507,31.75,714.06,12.78,2.65,1.62,1.56,412.41,40.05,7.47,-7.0,124.09,22.9,28.83,223.28,23.36,33.48,2.13,10.13,17.32,42.19,2.18,-47.1,61.33,Q1净利同比+223%；Q1毛利率较2025年+10.1pct；利润仍低于近年峰值47%；PS 1.62x
002440.SZ,闰土股份,染料涂料,20260507,10.74,120.72,14.99,1.19,1.97,1.36,57.3,6.69,0.61,213.54,16.82,1.84,31.59,284.41,19.43,22.62,2.02,3.19,6.93,11.81,0.96,-19.9,61.16,Q1净利同比+284%；Q1毛利率较2025年+3.2pct；PB 1.19x；PS 1.97x
001218.SZ,丽臣实业,化工原料,20260507,27.31,35.55,16.85,1.47,0.67,1.87,49.83,1.61,36.56,47.99,14.11,0.77,33.71,179.06,10.47,13.04,-1.09,2.56,7.1,25.0,1.62,-9.7,60.02,Q1净利同比+179%；Q1毛利率较2025年+2.6pct；PB 1.47x；PS 0.67x
600623.SH,华谊集团,化工原料,20260507,10.42,221.2,38.11,0.98,0.47,1.74,464.37,5.55,2.96,-39.09,116.4,1.68,11.41,18.03,7.63,8.4,0.39,0.77,2.47,56.85,3.22,-81.31,59.24,Q1净利同比转正+18%；利润仍低于近年峰值81%；PB 0.98x；PS 0.47x
600273.SH,嘉化能源,化工原料,20260507,8.06,105.69,12.96,1.04,1.01,5.04,101.79,9.88,11.21,-1.99,26.38,1.03,11.75,-62.5,14.81,10.89,-2.76,-3.92,9.74,23.62,0.83,-45.37,59.13,利润仍低于近年峰值45%；PB 1.04x；PS 1.01x
002233.SZ,塔牌集团,水泥,20260507,8.87,104.15,16.91,0.9,2.59,5.4,41.07,6.34,-3.99,17.87,8.3,1.47,-9.7,-10.91,24.51,26.68,2.36,2.17,5.29,10.23,1.23,-65.47,58.9,Q1毛利率较2025年+2.2pct；利润仍低于近年峰值65%；PB 0.90x；经营现金流覆盖利润
600368.SH,五洲交通,路桥,20260507,3.89,62.62,11.22,0.84,4.76,3.37,13.45,5.57,-26.2,-20.3,3.36,1.97,-17.41,0.68,55.0,62.97,5.6,7.97,7.9,39.03,1.53,-20.7,58.82,Q1净利同比转正+1%；Q1毛利率较2025年+8.0pct；利润仍低于近年峰值21%；PB 0.84x
000059.SZ,华锦股份,石油加工,20260507,5.2,83.17,,0.85,0.2,0.35,417.56,-17.63,20.7,36.91,83.69,0.44,-8.65,112.97,12.1,17.94,4.6,5.84,-16.66,58.29,1.46,-297.26,58.77,Q1净利同比+113%；Q1毛利率较2025年+5.8pct；利润仍低于近年峰值297%；PB 0.85x
002521.SZ,齐峰新材,造纸,20260507,8.23,46.09,26.04,1.16,1.39,4.86,33.56,1.55,-0.97,37.81,8.04,0.4,-3.91,124.23,12.0,12.69,1.75,0.69,3.89,26.09,1.69,-34.63,58.63,Q1净利同比+124%；利润仍低于近年峰值35%；PB 1.16x；PS 1.39x
600508.SH,上海能源,煤炭开采,20260507,13.58,98.15,51.71,0.77,1.24,2.14,76.77,2.2,-19.09,-69.2,19.49,0.74,12.26,-29.28,14.05,15.93,-7.46,1.88,1.73,35.38,2.27,-87.33,58.22,利润仍低于近年峰值87%；PB 0.77x；PS 1.24x；经营现金流覆盖利润
600018.SH,上港集团,港口,20260507,5.06,1177.97,8.62,0.81,2.92,3.85,396.11,135.65,3.92,-9.29,102.84,40.08,8.04,2.57,36.12,39.42,0.62,3.3,9.89,29.68,0.87,-21.25,58.16,Q1净利同比转正+3%；Q1毛利率较2025年+3.3pct；利润仍低于近年峰值21%；PB 0.81x
600356.SH,恒丰纸业,造纸,20260507,10.09,33.25,14.67,1.08,1.17,1.08,28.22,1.98,1.77,70.72,6.89,0.57,2.13,103.0,19.48,19.52,1.66,0.04,7.45,26.21,1.35,0.0,57.93,Q1净利同比+103%；PB 1.08x；PS 1.17x；经营现金流覆盖利润
002386.SZ,天原股份,化工原料,20260507,6.7,87.21,57.01,1.14,0.74,,112.99,0.88,-15.47,119.1,36.55,0.77,16.38,573.52,8.11,10.62,5.54,2.51,1.17,61.4,-2.64,-86.31,57.89,Q1净利同比+574%；Q1毛利率较2025年+2.5pct；利润仍低于近年峰值86%；PB 1.14x
