ts_code,ann_date,f_ann_date,end_date,report_type,total_assets,total_liab,total_cur_assets,total_cur_liab,money_cap,accounts_receiv,inventories,st_borr,lt_borr,bond_payable
002747.SZ,20260331,20260331,20251231,1,9415188943.47,7396310298.77,5325686904.02,5207415173.65,895600152.16,1906043440.14,1477631881.64,1277653277.51,1215951619.09,
002747.SZ,20251031,20251031,20250930,1,10193436437.58,8209687129.59,5876294795.53,6028813437.33,1163257255.98,1975351613.69,1434780747.0,1307000048.18,1167057027.77,
002747.SZ,20250829,20250829,20250630,1,10927154152.48,8942947143.31,6603947764.6,6515643019.83,1458892030.95,2127863072.35,1577960962.13,1692045271.87,1461765069.32,
002747.SZ,20250429,20250429,20250331,1,10990550106.06,9053469879.06,6870853748.94,6386787543.18,1347588717.47,1878570900.61,1921502065.38,1843675542.12,1732215434.86,
002747.SZ,20250429,20250429,20241231,1,10140899265.32,8248197120.32,6063754663.25,6012332028.94,1196935339.04,1776557031.61,1721044686.99,1838958676.96,1353441760.18,
002747.SZ,20241031,20241031,20240930,1,10379020056.49,7679144728.04,5858182376.45,5336212828.14,1108805552.71,1965650235.81,1297142322.38,2168675588.39,1497963970.47,
002747.SZ,20240830,20240830,20240630,1,10394719918.59,7692149939.87,5871305918.61,5385685912.07,1115159814.12,1966593126.95,1357113364.7,1819743002.88,1476486394.86,
002747.SZ,20240430,20240430,20240331,1,10074883284.74,7258543767.25,5622915116.03,4843861851.67,945859729.45,1750118649.45,1404340747.54,1459402659.31,1614715760.87,
002747.SZ,20240430,20240430,20240331,1,10074883284.74,7258543767.25,5622915116.03,4843861851.67,945859729.45,1750118649.45,1404340747.54,1459402659.31,1614715760.87,
002747.SZ,20240430,20240430,20231231,1,10081500504.19,7259485356.38,5692736970.0,5024594445.99,1227394708.75,1597469247.38,1340221353.73,1514006501.67,1429983943.29,
002747.SZ,20240430,20240430,20231231,1,10081500504.19,7259485356.38,5692736970.0,5024594445.99,1227394708.75,1597469247.38,1340221353.73,1514006501.67,1429983943.29,
002747.SZ,20231031,20231031,20230930,1,9824931409.83,6986471961.85,5814539743.08,4613645268.3,885390938.16,1663332508.56,1409874338.59,1670352452.34,1952635081.63,
002747.SZ,20230831,20230831,20230630,1,9514805516.21,6696291001.81,5570565511.97,4198584785.81,796276879.1,1516222167.66,1320887524.48,1383588422.55,2053661827.99,
002747.SZ,20230831,20230831,20230630,1,9514805516.21,6696291001.81,5570565511.97,4198584785.81,796276879.1,1516222167.66,1320887524.48,1383588422.55,2053661827.99,
002747.SZ,20230429,20230429,20230331,1,9323288019.19,6206605666.08,5450827913.67,3741919888.5,1216372320.46,1437465248.77,1155235651.69,1103008781.56,2030969125.5,
