ts_code,ann_date,f_ann_date,end_date,report_type,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,free_cashflow
002747.SZ,20260331,20260331,20251231,1,506532334.23,156526891.35,-989750937.78,-128237262.4107
002747.SZ,20260331,20260331,20251231,1,506532334.23,156526891.35,-989750937.78,
002747.SZ,20251031,20251031,20250930,1,292941380.22,4471987.46,-382814911.76,-46483216.0634
002747.SZ,20251031,20251031,20250930,1,292941380.22,4471987.46,-382814911.76,
002747.SZ,20250829,20250829,20250630,1,-119480289.61,-96955914.67,356693163.25,-212698698.6046
002747.SZ,20250829,20250829,20250630,1,-119480289.61,-96955914.67,356693163.25,
002747.SZ,20250429,20250429,20250331,1,47522547.77,-502367799.66,562175082.95,-199404161.19
002747.SZ,20250429,20250429,20250331,1,47522547.77,-502367799.66,562175082.95,
002747.SZ,20250429,20250429,20241231,1,-73584820.63,-192493709.8,288728767.41,-2314201.06
002747.SZ,20241031,20241031,20240930,1,-575349111.46,-230765501.87,655161963.16,-906392435.83
002747.SZ,20240830,20240830,20240630,1,-342189546.99,-104314684.92,278839648.03,-382506206.54
002747.SZ,20240430,20240430,20240331,1,-367041550.97,220185.19,86352790.99,-354178184.05
002747.SZ,20240430,20240430,20240331,1,-367041550.97,220185.19,86352790.99,
002747.SZ,20240430,20240430,20231231,1,29877272.69,-678175286.73,1194941604.4,-269867282.385
002747.SZ,20240430,20240430,20231231,1,29877272.69,-678175286.73,1194941604.4,559942937.95
002747.SZ,20231031,20231031,20230930,1,-331863160.76,-702636127.35,1174854529.43,-1095635659.09
002747.SZ,20231031,20231031,20230930,1,-331863160.76,-702636127.35,1174854529.43,-913364845.9744
002747.SZ,20230831,20230831,20230630,1,-92097846.9,-772172749.76,914524468.66,-346828644.2182
002747.SZ,20230429,20230429,20230331,1,-249555054.54,-277441018.06,995196746.14,-407277343.6
002747.SZ,20230429,20230429,20230331,1,-249555054.54,-277441018.06,995196746.14,-407277343.6
002747.SZ,20230429,20230429,20221231,1,27064201.42,-262041451.55,253869761.0,-234504335.5035
002747.SZ,20230429,20230429,20221231,1,27064201.42,-262041451.55,253869761.0,-234504335.5035
002747.SZ,20221027,20221027,20220930,1,-187640663.04,93480999.51,278717366.53,-266477250.57
002747.SZ,20221027,20221027,20220930,1,-187640663.04,93480999.51,278717366.53,-160224886.544
002747.SZ,20220831,20220831,20220630,1,-104106379.37,-10216857.9,290448280.61,-162216849.7604
002747.SZ,20220429,20220429,20220331,1,-31156664.04,39291477.89,159028085.97,-54747748.7612
002747.SZ,20220429,20220429,20211231,1,311524918.39,-706816183.45,494523014.03,-606949695.1964
002747.SZ,20220429,20220429,20211231,1,311524918.39,-706816183.45,494523014.03,-606949695.1964
002747.SZ,20211029,20211029,20210930,1,-81679771.87,-606089058.08,950183541.26,-636333263.08
002747.SZ,20211029,20211029,20210930,1,-81679771.87,-606089058.08,950183541.26,
002747.SZ,20210831,20210831,20210630,1,-821823.99,-60274887.15,851174195.61,59349077.9323
002747.SZ,20210430,20210430,20210331,1,28923177.6,-4873876.37,48257657.1,123505850.71
002747.SZ,20210430,20210430,20201231,1,320720852.06,-325049623.68,-123112403.31,97673900.2684
002747.SZ,20210430,20210430,20201231,1,320720852.06,-325049623.68,-123112403.31,97673900.2684
002747.SZ,20201030,20201030,20200930,1,110786561.78,-427655786.8,117625810.5,-79279640.0898
002747.SZ,20200828,20200828,20200630,1,70474484.24,-444407325.64,226560554.77,-34239472.8145
002747.SZ,20200828,20200828,20200630,1,70474484.24,-444407325.64,226560554.77,-34239472.8145
002747.SZ,20200428,20200428,20200331,1,-22241288.96,-157297815.86,174211457.09,-296622851.44
002747.SZ,20200428,20200428,20191231,1,112800687.36,-171519717.78,94128904.65,383288959.5364
002747.SZ,20200428,20200428,20191231,1,112800687.36,-171519717.78,94128904.65,383288959.5364
002747.SZ,20191031,20191031,20190930,1,18121182.82,27653362.92,385240234.91,84352305.92
002747.SZ,20191031,20191031,20190930,1,18121182.82,27653362.92,385240234.91,107790992.55
002747.SZ,20190827,20190827,20190630,1,42351738.32,-174365666.9,129128450.37,-106019257.0525
002747.SZ,20190827,20190827,20190630,1,42351738.32,-174365666.9,129128450.37,-95814421.7963
002747.SZ,20190426,20190426,20190331,1,13141292.66,-230371096.03,124323613.11,-208170994.5915
002747.SZ,20190426,20190426,20181231,1,14420555.96,-381576219.44,272250207.81,-399301556.2068
002747.SZ,20190426,20190426,20181231,1,14420555.96,-381576219.44,272250207.81,-399301556.2068
002747.SZ,20181025,20181025,20180930,1,-44489089.1,-141268861.2,55923521.69,-174158131.59
002747.SZ,20180817,20180817,20180630,1,-89203098.44,-50212020.03,79159131.21,-106701062.9388
002747.SZ,20180420,20180420,20180331,1,-134073081.52,-3234561.04,-50867652.52,-117164745.3621
002747.SZ,20180420,20180420,20171231,1,-22312627.55,-358170061.99,596260364.69,-20565682.8162
002747.SZ,20171025,20171025,20170930,1,-34829746.27,-171456099.19,410985795.9,-140066281.4825
002747.SZ,20170829,20170829,20170630,1,-59326577.93,84578819.83,68250899.87,65858639.6007
002747.SZ,20170428,20170428,20170331,1,-50436938.74,170622339.57,165238583.76,216510983.3019
002747.SZ,20170321,20170321,20161231,1,-65288713.38,-701237184.62,879980493.6,-684869059.1961
002747.SZ,20161028,20161028,20160930,1,-63719825.04,-694375057.9,1001896222.2,-614524549.62
002747.SZ,20160824,20160824,20160630,1,-37773035.71,1317839.18,149161130.96,-31074279.37
002747.SZ,20160425,20160425,20160331,1,-17226739.19,26917640.15,56816624.8,4591282.44
002747.SZ,20160425,20160425,20151231,1,8363408.27,-156313899.67,162433731.93,-141615239.3777
002747.SZ,20151028,20151028,20150930,1,-24631684.3,-102853283.1,170404608.89,-119201094.45
002747.SZ,20150812,20150812,20150630,1,-22425294.09,-44140253.46,101516420.02,-55179762.5
002747.SZ,20150428,20150428,20150331,1,-5679661.31,-1879903.87,186924025.74,1614415.9287
002747.SZ,20150428,20150428,20141231,1,-1721053.67,-16675989.01,-1841123.27,-18210496.5155
002747.SZ,20150303,20150303,20140930,1,3304348.07,-14017415.98,-4207531.74,-10866115.5499
002747.SZ,20150812,20150812,20140630,1,-1412902.39,-8975789.85,-3168801.85,
002747.SZ,20150428,20150428,20140331,1,-11192504.61,-1495140.99,-1342926.87,
002747.SZ,20150303,20150303,20131231,1,25481773.97,-14162228.61,-11315981.55,-1184968.7106
002747.SZ,20150303,20150303,20121231,1,30863596.75,-16800900.71,-13763403.19,40014904.7747
002747.SZ,20150303,20150303,20111231,1,54446273.0,-49510852.99,-2089318.66,
