ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002747.SZ,20260421,21.35,21.41,20.97,21.18,21.43,-0.25,-1.1666,109960.65,232301.079
002747.SZ,20260420,21.37,21.58,21.25,21.43,21.37,0.06,0.2808,123882.13,265814.492
002747.SZ,20260417,21.0,21.42,20.81,21.37,20.97,0.4,1.9075,150475.09,319268.242
002747.SZ,20260416,20.81,21.02,20.81,20.97,20.72,0.25,1.2066,97517.31,204267.596
002747.SZ,20260415,21.12,21.16,20.69,20.72,20.91,-0.19,-0.9087,98157.56,205460.823
002747.SZ,20260414,20.77,20.93,20.69,20.91,20.63,0.28,1.3572,104134.69,216777.735
002747.SZ,20260413,20.35,20.75,20.28,20.63,20.47,0.16,0.7816,107096.98,220595.954
002747.SZ,20260410,20.28,20.72,20.23,20.47,20.04,0.43,2.1457,122891.73,252111.775
002747.SZ,20260409,20.27,20.28,20.01,20.04,20.5,-0.46,-2.2439,93129.56,187318.659
002747.SZ,20260408,19.91,20.5,19.88,20.5,19.41,1.09,5.6157,167378.49,338660.372
002747.SZ,20260407,19.54,19.6,19.21,19.41,19.49,-0.08,-0.4105,69680.08,135166.556
002747.SZ,20260403,19.84,19.98,19.48,19.49,19.78,-0.29,-1.4661,71454.94,140558.913
002747.SZ,20260402,20.19,20.21,19.7,19.78,20.25,-0.47,-2.321,92905.32,185170.147
002747.SZ,20260401,20.31,20.36,20.11,20.25,20.03,0.22,1.0984,82256.76,166324.69
002747.SZ,20260331,20.19,20.43,20.0,20.03,20.13,-0.1,-0.4968,97100.06,196417.691
002747.SZ,20260330,19.88,20.25,19.78,20.13,20.13,0.0,0.0,78594.64,157288.486
002747.SZ,20260327,19.78,20.28,19.7,20.13,20.09,0.04,0.1991,85972.72,172535.314
002747.SZ,20260326,20.3,20.48,19.98,20.09,20.28,-0.19,-0.9369,102023.26,206342.303
002747.SZ,20260325,20.01,20.33,20.01,20.28,20.01,0.27,1.3493,112333.74,226961.919
002747.SZ,20260324,20.15,20.2,19.46,20.01,19.78,0.23,1.1628,122690.84,242459.377
002747.SZ,20260323,20.2,20.66,19.62,19.78,20.42,-0.64,-3.1342,168759.61,340609.86
002747.SZ,20260320,20.99,21.2,20.41,20.42,21.0,-0.58,-2.7619,117466.0,243651.306
002747.SZ,20260319,21.4,21.44,20.91,21.0,21.71,-0.71,-3.2704,120703.44,255375.79
002747.SZ,20260318,21.82,21.97,21.45,21.71,21.82,-0.11,-0.5041,100120.35,216719.981
002747.SZ,20260317,22.05,22.24,21.8,21.82,21.94,-0.12,-0.5469,145482.99,320711.175
002747.SZ,20260316,21.73,21.94,21.5,21.94,21.94,0.0,0.0,136036.85,295565.93
002747.SZ,20260313,21.75,21.96,21.36,21.94,22.01,-0.07,-0.318,182648.56,396277.214
002747.SZ,20260312,22.33,22.39,21.87,22.01,22.35,-0.34,-1.5213,120151.59,265256.304
002747.SZ,20260311,22.37,22.75,22.35,22.35,22.34,0.01,0.0448,150306.14,338109.908
002747.SZ,20260310,22.1,22.41,22.08,22.34,21.88,0.46,2.1024,149816.32,333583.039
002747.SZ,20260309,21.9,22.0,21.25,21.88,22.23,-0.35,-1.5744,192217.93,414819.021
002747.SZ,20260306,21.86,22.4,21.76,22.23,21.99,0.24,1.0914,129558.0,287994.564
002747.SZ,20260305,22.26,22.3,21.82,21.99,21.55,0.44,2.0418,151981.0,334510.398
002747.SZ,20260304,21.55,21.9,21.4,21.55,21.74,-0.19,-0.874,156436.63,338779.937
002747.SZ,20260303,22.89,23.13,21.72,21.74,22.78,-1.04,-4.5654,224273.21,500277.741
002747.SZ,20260302,23.28,23.35,22.73,22.78,23.75,-0.97,-4.0842,239336.43,549404.775
002747.SZ,20260227,23.99,23.99,23.68,23.75,23.99,-0.24,-1.0004,155321.46,369287.648
002747.SZ,20260226,24.18,24.18,23.86,23.99,24.22,-0.23,-0.9496,158040.59,379501.251
002747.SZ,20260225,24.3,24.46,23.97,24.22,24.28,-0.06,-0.2471,200722.03,484790.441
002747.SZ,20260224,25.3,25.3,24.21,24.28,24.38,-0.1,-0.4102,315449.14,771799.66
002747.SZ,20260213,24.26,24.58,24.1,24.38,24.37,0.01,0.041,173497.73,423323.887
002747.SZ,20260212,24.25,24.4,24.16,24.37,24.25,0.12,0.4948,113632.56,276283.861
002747.SZ,20260211,24.34,24.5,24.11,24.25,24.38,-0.13,-0.5332,103041.54,250444.534
002747.SZ,20260210,24.08,24.55,23.92,24.38,24.01,0.37,1.541,185513.21,451455.056
002747.SZ,20260209,24.08,24.16,23.77,24.01,23.76,0.25,1.0522,119423.61,285929.689
002747.SZ,20260206,23.19,24.07,23.07,23.76,23.41,0.35,1.4951,153508.02,364135.055
002747.SZ,20260205,23.81,23.88,23.37,23.41,23.95,-0.54,-2.2547,118401.67,278951.45
002747.SZ,20260204,23.81,23.95,23.54,23.95,23.98,-0.03,-0.1251,131898.32,312952.846
002747.SZ,20260203,23.71,23.98,23.46,23.98,23.58,0.4,1.6964,154964.6,368667.855
002747.SZ,20260202,23.58,24.23,23.38,23.58,23.58,0.0,0.0,223923.23,534352.301
002747.SZ,20260130,23.72,23.9,22.92,23.58,23.85,-0.27,-1.1321,211676.14,495809.283
002747.SZ,20260129,24.25,24.44,23.74,23.85,24.36,-0.51,-2.0936,190999.48,459863.12
002747.SZ,20260128,25.0,25.09,24.22,24.36,25.15,-0.79,-3.1412,238903.99,584208.877
002747.SZ,20260127,25.19,25.29,24.5,25.15,25.37,-0.22,-0.8672,244683.87,610034.879
