ts_code,trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv,turnover_rate,volume_ratio
002747.SZ,20260421,21.18,455.792,6.3845,4.1935,,2049797.1235,1657133.0021,1.4054,0.96
002747.SZ,20260420,21.43,461.172,6.4599,4.243,,2073992.0848,1676693.1178,1.5834,1.11
002747.SZ,20260417,21.37,459.8808,6.4418,4.2311,,2068185.2941,1671998.69,1.9232,1.42
002747.SZ,20260416,20.97,451.2728,6.3212,4.1519,,2029473.3559,1640702.5049,1.2464,0.93
002747.SZ,20260415,20.72,445.8929,6.2458,4.1024,,2005278.3946,1621142.3892,1.2546,0.83
002747.SZ,20260414,20.91,449.9816,6.3031,4.1401,,2023666.5652,1636008.0771,1.331,0.93
002747.SZ,20260413,20.63,443.9561,6.2187,4.0846,,1996568.2085,1614100.7476,1.3688,1.02
002747.SZ,20260410,20.47,440.5129,6.1705,4.0529,,1981083.4333,1601582.2735,1.5707,1.24
002747.SZ,20260409,20.04,431.2593,6.0409,3.9678,,1939468.0998,1567938.8745,1.1903,0.96
002747.SZ,20260408,20.5,441.1585,6.1795,4.0589,,1983986.8287,1603929.4874,2.1393,2.02
002747.SZ,20260407,19.41,417.7018,5.851,3.8431,,1878496.7973,1518647.3829,0.8906,0.82
002747.SZ,20260403,19.49,419.4234,5.8751,3.8589,,1886239.1849,1524906.62,0.9133,0.82
002747.SZ,20260402,19.78,425.6641,5.9625,3.9163,,1914305.34,1547596.3542,1.1874,1.04
002747.SZ,20260401,20.25,435.7785,6.1042,4.0094,,1959791.8673,1584369.3717,1.0513,0.86
002747.SZ,20260331,20.03,431.0441,6.0378,3.9658,,1938500.3014,1567156.4699,1.241,0.97
002747.SZ,20260330,20.13,,6.1071,4.3823,,1948178.2859,1574981.573,1.0045,0.66
002747.SZ,20260327,20.13,,6.1071,4.3823,,1948178.2859,1574981.573,1.0988,0.69
002747.SZ,20260326,20.09,,6.0949,4.3736,,1944307.0921,1571851.9524,1.304,0.79
002747.SZ,20260325,20.28,,6.1526,4.415,,1962695.2627,1586717.6503,1.4357,0.89
002747.SZ,20260324,20.01,,6.0707,4.3562,,1936564.7045,1565592.7112,1.5681,0.94
002747.SZ,20260323,19.78,,6.0009,4.3061,,1914305.34,1547597.3926,2.1569,1.36
002747.SZ,20260320,20.42,,6.195,4.4455,,1976244.441,1597671.3224,1.5013,0.86
002747.SZ,20260319,21.0,,6.371,4.5717,,2032376.7513,1643050.8213,1.5427,0.88
002747.SZ,20260318,21.71,,6.5864,4.7263,,2101090.4415,1698601.5872,1.2796,0.68
002747.SZ,20260317,21.82,,6.6198,4.7502,,2111736.2244,1707208.0438,1.8594,0.98
002747.SZ,20260316,21.94,,6.6562,4.7764,,2123349.8059,1716596.9057,1.7387,0.86
002747.SZ,20260313,21.94,,6.6562,4.7764,,2123349.8059,1716596.9057,2.3344,1.23
002747.SZ,20260312,22.01,,6.6774,4.7916,,2130124.3951,1722073.7418,1.5357,0.78
002747.SZ,20260311,22.35,,6.7806,4.8656,,2163029.5425,1748675.517,1.9211,0.96
002747.SZ,20260310,22.34,,6.7775,4.8635,,2162061.744,1747893.1118,1.9148,0.88
002747.SZ,20260309,21.88,,9.8196,4.287,,1905788.3752,1711902.4748,2.4568,1.07
002747.SZ,20260306,22.23,,9.9767,4.3556,,1936274.021,1739286.6551,1.6559,0.7
002747.SZ,20260305,21.99,,9.869,4.3085,,1915369.5781,1720508.9314,1.9425,0.81
002747.SZ,20260304,21.55,,9.6715,4.2223,,1877044.7662,1686083.1047,1.9994,0.8
002747.SZ,20260303,21.74,,9.7568,4.2595,,1893594.1168,1700948.8026,2.8665,1.05
002747.SZ,20260302,22.78,,10.2235,4.4633,,1984180.0359,1782318.9385,3.059,1.19
002747.SZ,20260227,23.75,,10.6589,4.6534,,2068668.8259,1858212.2384,1.9852,0.81
002747.SZ,20260226,23.99,,10.7666,4.7004,,2089573.2687,1876989.962,2.0199,0.87
002747.SZ,20260225,24.22,,10.8698,4.7455,,2109606.6932,1894985.2806,2.5654,1.13
002747.SZ,20260224,24.28,,10.8967,4.7572,,2114832.8039,1899679.7115,4.0318,2.27
002747.SZ,20260213,24.38,,10.9416,4.7768,,2123542.9884,1907503.763,2.2175,1.28
002747.SZ,20260212,24.37,,10.9371,4.7748,,2122671.97,1906721.3579,1.4523,0.84
002747.SZ,20260211,24.25,,10.8833,4.7513,,2112219.7485,1897332.496,1.317,0.73
002747.SZ,20260210,24.38,,10.9416,4.7768,,2123542.9884,1907503.763,2.3711,1.37
002747.SZ,20260209,24.01,,10.7756,4.7043,,2091315.3057,1878554.7724,1.5264,0.76
002747.SZ,20260206,23.76,,10.6634,4.6553,,2069539.8443,1858994.6435,1.962,0.91
002747.SZ,20260205,23.41,,10.5063,4.5868,,2039054.1985,1831610.4632,1.5133,0.65
002747.SZ,20260204,23.95,,10.7486,4.6926,,2086089.1949,1873860.3414,1.6858,0.65
002747.SZ,20260203,23.98,,10.7621,4.6984,,2088702.2503,1876207.5569,1.9806,0.7
002747.SZ,20260202,23.58,,10.5826,4.6201,,2053861.5122,1844911.3508,2.862,0.93
002747.SZ,20260130,23.58,,10.5826,4.6201,,2053861.5122,1844911.3508,2.7055,0.83
002747.SZ,20260129,23.85,,10.7038,4.673,,2077379.0104,1866036.2899,2.4412,0.7
002747.SZ,20260128,24.36,,10.9326,4.7729,,2121800.9515,1905938.9527,3.0535,0.9
002747.SZ,20260127,25.15,,11.2872,4.9277,,2190611.4093,1967748.9598,3.1273,0.93
002747.SZ,20260126,25.37,,11.3859,4.9708,,2209773.8153,1984961.8732,4.0769,1.3
002747.SZ,20260123,25.73,,11.5475,5.0413,,2241130.4796,2013128.4587,3.5611,1.06
002747.SZ,20260122,25.47,,11.4308,4.9904,,2218483.9998,1992785.9247,3.7265,1.16
002747.SZ,20260121,25.13,,11.2782,4.9238,,2188869.3724,1966184.1495,2.4158,0.64
002747.SZ,20260120,25.18,,11.3007,4.9336,,2193224.4647,1970096.1753,2.9802,0.69
002747.SZ,20260119,25.31,,11.359,4.959,,2204547.7045,1980267.4422,3.0123,0.58
002747.SZ,20260116,25.49,,11.4398,4.9943,,2220226.0367,1994350.735,4.6864,0.93
002747.SZ,20260115,24.75,,11.1077,4.8493,,2155770.6712,1936452.7537,2.9531,0.57
002747.SZ,20260114,24.94,,11.1929,4.8865,,2172320.0218,1951318.4516,5.1396,1.07
002747.SZ,20260113,25.09,,11.2603,4.9159,,2185385.2986,1963054.5289,5.7373,1.35
002747.SZ,20260112,25.67,,11.5206,5.0296,,2235904.3689,2008434.0278,7.4188,2.18
002747.SZ,20260109,24.25,,10.8833,4.7513,,2112219.7485,1897332.496,3.9727,1.16
002747.SZ,20260108,24.07,,10.8025,4.7161,,2096541.4164,1883249.2033,3.7083,1.0
002747.SZ,20260107,23.82,,10.6903,4.6671,,2074765.955,1863689.0744,3.1499,0.86
002747.SZ,20260106,23.73,,10.6499,4.6495,,2066926.789,1856647.4281,3.0583,0.87
002747.SZ,20260105,23.68,,10.6275,4.6397,,2062571.6967,1852735.4023,3.1608,0.91
002747.SZ,20251231,23.7,,10.6364,4.6436,,2064313.7336,1854300.2126,3.9883,1.38
002747.SZ,20251230,23.66,,10.6185,4.6357,,2060829.6598,1851170.592,5.2235,2.55
002747.SZ,20251229,22.84,,10.2505,4.4751,,1989406.1467,1787013.3695,2.8114,1.52
002747.SZ,20251226,22.58,,10.1338,4.4241,,1966759.6669,1766670.8355,2.4525,1.53
002747.SZ,20251225,22.51,,10.1024,4.4104,,1960662.5377,1761193.9994,2.9519,2.43
002747.SZ,20251224,21.67,,9.7254,4.2458,,1887496.9877,1695471.9666,0.9647,0.75
002747.SZ,20251223,21.54,,9.667,4.2204,,1876173.7478,1685300.6996,1.0628,0.77
002747.SZ,20251222,21.7,,9.7388,4.2517,,1890110.043,1697819.182,1.8145,1.35
002747.SZ,20251219,21.18,,9.5055,4.1498,,1844817.0835,1657134.1141,1.2156,0.84
002747.SZ,20251218,20.95,,9.4023,4.1048,,1824783.659,1639138.7955,1.0288,0.66
002747.SZ,20251217,21.18,,9.5055,4.1498,,1844817.0835,1657134.1141,1.3006,0.81
002747.SZ,20251216,20.91,,9.3843,4.0969,,1821299.5852,1636009.1749,1.5407,0.95
002747.SZ,20251215,21.41,,9.6087,4.1949,,1864850.5079,1675129.4326,1.6153,0.94
002747.SZ,20251212,22.0,,9.8735,4.3105,,1916240.5966,1721291.3366,1.7809,1.03
002747.SZ,20251211,21.98,,9.8645,4.3066,,1914498.5597,1719726.5263,1.5917,0.8
002747.SZ,20251210,22.48,,10.0889,4.4045,,1958049.4823,1758846.7839,1.4849,0.78
002747.SZ,20251209,22.36,,10.0351,4.381,,1947597.2609,1749457.9221,1.5975,0.86
002747.SZ,20251208,22.73,,10.2011,4.4535,,1979824.9437,1778406.9128,2.1671,1.19
002747.SZ,20251205,22.55,,10.1203,4.4183,,1964146.6115,1764323.62,1.8345,1.09
002747.SZ,20251204,22.44,,10.071,4.3967,,1954565.4085,1755717.1633,2.8341,2.07
002747.SZ,20251203,21.88,,9.8196,4.287,,1905788.3752,1711902.4748,1.0326,0.72
002747.SZ,20251202,22.01,,9.878,4.3124,,1917111.6151,1722073.7418,1.3757,0.91
002747.SZ,20251201,22.43,,10.0665,4.3947,,1953694.3901,1754934.7582,2.0534,1.39
002747.SZ,20251128,21.93,,9.8421,4.2968,,1910143.4674,1715814.5005,1.0941,0.62
002747.SZ,20251127,21.76,,9.7658,4.2635,,1895336.1537,1702513.6129,1.2981,0.75
002747.SZ,20251126,21.93,,9.8421,4.2968,,1910143.4674,1715814.5005,1.334,0.76
002747.SZ,20251125,21.86,,9.8107,4.2831,,1904046.3383,1710337.6645,1.7986,1.08
002747.SZ,20251124,22.01,,9.878,4.3124,,1917111.6151,1722073.7418,1.8613,1.22
002747.SZ,20251121,21.87,,9.8151,4.285,,1904917.3567,1711120.0696,2.5268,1.89
002747.SZ,20251120,21.85,,9.8062,4.2811,,1903175.3198,1709555.2593,1.1796,0.82
002747.SZ,20251119,22.12,,9.9273,4.334,,1926692.818,1730680.1984,1.3765,0.85
002747.SZ,20251118,22.29,,10.0036,4.3673,,1941500.1317,1743981.086,1.3746,0.8
002747.SZ,20251117,22.44,,10.071,4.3967,,1954565.4085,1755717.1633,1.2023,0.64
002747.SZ,20251114,22.42,,10.062,4.3928,,1952823.3716,1754152.353,1.5441,0.79
002747.SZ,20251113,22.79,,10.228,4.4653,,1985051.0544,1783101.3437,1.7061,0.84
002747.SZ,20251112,22.75,,10.2101,4.4574,,1981566.9806,1779971.7231,2.2254,1.12
002747.SZ,20251111,23.02,,10.3313,4.5103,,2005084.4788,1801096.6622,1.9151,0.9
002747.SZ,20251110,23.25,,10.4345,4.5554,,2025117.9032,1819091.9807,2.0292,0.84
002747.SZ,20251107,23.61,,10.596,4.6259,,2056474.5675,1847258.5662,1.8768,0.61
002747.SZ,20251106,24.15,,10.8384,4.7317,,2103509.564,1889508.4445,2.1072,0.62
002747.SZ,20251105,23.75,,10.6589,4.6534,,2068668.8259,1858212.2384,1.9716,0.58
002747.SZ,20251104,24.01,,10.7756,4.7043,,2091315.3057,1878554.7724,2.6833,0.8
002747.SZ,20251103,24.77,,11.1167,4.8532,,2157512.7081,1938017.564,3.3887,1.06
002747.SZ,20251031,25.16,,11.2917,4.9296,,2191482.4277,1968531.3649,5.2589,1.88
002747.SZ,20251030,24.4,,10.7299,4.8431,,2125285.0253,1909068.5733,3.7674,1.59
002747.SZ,20251029,24.29,,10.6816,4.8213,,2115703.8223,1900462.1166,1.9665,0.85
002747.SZ,20251028,24.02,,10.5628,4.7677,,2092186.3241,1879337.1775,2.3313,1.05
002747.SZ,20251027,24.16,,10.6244,4.7955,,2104380.5824,1890290.8496,2.6025,1.03
002747.SZ,20251024,24.1,,10.598,4.7836,,2099154.4717,1885596.4187,3.3319,1.33
002747.SZ,20251023,23.28,,10.2374,4.6208,,2027730.9586,1821439.1962,1.6068,0.57
002747.SZ,20251022,23.37,,10.277,4.6387,,2035570.1247,1828480.8426,1.7534,0.54
002747.SZ,20251021,23.48,,10.3254,4.6605,,2045151.3276,1837087.2992,1.8357,0.47
002747.SZ,20251020,23.36,,10.2726,4.6367,,2034699.1062,1827698.4374,4.0878,1.03
002747.SZ,20251017,22.52,,9.9032,4.4699,,1961533.5562,1761976.4046,3.2103,0.76
002747.SZ,20251016,23.65,,10.4001,4.6942,,2059958.6413,1850388.1868,3.2789,0.7
002747.SZ,20251015,24.65,,10.8399,4.8927,,2147060.4866,1928628.7021,3.9241,0.86
002747.SZ,20251014,23.87,,10.4969,4.7379,,2079121.0473,1867601.1002,5.0836,1.15
002747.SZ,20251013,24.81,,10.9102,4.9245,,2160996.7819,1941147.1846,4.3238,1.01
002747.SZ,20251010,25.42,,11.1785,5.0456,,2214128.9075,1988873.8989,4.6444,1.08
002747.SZ,20251009,26.33,,11.5786,5.2262,,2293391.5867,2060072.7678,5.3994,1.32
002747.SZ,20250930,25.6,,11.2576,5.0813,,2229807.2397,2002957.1917,3.2648,0.76
002747.SZ,20250929,25.76,,11.328,5.113,,2243743.5349,2015475.6741,4.5151,1.1
002747.SZ,20250926,24.79,,10.9014,4.9205,,2159254.745,1939582.3743,3.5629,0.79
002747.SZ,20250925,25.68,,11.2928,5.0972,,2236775.3873,2009216.4329,4.8356,0.9
002747.SZ,20250924,25.57,,11.2444,5.0753,,2227194.1843,2000609.9762,4.3259,0.71
002747.SZ,20250923,24.75,,10.8838,4.9126,,2155770.6712,1936452.7537,4.3526,0.65
002747.SZ,20250922,25.27,,11.1125,5.0158,,2201063.6307,1977137.8216,3.3789,0.49
002747.SZ,20250919,25.24,,11.0993,5.0098,,2198450.5754,1974790.6062,5.6548,0.81
002747.SZ,20250918,26.01,,11.4379,5.1627,,2265518.9963,2035035.803,9.064,1.37
002747.SZ,20250917,26.39,,11.605,5.2381,,2298617.6975,2064767.1988,7.8684,1.35
002747.SZ,20250916,25.99,,11.4291,5.1587,,2263776.9593,2033470.9926,7.4228,1.39
002747.SZ,20250915,25.03,,11.007,4.9681,,2180159.1879,1958360.098,4.3018,0.72
002747.SZ,20250912,25.3,,11.1257,5.0217,,2203676.6861,1979485.0371,6.4505,1.16
002747.SZ,20250911,25.4,,11.1697,5.0416,,2212386.8706,1987309.0886,7.1157,1.37
002747.SZ,20250910,24.35,,10.7079,4.8332,,2120929.9331,1905156.5476,3.7532,0.69
002747.SZ,20250909,24.77,,10.8926,4.9165,,2157512.7081,1938017.564,5.1133,0.81
002747.SZ,20250908,24.88,,10.941,4.9384,,2167093.9111,1946624.0207,7.4244,1.33
002747.SZ,20250905,23.55,,10.3561,4.6744,,2051248.4568,1842564.1353,4.3625,0.78
002747.SZ,20250904,22.51,,9.8988,4.468,,1960662.5377,1761193.9994,5.3747,0.96
002747.SZ,20250903,23.76,,10.4485,4.7161,,2069539.8443,1858994.6435,5.0665,0.83
002747.SZ,20250902,24.43,,10.7431,4.8491,,2127898.0807,1911415.7888,9.2119,1.86
002747.SZ,20250901,23.63,,10.3913,4.6903,,2058216.6044,1848823.3765,3.9424,0.73
002747.SZ,20250829,23.92,,10.5188,4.7478,,2083476.1396,1871513.126,4.2916,0.81
002747.SZ,20250828,24.24,,11.2746,4.9681,,2111348.7301,1896550.0909,5.5687,1.12
002747.SZ,20250827,24.03,,11.177,4.925,,2093057.3426,1880119.5827,7.5295,1.7
002747.SZ,20250826,24.36,,11.3304,4.9927,,2121800.9515,1905938.9527,3.4053,0.65
002747.SZ,20250825,24.77,,11.5211,5.0767,,2157512.7081,1938017.564,6.2598,1.1
002747.SZ,20250822,24.15,,11.2328,4.9496,,2103509.564,1889508.4445,3.8049,0.59
002747.SZ,20250821,23.88,,11.1072,4.8943,,2079992.0658,1868383.5054,3.931,0.52
002747.SZ,20250820,24.34,,11.3211,4.9886,,2120058.9146,1904374.1424,4.719,0.64
002747.SZ,20250819,24.54,,11.4142,5.0296,,2137479.2837,1920022.2455,7.4912,1.1
002747.SZ,20250818,24.4,,11.349,5.0009,,2125285.0253,1909068.5733,8.5434,1.42
002747.SZ,20250815,24.15,,11.2328,4.9496,,2103509.564,1889508.4445,7.4359,1.35
002747.SZ,20250814,23.82,,11.0793,4.882,,2074765.955,1863689.0744,9.4541,1.85
002747.SZ,20250813,23.17,,10.7769,4.7488,,2018149.7556,1812832.7395,3.8675,0.6
002747.SZ,20250812,23.14,,10.763,4.7426,,2015536.7002,1810485.524,4.6429,0.62
002747.SZ,20250811,23.61,,10.9816,4.839,,2056474.5675,1847258.5662,4.7608,0.65
002747.SZ,20250808,23.32,,11.0391,4.7576,,2021887.0324,1824568.8168,4.8517,0.71
002747.SZ,20250807,23.65,,11.1953,4.8249,,2050498.6413,1850388.1868,7.3704,1.27
