ts_code,ann_date,end_date,audit_result,audit_fees,audit_agency,audit_sign
002747.SZ,20260331,20251231,标准无保留意见,1220000.0,中汇会计师事务所,"费洁,杨扬"
002747.SZ,20250429,20241231,标准无保留意见,1220000.0,中汇会计师事务所,"费洁,杨扬"
002747.SZ,20240430,20231231,标准无保留意见,1220000.0,中汇会计师事务所,"费洁,杨扬"
002747.SZ,20230429,20221231,标准无保留意见,1370000.0,中汇会计师事务所,"费洁,杨扬"
002747.SZ,20220429,20211231,标准无保留意见,1220000.0,中汇会计师事务所,"费洁,杨扬"
002747.SZ,20210430,20201231,标准无保留意见,1170000.0,中汇会计师事务所,"朱广明,周磊"
002747.SZ,20200428,20191231,标准无保留意见,820000.0,中汇会计师事务所,"朱广明,周磊"
002747.SZ,20190426,20181231,标准无保留意见,820000.0,中汇会计师事务所,"朱广明,周磊"
002747.SZ,20180420,20171231,标准无保留意见,720000.0,中汇会计师事务所,"朱广明,周磊"
002747.SZ,20170321,20161231,标准无保留意见,,中汇会计师事务所,"朱广明,周磊"
002747.SZ,20160425,20151231,标准无保留意见,,中汇会计师事务所,"高峰,孔令江"
002747.SZ,20150428,20141231,标准无保留意见,,中汇会计师事务所,"高峰,孔令江"
002747.SZ,20150303,20140930,标准无保留意见,,中汇会计师事务所,"孔令江,高峰"
002747.SZ,20150303,20131231,标准无保留意见,,中汇会计师事务所,"孔令江,高峰"
002747.SZ,20150303,20121231,标准无保留意见,,中汇会计师事务所,"孔令江,高峰"
002747.SZ,20150303,20111231,标准无保留意见,,中汇会计师事务所,"孔令江,高峰"
