ts_code,ann_date,end_date,eps,bps,roe,roe_dt,roa,roic,grossprofit_margin,netprofit_margin,debt_to_assets,current_ratio,quick_ratio,ocf_to_or,ocf_to_opincome,profit_to_gr,op_of_gr
002747.SZ,20260331,20251231,0.05,2.2518,2.3986,0.3883,2.2554,2.1583,29.45,0.9279,78.5572,1.0227,0.739,0.1036,,0.9279,1.4259
002747.SZ,20251031,20250930,0.0334,2.2282,1.5555,0.1104,1.6528,1.435,28.4475,0.8773,80.539,0.9747,0.7367,0.077,180.0147,0.8773,1.3443
002747.SZ,20250829,20250630,0.01,2.2371,0.3585,-0.9443,0.9957,0.6556,27.6397,0.4972,81.8415,1.0136,0.7714,-0.0469,,0.4972,0.9217
002747.SZ,20250429,20250331,0.0146,2.1125,0.6978,0.2302,0.4698,0.7531,28.2681,1.088,82.375,1.0758,0.7749,0.0382,,1.088,0.4072
002747.SZ,20250429,20250331,0.0146,2.1125,0.6978,0.2302,0.4698,0.7531,28.2681,1.088,82.375,1.0758,0.7749,0.0382,,1.088,0.4072
002747.SZ,20250429,20241231,-0.93,2.0569,-36.1229,-37.2471,-6.5517,-10.7761,29.5679,-20.3796,81.336,1.0086,0.7223,-0.0184,,-20.3796,-19.7385
002747.SZ,20241031,20240930,-0.0767,2.9806,-2.5216,-4.0705,0.5262,1.3022,29.667,-1.8279,73.9872,1.0978,0.8547,-0.1709,,-1.8279,-1.7304
002747.SZ,20240830,20240630,-0.08,2.9608,-2.7845,-3.6787,-0.0005,-0.0009,29.3314,-3.2191,74.0006,1.0902,0.8382,-0.1578,,-3.2191,-3.2423
002747.SZ,20240430,20240331,0.01,3.097,0.2422,-0.48,0.2615,0.3906,32.6221,0.855,72.0459,1.1608,0.8709,-0.3659,,0.855,-1.3943
002747.SZ,20240430,20240331,0.01,3.097,0.2422,-0.48,0.2615,0.3906,32.6221,0.855,72.0459,1.1608,0.8709,-0.3659,,0.855,-1.3943
002747.SZ,20240430,20231231,0.16,3.1035,4.9352,3.1066,2.9313,3.3964,31.9315,2.8526,72.008,1.133,0.8662,0.0064,0.6327,2.8526,3.1932
002747.SZ,20231031,20230930,0.1614,3.1497,5.089,3.1798,2.4222,3.303,33.1195,4.4969,71.1096,1.2603,0.9547,-0.1029,-5.7625,4.4969,4.2878
002747.SZ,20230831,20230630,0.11,3.1143,3.5533,2.5254,1.696,2.3375,33.0891,4.5831,70.3776,1.3268,1.0122,-0.0411,-1.7912,4.5831,4.4479
002747.SZ,20230429,20230331,0.05,3.2551,1.5365,1.1458,0.6855,0.9406,33.5704,4.4669,66.571,1.4567,1.148,-0.2531,-15.9851,4.4669,3.4963
