ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,n_income_attr_p,n_income,sell_exp,admin_exp,fin_exp,rd_exp
002747.SZ,20260331,20260331,20251231,1,4888010963.64,4888010963.64,44972202.09,45355053.46,449281705.0,410192584.15,153351135.16,418657841.36
002747.SZ,20251031,20251031,20250930,1,3803569707.31,3803569707.31,29003927.52,33369523.27,306290888.56,331438905.1,120169141.77,318509984.7
002747.SZ,20250829,20250829,20250630,1,2548576557.91,2548576557.91,6682264.59,12671230.65,213904056.35,205460986.32,83829891.45,213712981.44
002747.SZ,20250429,20250429,20250331,1,1244130343.59,1244130343.59,12629943.07,13536269.71,99072304.89,112070944.11,40262365.81,101081677.78
002747.SZ,20250429,20250429,20241231,1,4008771676.12,4008771676.12,-810444512.94,-816972893.98,445688733.59,528281037.04,136470000.96,442232768.09
002747.SZ,20241031,20241031,20240930,1,3366813348.31,3366813348.31,-66699777.03,-61542373.81,325459346.72,365683695.74,89408696.0,301597485.81
002747.SZ,20240830,20240830,20240630,1,2169074626.04,2169074626.04,-73415999.71,-69825755.74,224752827.86,228694573.09,54608882.34,206941619.74
002747.SZ,20240430,20240430,20240331,1,1003067001.06,1003067001.06,6529406.97,8575995.44,96899368.97,136973047.66,27000699.32,74857232.5
002747.SZ,20240430,20240430,20231231,1,4651949253.97,4651949253.97,135041886.09,132699454.52,402786562.15,445179599.36,133082922.77,388467599.44
002747.SZ,20231031,20231031,20230930,1,3225541757.18,3225541757.18,140269264.46,145048185.13,270596777.65,327101602.95,78225781.89,304194961.23
002747.SZ,20230831,20230831,20230630,1,2241078937.93,2241078937.93,97402794.21,102709981.66,183127959.12,216428451.61,62973826.46,203265642.0
002747.SZ,20230429,20230429,20230331,1,985986594.44,985986594.44,43045495.19,44043108.0,83632789.44,128104148.82,24517575.64,70959508.79
002747.SZ,20230429,20230429,20221231,1,3880778517.66,3880778517.66,166303391.26,182857948.71,302456986.89,383331623.12,83005906.49,307580080.29
002747.SZ,20230429,20230429,20221231,1,3880778517.66,3880778517.66,166303391.26,182857948.71,302456986.89,383331623.12,83005906.49,307580080.29
002747.SZ,20221027,20221027,20220930,1,2542174327.66,2542174327.66,120253712.77,128241596.67,219435680.98,272667521.99,51381510.79,228971290.04
002747.SZ,20220831,20220831,20220630,1,1655341597.69,1655341597.69,76301554.83,83277848.84,136656827.36,173938106.9,34797504.73,157127193.3
002747.SZ,20220429,20220429,20220331,1,804694001.9,804694001.9,60071695.14,61378273.83,65092620.62,108816390.01,16214030.32,48670664.73
002747.SZ,20220429,20220429,20220331,1,804694001.9,804694001.9,60071695.14,61378273.83,65092620.62,108816390.01,16214030.32,48670664.73
002747.SZ,20220429,20220429,20211231,1,3020377352.56,3020377352.56,122030252.03,156865043.71,278444023.21,337940436.23,27923959.93,236544030.04
002747.SZ,20220429,20220429,20211231,1,3020377352.56,3020377352.56,122030252.03,156865043.71,278444023.21,337940436.23,27923959.93,236544030.04
002747.SZ,20211029,20211029,20210930,1,2301670197.16,2301670197.16,87846163.8,106292427.73,201781853.49,295605582.3,23681856.89,187988780.25
002747.SZ,20211029,20211029,20210930,1,2301670197.16,2301670197.16,87846163.8,106292427.73,201781853.49,295605582.3,23681856.89,187988780.25
002747.SZ,20210831,20210831,20210630,1,1561619609.19,1561619609.19,62892394.02,74331279.01,131580161.89,199208253.28,18230818.29,115048243.85
002747.SZ,20210430,20210430,20210331,1,635659639.81,635659639.81,32700744.47,36005862.81,60399650.4,108795573.34,-8683140.52,42180482.15
002747.SZ,20210430,20210430,20201231,1,2510166560.85,2510166560.85,128118649.53,151557162.43,223017198.66,326117922.8,101270881.8,168744779.42
