trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
20251229,73.45,38.3363,5.783,4.5907,0.5555,19880449.2982,17422426.7371
20251230,76.48,39.9178,6.0216,4.7801,0.5335,20700568.5817,18141146.3152
20260115,80.84,42.2023,6.3651,5.0536,0.5046,21885236.0994,19390013.7525
20260116,80.85,42.2075,6.3659,5.0542,0.5046,21887943.328,19392412.3193
20260119,80.27,41.9047,6.3202,5.018,0.5082,21730924.0685,19253295.4467
20260120,79.38,41.4401,6.2501,4.9623,0.5139,21489980.7221,19039823.0044
20260121,80.08,41.8055,6.3053,5.0061,0.5094,21679486.7249,19207722.6781
20260122,79.12,41.3043,6.2297,4.9461,0.5156,21419592.7781,18977460.2684
20260123,79.38,41.4401,6.2501,4.9623,0.5139,21489980.7221,19039823.0044
20260126,77.2,40.302,6.0785,4.8261,0.5284,20899804.8846,18516935.449
20260127,78.44,40.9494,6.1761,4.9036,0.5201,21235501.2325,18814357.7282
20260128,76.41,39.8896,6.0163,4.7767,0.5339,20685933.8243,18327448.6743
20260129,75.87,39.6077,5.9738,4.7429,0.5377,20539743.4792,18197926.0688
20260130,74.63,38.9604,5.8761,4.6654,0.5466,20204047.1314,17900503.7896
20260203,75.43,39.378,5.9391,4.7154,0.5408,20420625.4203,18092389.131
20260204,75.57,39.4511,5.9502,4.7242,0.5398,20458526.6209,18125969.0658
20260205,74.53,38.9082,5.8683,4.6591,0.5474,20176974.8452,17876518.1219
20260206,74.65,38.9708,5.8777,4.6667,0.5465,20209461.5886,17905300.9231
20260209,76.85,40.1193,6.0509,4.8042,0.5308,20805051.8832,18432985.6121
20260210,78.37,40.9128,6.1706,4.8992,0.5205,21216550.6322,18797567.7608
20260211,75.45,39.3884,5.9407,4.7167,0.5407,20426039.8775,18097186.2646
20260302,71.38,37.2637,5.6202,4.4622,0.5715,19324197.8325,17120969.59
20260303,69.01,36.0265,5.4336,4.3141,0.5911,18682584.6514,16552509.266
20260304,67.99,35.494,5.3533,4.2503,0.6,18406447.333,16307855.4556
20260305,70.39,36.7469,5.5423,4.4003,0.5795,19056182.1999,16883511.48
20260306,71.47,37.3107,5.6273,4.4679,0.5708,19348562.89,17142556.6909
20260309,70.79,36.9557,5.5738,4.4253,0.5763,19164471.3443,16979454.1507
20260310,71.04,37.0862,5.5935,4.441,0.5742,19232152.0596,17039418.3199
20260311,71.15,37.1436,5.6021,4.4479,0.5734,19261931.5744,17065802.5543
20260312,71.16,37.1489,5.6029,4.4485,0.5733,19264638.803,17068201.1211
20260313,72.79,37.9998,5.7313,4.5504,0.5604,19705917.0667,17459167.5043
20260316,71.8,37.483,5.6533,4.4885,0.5682,19437901.4342,17221709.3942
20260317,71.2,37.1697,5.6061,4.451,0.573,19275467.7174,17077795.3882
20260331,67.0,34.9771,5.2754,4.1884,0.6089,18138431.7004,16070397.3456
20260401,68.22,35.614,5.3714,4.2647,0.598,18468713.5911,16363022.4913
20260402,66.87,34.9093,5.2651,4.1803,0.6101,18103237.7284,16039215.9776
20260403,66.06,34.4864,5.2014,4.1297,0.6175,17883952.2109,15844932.0694
20260407,64.75,33.8025,5.0982,4.0478,0.63,17529305.2627,15530719.8228
20260408,67.45,35.2121,5.3108,4.2166,0.6048,18260256.9879,16178332.8502
20260409,66.04,34.476,5.1998,4.1284,0.6177,17878537.7536,15840134.9359
20260410,68.11,35.5566,5.3628,4.2578,0.5989,18438934.0763,16336638.2568
20260413,67.6,35.2904,5.3226,4.2259,0.6035,18300865.4171,16214311.3517
20260414,69.11,36.0787,5.4415,4.3203,0.5903,18709656.9375,16576494.9336
20260415,67.9,35.447,5.3462,4.2447,0.6008,18382082.2755,16286268.3547
20260416,66.84,34.8936,5.2628,4.1784,0.6103,18095116.0426,16032020.2773
20260417,65.66,34.2776,5.1699,4.1047,0.6213,17775663.0664,15748989.3987
20260420,66.52,34.7266,5.2376,4.1584,0.6133,18008484.727,15955266.1407
20260421,66.04,34.476,5.1998,4.1284,0.6177,17878537.7536,15840134.9359
20260422,66.91,34.9302,5.2683,4.1828,0.6097,18114066.6429,16048810.2447
20260423,65.34,34.1105,5.1447,4.0846,0.6243,17689031.7508,15672235.2621
20260424,64.75,33.8025,5.0982,4.0478,0.63,17529305.2627,15530719.8228
20260427,65.74,34.3194,5.1762,4.1097,0.6205,17797320.8953,15768177.9328
20260428,61.36,35.0436,4.5662,3.5904,0.6648,16612885.4591,14788718.7807
