ts_code,end_date,goodwill,total_assets,total_liab,money_cap,notes_payable,acct_payable,total_hldr_eqy_exc_min_int
300232.SZ,20260331,98500807.17,9711171217.36,5244328249.17,1183274390.76,1830864791.77,1745174055.54,4520997855.27
300232.SZ,20260331,98500807.17,9711171217.36,5244328249.17,1183274390.76,1830864791.77,1745174055.54,4520997855.27
300232.SZ,20251231,98500807.17,10219522163.36,5682693427.79,1617243371.77,2208404537.58,1752388806.81,4598595353.52
300232.SZ,20250930,112583871.7,10697019617.92,6114298202.55,1251394278.02,2162945897.6,1871212790.42,4650743419.27
300232.SZ,20250630,112583871.7,10621601049.54,6048374464.16,1208349066.03,1945523211.36,2113567038.13,4638651578.45
300232.SZ,20250331,112583871.7,10552400813.05,5782215781.49,1490963390.85,2042571134.37,1736070273.91,4830767185.85
300232.SZ,20250331,112583871.7,10552400813.05,5782215781.49,1490963390.85,2042571134.37,1736070273.91,4830767185.85
300232.SZ,20241231,112583871.7,10568547388.34,5854619669.75,1748748617.87,2007462975.76,1919930283.2,4772154778.11
300232.SZ,20240930,134524207.74,10599441966.01,5869710993.83,1469896047.47,1861737074.39,2057841121.42,4786462492.11
300232.SZ,20240630,134524207.74,10172781698.94,5471948597.87,1267359395.59,1744756225.56,1916405192.95,4756695452.03
300232.SZ,20240331,134524207.74,10297182220.91,5596213163.89,1860205396.04,1743165581.94,1769523346.3,4753442025.49
300232.SZ,20231231,134524207.74,10308985070.37,5619436323.26,2189850324.02,1738023385.33,1673273353.77,4729412954.52
300232.SZ,20231231,134524207.74,10308985070.37,5619436323.26,2189850324.02,1738023385.33,1673273353.77,4729412954.52
300232.SZ,20230930,154461028.66,9857417391.36,5090413879.72,1610413940.18,1505583616.87,1757829953.77,4800771213.23
300232.SZ,20230630,137236128.08,10014055601.55,5219489562.73,1815666039.91,1432117187.24,1711414269.92,4825915261.5
300232.SZ,20230630,137236128.08,10014055601.55,5219489562.73,1815666039.91,1432117187.24,1711414269.92,4825915261.5
300232.SZ,20230331,137236128.08,9601533767.96,4851136381.87,1793679230.71,1504507120.73,1337658201.7,4775020574.61
300232.SZ,20221231,137236128.08,9857043568.21,5259368199.65,1727948810.73,1594241143.15,1514365716.64,4626010642.29
300232.SZ,20221231,137236128.08,9857043568.21,5259368199.65,1727948810.73,1594241143.15,1514365716.64,4626010642.29
300232.SZ,20220930,260438835.04,10250359939.19,5434841713.68,1533437549.99,1681226468.96,1333605989.91,4838401489.79
300232.SZ,20220630,251069555.35,10474087487.05,5780394950.68,1421191378.18,2040149282.29,1510916953.81,4711358877.96
300232.SZ,20220331,251069555.35,10505791538.35,5824688737.27,1311643413.19,2314137504.92,1484401788.37,4696605610.57
300232.SZ,20220331,251069555.35,10505791538.35,5824688737.27,1311643413.19,2314137504.92,1484401788.37,4696605610.57
300232.SZ,20211231,251069555.35,10777330391.94,6156381026.93,1591885942.0,2100882938.52,1936037255.68,4635104070.49
300232.SZ,20210930,369542722.22,10162494944.26,5528721011.56,1478368900.91,2036049328.3,1633645332.73,4643810097.84
300232.SZ,20210930,369542722.22,10162494944.26,5528721011.56,1478368900.91,2036049328.3,1633645332.73,4643810097.84
300232.SZ,20210630,369542722.22,9615002746.19,5138732902.2,1609539572.49,1687988267.19,1552212533.44,4485450560.09
300232.SZ,20210331,369354814.17,9088875825.87,5484664045.28,1873721782.6,1429904743.78,1340265352.2,3618095306.17
300232.SZ,20201231,343613925.34,8163480442.26,4632745337.16,1290517577.95,1258173398.61,1467121991.96,3534614505.78
300232.SZ,20201231,343613925.34,8163480442.26,4632745337.16,1290517577.95,1258173398.61,1467121991.96,3534614505.78
