ts_code,end_date,grossprofit_margin,netprofit_margin,roe,roic,debt_to_assets,q_profit_yoy,netprofit_margin,eps,name
300232.SZ,20260331,23.2708,-6.1845,-1.8193,-2.0598,54.003,-265.1159,-6.1845,-0.08,洲明科技
300232.SZ,20251231,25.9086,0.6659,1.3481,1.0494,55.6063,-94.4175,0.6659,0.0582,洲明科技
300232.SZ,20251231,25.9086,0.6659,1.3481,1.0494,55.6063,-94.4175,0.6659,0.0582,洲明科技
300232.SZ,20250930,27.7383,2.0721,2.6775,2.1898,57.1589,-93.652,2.0721,0.1156,洲明科技
300232.SZ,20250630,28.3187,3.1418,2.5747,2.1037,56.9441,-19.8805,3.1418,0.11,洲明科技
300232.SZ,20250331,29.9493,3.3273,1.1367,0.9182,54.7953,328.2778,3.3273,0.05,洲明科技
300232.SZ,20241231,29.1135,1.0721,2.1025,1.5027,55.3966,40.1611,1.0721,0.0915,洲明科技
300232.SZ,20240930,30.5702,2.1318,2.6837,2.133,55.3775,178.1785,2.1318,0.12,洲明科技
300232.SZ,20240630,32.0818,2.6485,2.1178,1.6796,53.7901,9.0392,2.6485,0.09,洲明科技
300232.SZ,20240331,32.307,0.8207,0.4097,0.2334,54.347,-91.4304,0.8207,0.02,洲明科技
300232.SZ,20231231,28.8006,1.7295,3.0885,2.3501,54.5101,72.7888,1.7295,0.1327,洲明科技
300232.SZ,20230930,29.4861,3.5903,4.0524,3.4015,51.6404,-125.1401,3.5903,0.1746,洲明科技
300232.SZ,20230630,29.8539,6.4999,4.6813,3.9103,52.1216,66.5668,6.4999,0.2022,洲明科技
300232.SZ,20230331,32.1361,8.7803,3.0757,2.6082,50.5246,83.5199,8.7803,0.1321,洲明科技
300232.SZ,20230331,32.1361,8.7803,3.0757,2.6082,50.5246,83.5199,8.7803,0.1321,洲明科技
300232.SZ,20221231,26.8042,0.7335,1.3741,1.0751,53.3564,-504.0444,0.7335,0.06,洲明科技
300232.SZ,20221231,26.8042,0.7335,1.3741,1.0751,53.3564,-504.0444,0.7335,0.06,洲明科技
300232.SZ,20220930,27.4947,5.0805,5.3587,4.4758,53.021,12.2886,5.0805,0.232,洲明科技
300232.SZ,20220930,27.4947,5.0805,5.3587,4.4758,53.021,12.2886,5.0805,0.232,洲明科技
300232.SZ,20220630,26.5389,3.8162,2.6108,2.2507,55.1876,282.7192,3.8162,0.1115,洲明科技
300232.SZ,20220630,26.5389,3.8162,2.6108,2.2507,55.1876,282.7192,3.8162,0.1115,洲明科技
300232.SZ,20220331,24.626,5.0335,1.6638,1.411,55.4426,3.5855,5.0335,0.071,洲明科技
300232.SZ,20220331,24.626,5.0335,1.6638,1.411,55.4426,3.5855,5.0335,0.071,洲明科技
