ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio
300232.SZ,20260703,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260626,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260618,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260612,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260605,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260529,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260522,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260515,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260508,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260430,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260424,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260417,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260410,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260403,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260327,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260320,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260313,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260306,1,1400.0,0.0,108744.72,1.29
300232.SZ,20260227,8,8000.0,0.0,108744.72,7.36
300232.SZ,20260213,8,8000.0,0.0,108744.72,7.36
300232.SZ,20260206,8,8000.0,0.0,108744.72,7.36
300232.SZ,20260130,8,8000.0,0.0,108744.72,7.36
300232.SZ,20260123,8,8000.0,0.0,108744.72,7.36
300232.SZ,20260116,8,8000.0,0.0,108744.72,7.36
300232.SZ,20260109,8,10650.0,0.0,108744.72,9.79
300232.SZ,20251231,8,10650.0,0.0,108744.72,9.79
300232.SZ,20251226,8,10650.0,0.0,108744.72,9.79
300232.SZ,20251219,8,10650.0,0.0,108744.72,9.79
300232.SZ,20251212,8,10650.0,0.0,108744.72,9.79
300232.SZ,20251205,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251129,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251128,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251121,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251115,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251114,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251107,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251031,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251024,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251017,8,10650.0,0.0,109110.71,9.76
300232.SZ,20251010,8,10650.0,0.0,109110.71,9.76
300232.SZ,20250930,8,10650.0,0.0,109110.71,9.76
300232.SZ,20250926,8,10650.0,0.0,109110.71,9.76
300232.SZ,20250919,8,10650.0,0.0,109110.71,9.76
300232.SZ,20250912,8,10650.0,0.0,109110.71,9.76
300232.SZ,20250905,8,10650.0,0.0,109110.71,9.76
300232.SZ,20250829,8,10650.0,0.0,109110.71,9.76
300232.SZ,20250822,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250815,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250808,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250801,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250725,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250718,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250711,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250704,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250627,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250620,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250613,9,12350.0,0.0,109110.71,11.32
300232.SZ,20250606,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250530,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250523,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250516,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250509,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250430,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250425,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250418,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250411,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250403,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250328,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250321,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250314,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250307,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250228,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250221,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250214,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250207,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250127,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250124,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250117,11,14802.0,0.0,109110.71,13.57
300232.SZ,20250110,14,15282.0,0.0,109110.71,14.01
300232.SZ,20250103,14,15282.0,0.0,109110.71,14.01
300232.SZ,20241227,14,15282.0,0.0,109110.71,14.01
300232.SZ,20241220,15,15550.0,0.0,109110.71,14.25
300232.SZ,20241213,15,15550.0,0.0,109110.71,14.25
300232.SZ,20241206,15,15550.0,0.0,109110.71,14.25
300232.SZ,20241129,15,15550.0,0.0,109110.71,14.25
300232.SZ,20241122,15,15550.0,0.0,109110.71,14.25
300232.SZ,20241115,15,15550.0,0.0,109110.71,14.25
300232.SZ,20241108,15,15550.0,0.0,108939.79,14.27
300232.SZ,20241101,15,15550.0,0.0,108939.79,14.27
300232.SZ,20241025,15,15550.0,0.0,108939.79,14.27
300232.SZ,20241018,15,15550.0,0.0,108939.79,14.27
300232.SZ,20241011,15,15550.0,0.0,108939.79,14.27
300232.SZ,20240930,15,15550.0,0.0,108939.79,14.27
300232.SZ,20240927,15,15550.0,0.0,108939.79,14.27
300232.SZ,20240920,15,15550.0,0.0,108939.79,14.27
300232.SZ,20240913,15,15550.0,0.0,108939.79,14.27
300232.SZ,20240906,14,15298.0,0.0,108939.79,14.04
300232.SZ,20240830,14,15298.0,0.0,108939.79,14.04
300232.SZ,20240823,14,15298.0,0.0,108939.79,14.04
300232.SZ,20240816,14,15298.0,0.0,108939.79,14.04
300232.SZ,20240809,14,15298.0,0.0,108939.79,14.04
300232.SZ,20240802,14,15298.0,0.0,108939.79,14.04
300232.SZ,20240726,14,15298.0,0.0,108939.79,14.04
300232.SZ,20240719,14,15298.0,0.0,108939.79,14.04
300232.SZ,20240712,14,15298.0,0.0,108939.79,14.04
300232.SZ,20240705,11,13841.0,0.0,108939.79,12.71
