ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300274.SZ,20260428,125.67,132.5,124.81,129.89,131.39,-1.5,-1.1416,1238034.42,16012515.286
300274.SZ,20260427,131.7,132.52,129.2,131.39,133.79,-2.4,-1.7939,631573.61,8263085.47
300274.SZ,20260424,133.96,135.36,132.91,133.79,134.5,-0.71,-0.5279,422508.26,5660381.451
300274.SZ,20260423,137.5,138.59,132.56,134.5,136.91,-2.41,-1.7603,648805.39,8774186.637
300274.SZ,20260422,135.56,137.1,134.95,136.91,136.23,0.68,0.4992,578538.49,7890624.556
300274.SZ,20260421,135.99,136.77,133.35,136.23,135.2,1.03,0.7618,517374.99,7000796.908
300274.SZ,20260420,132.73,136.28,131.36,135.2,132.75,2.45,1.8456,659118.7,8881100.506
300274.SZ,20260417,133.08,135.78,132.06,132.75,133.9,-1.15,-0.8588,652053.91,8678931.251
300274.SZ,20260416,135.0,135.88,132.92,133.9,133.89,0.01,0.0075,650558.91,8723655.802
300274.SZ,20260415,138.9,139.34,133.05,133.89,139.46,-5.57,-3.994,903080.43,12253167.063
300274.SZ,20260414,135.01,142.12,131.5,139.46,134.24,5.22,3.8886,1064538.35,14648450.878
300274.SZ,20260413,129.03,136.31,129.02,134.24,130.79,3.45,2.6378,850777.01,11382593.456
300274.SZ,20260410,125.61,133.0,125.61,130.79,123.8,6.99,5.6462,1049794.85,13683498.542
300274.SZ,20260409,125.34,125.36,122.8,123.8,126.99,-3.19,-2.512,595682.4,7378760.212
300274.SZ,20260408,124.56,127.3,123.85,126.99,122.28,4.71,3.8518,794224.68,9994771.912
300274.SZ,20260407,123.5,124.29,121.74,122.28,123.32,-1.04,-0.8433,522241.24,6411296.629
300274.SZ,20260403,127.2,127.8,122.83,123.32,127.25,-3.93,-3.0884,707770.62,8821648.029
300274.SZ,20260402,131.44,132.5,126.55,127.25,134.45,-7.2,-5.3552,1141405.36,14683958.935
300274.SZ,20260401,140.9,143.0,131.0,134.45,150.76,-16.31,-10.8185,1667302.61,22541206.481
