ts_code,trade_date,pe_ttm,pb,ps_ttm,close,total_mv
300274.SZ,20210104,74.3016,11.7512,6.4271,78.19,11394134.9302
300274.SZ,20210105,72.9997,11.5453,6.3145,76.82,11194493.4817
300274.SZ,20210106,76.1737,12.0473,6.5891,80.16,11681210.5896
300274.SZ,20210107,84.574,13.3759,7.3157,89.0,12969407.965
300274.SZ,20210108,80.9915,12.8093,7.0058,85.23,12420029.6726
300274.SZ,20210111,76.9909,12.1765,6.6597,81.02,11806532.9587
300274.SZ,20210112,82.588,13.0618,7.1439,86.91,12664845.4634
300274.SZ,20210113,83.8138,13.2556,7.2499,88.2,12852829.017
300274.SZ,20210114,84.384,13.3458,7.2992,88.8,12940263.228
300274.SZ,20210115,79.9462,12.6439,6.9154,84.13,12259733.6191
300274.SZ,20210118,81.8183,12.94,7.0773,86.1,12546809.2785
300274.SZ,20210119,79.7277,12.6094,6.8965,83.9,12226217.1715
300274.SZ,20210120,87.597,13.854,7.5772,92.2,13432980.807
300274.SZ,20210121,88.7371,14.0343,7.6758,93.4,13607813.529
300274.SZ,20210122,93.8675,14.8457,8.1196,98.8,14394560.778
300274.SZ,20210125,97.3828,15.4016,8.4237,102.5,14933628.3375
300274.SZ,20210126,90.8083,14.3618,7.855,95.58,13925426.3073
300274.SZ,20210127,99.283,15.7022,8.588,104.5,15225016.2075
300274.SZ,20210128,94.6181,14.9644,8.1845,99.59,14509658.9867
300274.SZ,20210129,99.568,15.7472,8.6127,104.8,15268724.388
300274.SZ,20210201,92.0434,14.5572,7.9618,96.88,14114828.4228
300274.SZ,20210202,93.4875,14.7856,8.0867,98.4,14336283.204
300274.SZ,20210203,98.8269,15.63,8.5486,104.02,15155083.1187
300274.SZ,20210204,104.0333,16.4535,8.9989,109.5,15953485.8825
300274.SZ,20210205,109.4488,17.3099,9.4674,115.2,16783941.312
300274.SZ,20210208,107.3206,16.9734,9.2833,112.96,16457586.8976
300274.SZ,20210209,106.9121,16.9087,9.2479,112.53,16394938.5056
300274.SZ,20210210,113.1446,17.8945,9.7871,119.09,17350690.7192
300274.SZ,20210218,109.7148,17.352,9.4904,115.48,16824735.6138
300274.SZ,20210219,106.5795,16.8562,9.2192,112.18,16343945.6283
300274.SZ,20210222,87.7395,13.8765,7.5895,92.35,13454834.8973
300274.SZ,20210223,86.2194,13.6361,7.458,90.75,13221724.6013
300274.SZ,20210224,84.0817,13.298,7.2731,88.5,12893913.2475
300274.SZ,20210225,82.9606,13.1207,7.1761,87.32,12721994.4042
300274.SZ,20210226,82.1626,12.9945,7.1071,86.48,12599611.4988
300274.SZ,20210301,84.7753,13.4077,7.3331,89.23,13000269.8201
300274.SZ,20210302,80.7565,12.7721,6.9855,85.0,12383984.475
300274.SZ,20210303,81.3265,12.8622,7.0348,85.6,12471400.836
300274.SZ,20210304,68.871,10.8923,5.9574,72.49,10561353.3482
300274.SZ,20210305,73.0894,11.5595,6.3223,76.93,11208234.4196
300274.SZ,20210308,66.8379,10.5708,5.7815,70.35,10249568.3273
300274.SZ,20210309,64.7192,10.2357,5.5982,68.12,9924670.8522
300274.SZ,20210310,65.6313,10.38,5.6771,69.08,10064537.0298
300274.SZ,20210311,69.7831,11.0366,6.0363,73.45,10701219.5258
300274.SZ,20210312,74.733,11.8194,6.4644,78.66,11460284.9271
300274.SZ,20210315,67.7024,10.7075,5.8563,71.26,10382149.8081
300274.SZ,20210316,66.9899,10.5948,5.7947,70.51,10272879.3569
300274.SZ,20210317,67.2654,10.6384,5.8185,70.8,10315130.598
300274.SZ,20210318,68.491,10.8322,5.9245,72.09,10503075.7742
300274.SZ,20210319,62.4105,9.8706,5.3985,65.69,9570634.5902
300274.SZ,20210322,63.4936,10.0419,5.4922,66.83,9736725.6761
300274.SZ,20210323,62.762,9.9262,5.4289,66.06,9624541.3461
300274.SZ,20210324,60.1683,9.516,5.2046,63.33,9226796.9036
300274.SZ,20210325,59.6363,9.4318,5.1586,62.77,9145208.3
300274.SZ,20210326,62.9995,9.9637,5.4495,66.31,9660964.8299
300274.SZ,20210329,61.945,9.7969,5.3583,65.2,9499244.562
300274.SZ,20210330,68.548,10.8413,5.9294,72.15,10511817.4103
300274.SZ,20210331,68.1965,10.7857,5.899,71.78,10457910.6543
300274.SZ,20210401,68.833,10.8863,5.9541,72.45,10555525.5908
300274.SZ,20210402,69.6881,11.0216,6.028,73.35,10686650.1323
300274.SZ,20210406,70.8377,11.2034,6.1275,74.56,10862939.7936
300274.SZ,20210407,66.9044,10.5813,5.7873,70.42,10259766.9027
300274.SZ,20210408,66.8189,10.5678,5.7799,70.33,10246654.4486
300274.SZ,20210409,64.9472,10.2718,5.618,68.36,9959637.3966
300274.SZ,20210412,61.1184,9.6662,5.2868,64.33,9372490.8386
300274.SZ,20210413,63.5601,10.0524,5.498,66.9,9746924.2515
300274.SZ,20210414,64.3297,10.1741,5.5645,67.71,9864936.3389
300274.SZ,20210415,65.5553,10.3679,5.6706,69.0,10052881.515
300274.SZ,20210416,62.762,9.9262,5.4289,66.06,9624541.3461
300274.SZ,20210419,65.6503,10.383,5.6788,69.1,10067450.9085
300274.SZ,20210420,69.137,10.9344,5.9804,72.77,10602147.65
300274.SZ,20210421,68.681,10.8623,5.9409,72.29,10532214.5612
300274.SZ,20210422,70.4006,11.1343,6.0897,74.1,10795920.5835
300274.SZ,20210423,74.999,11.8615,6.4874,78.94,11501079.2289
300274.SZ,20210426,76.9847,12.1756,6.6592,81.03,11805579.5531
300274.SZ,20210427,62.1599,11.6183,6.299,83.38,12147960.3003
300274.SZ,20210428,62.9203,11.7604,6.376,84.4,12296568.114
300274.SZ,20210429,54.951,11.0304,5.7673,82.28,11987696.9718
300274.SZ,20210430,60.04,12.052,6.3014,89.9,13097884.7565
300274.SZ,20210506,57.3018,11.5023,6.014,85.8,12500539.623
300274.SZ,20210507,55.0512,11.0505,5.7778,82.43,12009551.0621
300274.SZ,20210510,55.0645,11.0532,5.7792,82.45,12012464.9408
300274.SZ,20210511,53.0409,10.647,5.5668,79.42,11571012.3177
300274.SZ,20210512,54.764,10.9929,5.7476,82.0,11946902.67
300274.SZ,20210513,53.3815,10.7154,5.6025,79.93,11645316.2246
300274.SZ,20210514,54.5636,10.9527,5.7266,81.7,11903194.4895
300274.SZ,20210517,57.8428,11.6109,6.0708,86.61,12618551.7104
300274.SZ,20210518,57.943,11.631,6.0813,86.76,12640405.8006
300274.SZ,20210519,59.8397,12.0117,6.2803,89.6,13054176.576
300274.SZ,20210520,57.4087,11.5238,6.0252,85.96,12523850.6526
300274.SZ,20210521,59.5458,11.9528,6.2495,89.16,12990071.2446
300274.SZ,20210524,59.0049,11.8442,6.1927,88.35,12872059.1573
300274.SZ,20210525,60.1469,12.0734,6.3126,90.06,13121195.7861
300274.SZ,20210526,58.1433,11.6712,6.1023,87.06,12684113.9811
300274.SZ,20210527,59.105,11.8643,6.2032,88.5,12893913.2475
300274.SZ,20210528,60.4942,12.3754,6.349,90.58,13196956.6323
300274.SZ,20210531,64.715,13.2388,6.792,96.9,14117742.3015
300274.SZ,20210601,64.1473,13.1227,6.7324,96.05,13993902.4568
300274.SZ,20210602,62.4977,12.7853,6.5593,93.58,13634038.4373
300274.SZ,20210603,58.9782,12.0652,6.1899,88.31,12866231.3999
300274.SZ,20210604,57.3018,11.7223,6.014,85.8,12500539.623
300274.SZ,20210607,55.3116,11.3152,5.8051,82.82,12066371.6967
300274.SZ,20210608,55.6656,11.3876,5.8423,83.35,12143589.4823
300274.SZ,20210609,57.3686,11.736,6.021,85.9,12515109.0165
300274.SZ,20210610,63.4528,12.9806,6.6596,95.01,13842380.7644
300274.SZ,20210611,65.3628,13.3714,6.86,97.87,14259065.4185
300274.SZ,20210615,65.5164,13.4028,6.8761,98.1,14292575.0235
300274.SZ,20210616,61.7631,12.635,6.4822,92.48,13473775.1088
300274.SZ,20210617,63.012,12.8905,6.6133,94.35,13746222.7673
300274.SZ,20210618,66.4448,13.5927,6.9736,99.49,14495089.5932
