ts_code,trade_date,close,pe_ttm,pb,ps_ttm,total_mv
300274.SZ,20260416,133.9,20.6223,5.9558,3.1127,27760300.9674
300274.SZ,20260415,133.89,20.6208,5.9553,3.1125,27758227.7559
300274.SZ,20260414,139.46,21.4786,6.2031,3.2419,28913006.5191
300274.SZ,20260413,134.24,20.6747,5.9709,3.1206,27830790.1558
300274.SZ,20260410,130.79,20.1434,5.8174,3.0404,27115532.2145
300274.SZ,20260409,123.8,19.0668,5.5065,2.8779,25666357.4291
300274.SZ,20260408,126.99,19.5581,5.6484,2.9521,26327711.8734
300274.SZ,20260407,122.28,18.8327,5.4389,2.8426,25351229.2927
300274.SZ,20260403,123.32,18.9929,5.4852,2.8667,25566843.2808
300274.SZ,20260402,127.25,19.5981,5.66,2.9581,26381615.3704
300274.SZ,20260401,134.45,20.707,5.9802,3.1255,27874327.5957
300274.SZ,20260331,150.76,20.4046,7.2663,3.314,31255735.4282
300274.SZ,20260330,157.1,21.2627,7.5718,3.4534,32570151.471
300274.SZ,20260327,163.35,22.1086,7.8731,3.5908,33865908.611
300274.SZ,20260326,166.0,22.4673,8.0008,3.6491,34415309.6384
300274.SZ,20260325,167.08,22.6135,8.0528,3.6728,34639216.4722
300274.SZ,20260324,164.68,22.2887,7.9372,3.62,34141645.7304
300274.SZ,20260323,168.54,22.8111,8.1232,3.7049,34941905.3401
300274.SZ,20260320,173.6,23.4959,8.3671,3.8161,35990950.3206
300274.SZ,20260319,165.1,22.3455,7.9574,3.6293,34228720.6102
300274.SZ,20260318,166.59,22.5472,8.0292,3.662,34537629.1124
300274.SZ,20260317,166.48,22.5323,8.0239,3.6596,34514823.7868
300274.SZ,20260316,173.0,23.4147,8.3382,3.8029,35866557.6352
300274.SZ,20260313,175.39,23.7382,8.4534,3.8555,36362055.1655
300274.SZ,20260312,173.1,23.4283,8.343,3.8051,35887289.7494
300274.SZ,20260311,170.92,23.1332,8.2379,3.7572,35435329.659
300274.SZ,20260310,156.1,21.1274,7.5236,3.4314,32362830.3286
300274.SZ,20260309,155.8,21.0868,7.5092,3.4248,32300633.9859
300274.SZ,20260306,149.8,20.2747,7.22,3.2929,31056707.1315
300274.SZ,20260305,148.46,20.0934,7.1554,3.2635,30778896.8007
