end_date,n_cashflow_act,free_cashflow
20081231,12077353.29,0.0
20091231,23176654.84,-10382716.6438
20101231,221640304.27,158561028.8465
20111231,-144810175.5,-220600457.3153
20121231,-222845728.34,-361201565.3539
20131231,294025296.95,154959278.4866
20141231,10336629.45,-172448142.5069
20151231,-326656272.78,-74418780.0023
20161231,865792599.19,-2224709915.6979
20171231,855355841.99,1018623581.1929
20181231,180882222.43,-310550023.0279
20191231,2480423195.18,978004055.696
20201231,3088658224.59,2444571372.8243
20211231,-1638632122.77,-5190973019.9595
20221231,1210498485.89,1897841724.5258
20231231,6981838977.28,5794558509.7694
20241231,12068326644.66,6192498616.4387
20251231,16917778579.11,14859361474.8515
