ts_code,ann_date,end_date,q_gsprofit_margin,grossprofit_margin,q_sales_yoy,q_profit_yoy,name
300274.SZ,20120814,20120630,36.7215,39.3057,23.6971,-37.4377,阳光电源
300274.SZ,20121024,20120930,31.3377,36.2194,-14.6372,-65.2946,阳光电源
300274.SZ,20130330,20121231,29.5564,33.1934,57.1051,-82.3118,阳光电源
300274.SZ,20130425,20130331,31.4044,31.4044,-1.2095,-74.2687,阳光电源
300274.SZ,20130727,20130630,19.5718,22.1059,176.4592,96.5251,阳光电源
300274.SZ,20131024,20130930,29.5817,25.2825,133.2519,250.2942,阳光电源
300274.SZ,20140320,20131231,22.3532,24.0902,75.4195,526.4451,阳光电源
300274.SZ,20140426,20140331,28.7188,28.7188,186.2451,692.5978,阳光电源
300274.SZ,20140826,20140630,28.9015,28.8145,-14.1183,11.2656,阳光电源
300274.SZ,20141021,20140930,26.2291,27.9477,-12.0889,-51.7484,阳光电源
300274.SZ,20150415,20141231,22.9154,25.2176,92.4914,133.2897,阳光电源
300274.SZ,20150425,20150331,25.6469,25.6469,64.8825,66.1616,阳光电源
300274.SZ,20150721,20150630,22.0805,23.5418,115.7389,79.8266,阳光电源
300274.SZ,20151027,20150930,27.7164,24.7679,57.9148,233.8524,阳光电源
300274.SZ,20160427,20151231,22.3777,23.6987,23.0286,3.6058,阳光电源
300274.SZ,20160427,20160331,21.8935,21.8935,86.8667,78.0177,阳光电源
300274.SZ,20160816,20160630,28.1425,24.5592,-3.494,5.1814,阳光电源
300274.SZ,20161020,20160930,29.6353,25.893,14.4511,-26.7554,阳光电源
300274.SZ,20170418,20161231,23.0693,24.5888,35.6738,52.4739,阳光电源
300274.SZ,20170418,20170331,28.9716,28.9716,-8.6888,2.9832,阳光电源
300274.SZ,20170815,20170630,26.5684,27.4147,125.8035,132.8679,阳光电源
300274.SZ,20171028,20170930,26.8553,27.1536,265.2282,447.1604,阳光电源
300274.SZ,20180424,20171231,27.5576,27.2556,-19.0615,7.1148,阳光电源
300274.SZ,20180424,20180331,30.7938,30.7938,36.7591,60.2097,阳光电源
300274.SZ,20180815,20180630,28.2107,29.3417,-4.5499,-24.6601,阳光电源
300274.SZ,20181027,20180930,31.457,29.9972,-43.5801,-39.2807,阳光电源
300274.SZ,20190330,20181231,18.7236,24.8606,110.4943,-24.1228,阳光电源
300274.SZ,20190420,20190331,26.6321,26.6321,30.1103,-13.0725,阳光电源
300274.SZ,20190815,20190630,29.2806,27.9635,2.4458,-8.6022,阳光电源
300274.SZ,20191026,20190930,22.3208,25.8259,55.5879,1.067,阳光电源
300274.SZ,20200425,20191231,21.3282,23.813,23.1768,65.3827,阳光电源
300274.SZ,20200429,20200331,28.3706,28.3706,-16.7837,-8.4232,阳光电源
300274.SZ,20200828,20200630,17.4768,20.3746,127.1307,78.6015,阳光电源
300274.SZ,20201030,20200930,30.9579,24.7886,82.5005,224.4536,阳光电源
300274.SZ,20210427,20201231,20.2912,23.0683,26.7631,126.074,阳光电源
300274.SZ,20210429,20210331,29.5637,29.5637,81.2353,142.1904,阳光电源
300274.SZ,20210828,20210630,26.9963,28.0429,-4.5524,35.7426,阳光电源
300274.SZ,20211029,20210930,26.7157,27.4245,44.2261,8.113,阳光电源
300274.SZ,20220420,20211231,13.183,22.254,18.7911,-87.2251,阳光电源
300274.SZ,20220420,20220331,29.4832,29.4832,36.4818,8.2803,阳光电源
300274.SZ,20220827,20220630,23.1998,25.5367,58.6018,30.414,阳光电源
300274.SZ,20221027,20220930,25.1371,25.358,38.7977,45.0495,阳光电源
300274.SZ,20230425,20221231,23.5448,24.5457,105.7905,1504.6922,阳光电源
300274.SZ,20230425,20230331,28.0011,28.0011,175.4204,261.9672,阳光电源
300274.SZ,20230825,20230630,30.5337,29.4206,107.9702,454.9647,阳光电源
300274.SZ,20231028,20230930,34.3747,31.3197,78.9494,146.111,阳光电源
300274.SZ,20240423,20231231,28.6274,30.357,43.2685,45.294,阳光电源
300274.SZ,20240423,20240331,36.6707,36.6707,0.2642,37.8277,阳光电源
300274.SZ,20240824,20240630,29.5013,32.4166,14.7383,1.9555,阳光电源
300274.SZ,20241031,20240930,29.5167,31.3177,6.3723,-8.2294,阳光电源
300274.SZ,20250426,20241231,27.4818,29.9425,8.0313,55.3698,阳光电源
300274.SZ,20250426,20250331,35.134,35.134,50.9202,79.9738,阳光电源
300274.SZ,20250826,20250630,33.7549,34.3579,33.0894,37.3608,阳光电源
300274.SZ,20251029,20250930,35.8672,34.8777,20.8313,53.9217,阳光电源
300274.SZ,20260401,20251231,22.9537,31.8317,-18.3747,-55.3892,阳光电源
300827.SZ,20161028,20131231,,34.9528,,,上能电气
300827.SZ,20170911,20141231,,34.4022,,,上能电气
300827.SZ,20181221,20151231,,35.8044,,,上能电气
300827.SZ,20161028,20160630,,30.1528,,,上能电气
300827.SZ,20190524,20161231,,30.5237,,,上能电气
300827.SZ,20170911,20170630,,31.7736,,,上能电气
300827.SZ,20200327,20171231,,32.6287,,,上能电气
300827.SZ,20181221,20180630,,31.3888,,,上能电气
300827.SZ,20200327,20181231,,28.7459,,,上能电气
300827.SZ,20200428,20190331,25.9313,25.9313,,,上能电气
300827.SZ,20200827,20190630,35.8851,29.7705,,,上能电气
300827.SZ,20201030,20190930,28.6994,29.367,,,上能电气
300827.SZ,20200327,20191231,30.6373,29.8097,,,上能电气
300827.SZ,20200428,20200331,29.0771,29.0771,-54.124,15.3803,上能电气
300827.SZ,20200827,20200630,28.9781,29.0195,1.351,-21.8005,上能电气
300827.SZ,20201030,20200930,22.4285,25.0594,67.5592,24.1985,上能电气
300827.SZ,20210421,20201231,26.9056,25.7445,15.8625,-32.6487,上能电气
300827.SZ,20210421,20210331,25.0943,25.0943,51.5355,-17.3281,上能电气
300827.SZ,20210830,20210630,22.1774,23.355,61.3632,-27.4444,上能电气
300827.SZ,20211029,20210930,23.4931,23.4086,-33.6767,-18.2106,上能电气
300827.SZ,20220330,20211231,26.352,24.6061,19.283,-34.4051,上能电气
