trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
20260420,114.91,26.9329,4.5848,14.177,4.3345,3477085.373,2349350.1871
20260417,114.55,26.8485,4.5704,14.1326,4.3481,3466192.0588,2341989.9393
20260416,115.78,27.1368,4.6195,14.2844,4.3019,3503410.8823,2367137.4524
20260415,115.73,27.1251,4.6175,14.2782,4.3038,3501897.922,2366115.1958
20260414,116.44,27.2915,4.6458,14.3658,4.2775,3523381.9583,2380631.2399
20260413,113.83,26.6798,4.5417,14.0438,4.3756,3444405.4304,2327269.4439
20260410,114.98,26.9493,4.5876,14.1857,4.3318,3479203.5174,2350781.3463
20260409,113.33,26.5626,4.5218,13.9821,4.3949,3429275.8273,2317046.8776
20260408,117.0,27.4228,4.6682,14.4349,4.257,3540327.1137,2392080.5142
20260407,113.14,26.518,4.5142,13.9587,4.4023,3423526.5782,2313162.3024
20260403,112.46,26.3587,4.487,13.8748,4.4289,3402950.318,2299259.6122
20260402,114.98,26.9493,4.5876,14.1857,4.3318,3479203.5174,2350781.3463
20260401,119.5,28.0087,4.7679,14.7433,4.168,3615975.129,2443193.3457
20260331,117.24,27.479,4.6778,14.4645,4.2483,3547589.3232,2396987.346
20260317,142.84,29.4963,5.8482,17.1853,3.4869,4322224.9993,2979521.9859
20260316,142.97,29.5231,5.8535,17.2009,3.4838,4326158.6961,2982233.6763
20260313,142.1,29.3435,5.8179,17.0962,3.5051,4299833.1868,2964086.2097
20260312,141.66,29.2526,5.7999,17.0433,3.516,4286519.1361,2954908.1806
20260311,143.68,29.6697,5.8826,17.2863,3.4665,4347642.7324,2997043.6778
20260310,140.54,29.0213,5.754,16.9086,3.544,4252628.8253,2931545.9248
20260309,138.72,28.6455,5.6795,16.6896,3.5905,4197557.0702,2893582.259
20260306,140.66,29.0461,5.759,16.923,3.541,4256259.93,2934049.0236
20260305,138.88,28.6785,5.6861,16.7088,3.5864,4202398.5432,2896919.7242
20260304,139.14,28.7322,5.6967,16.7401,3.5797,4210265.9368,2902343.105
20260303,138.0,28.4968,5.65,16.603,3.6092,4175770.4418,2878563.666
20260302,139.73,28.8541,5.7209,16.8111,3.5645,4228118.8684,2914650.0076
20260211,149.14,30.7972,6.1061,17.9432,3.3396,4512857.9978,3110934.675
20260210,149.47,30.8654,6.1197,17.9829,3.3323,4522843.5358,3117818.1968
20260209,153.88,31.776,6.3002,18.5135,3.2368,4656286.6347,3209807.0792
20260206,150.42,31.0615,6.1586,18.0972,3.3112,4551589.7816,3137634.3959
20260205,153.96,31.7925,6.3035,18.5231,3.2351,4658707.3712,3211475.8117
20260204,148.32,30.6279,6.0726,17.8446,3.3581,4488045.4488,3093830.1662
20260203,147.57,30.473,6.0419,17.7543,3.3752,4465351.0442,3078185.7985
20260130,139.73,28.8541,5.7209,16.8111,3.5645,4228118.8684,2914650.0076
20260129,144.38,29.8143,5.9113,17.3705,3.4497,4368824.1767,3011645.0877
20260128,138.12,28.5216,5.655,16.6174,3.6061,4179401.5465,2881066.7648
20260127,140.31,28.9738,5.7446,16.8809,3.5498,4245669.2079,2926748.3187
20260126,142.01,29.3249,5.8142,17.0854,3.5073,4297109.8583,2962208.8856
20260123,142.93,29.5149,5.8519,17.1961,3.4847,4324948.3279,2981399.31
20260122,141.6,29.2402,5.7974,17.0361,3.5175,4284703.5838,2953656.6312
20260121,144.6,29.8597,5.9203,17.397,3.4445,4375481.2021,3016234.1022
20260120,144.82,29.9051,5.9293,17.4235,3.4393,4382138.2274,3020823.1167
20260119,147.16,30.3883,6.0251,17.705,3.3846,4452944.7697,3069633.5441
20260116,146.31,30.2128,5.9903,17.6027,3.4042,4427224.4445,3051903.2607
20260115,148.81,30.7291,6.0926,17.9035,3.347,4502872.4597,3104051.1532
20251230,141.25,29.1679,5.7831,16.994,3.5262,4274112.8616,2946355.9263
20251229,141.03,29.1225,5.7741,16.9675,3.5317,4267455.8363,2941766.9117
