end_date,ann_date,record_date,ex_date,pay_date,cash_div_tax
20250630,20250819,,,,1.2
20250630,20250819,,,,1.2
20250630,20250819,20250925,20250926,20250926,1.2
20241231,20250320,,,,3.8
20241231,20250320,,,,3.8
20241231,20250320,20250429,20250430,20250430,3.8
20240630,20240822,,,,0.0
20231231,20240320,,,,2.323
20231231,20240320,,,,2.323
20231231,20240320,20240426,20240429,20240429,2.323
20230630,20230825,,,,1.848
20230630,20230825,,,,1.848
20230630,20230825,20231020,20231023,20231023,1.848
20221231,20230309,,,,2.8
20221231,20230309,,,,2.8
20221231,20230309,20230512,20230515,20230515,2.8
20220630,20220825,,,,0.0
20211231,20220308,,,,2.1
20211231,20220308,,,,2.1
20211231,20220308,20220415,20220418,20220418,2.1
