ts_code,ann_date,end_date,roe,roic,roa,grossprofit_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets,ocf_to_profit,eps,bps,arturn_days,invturn_days
300896.SZ,20251029,20250930,14.3967,13.6578,14.844,93.3619,59.3775,10.0348,9.7944,8.2004,83.6004,3.63,24.4246,22.4581,184.6028
300896.SZ,20250819,20250630,10.3514,9.6757,10.5103,93.4358,60.901,10.0079,9.8087,8.3434,71.3718,2.62,24.6409,26.4088,163.7704
300896.SZ,20250425,20250331,5.534,5.2917,5.9732,93.8514,66.9203,20.9947,20.7564,3.7045,64.0028,1.47,27.2305,26.0379,153.4004
300896.SZ,20250320,20241231,27.679,26.5541,29.6158,94.6387,64.658,14.6699,14.4581,4.6804,84.1369,6.5,25.7676,22.2807,136.0544
300896.SZ,20241024,20240930,23.0129,22.0362,24.7128,94.804,66.7292,16.5634,16.3227,4.3387,82.4429,5.26,24.5717,22.248,128.9029
300896.SZ,20240822,20240630,16.8252,16.0559,17.8952,94.9141,67.6773,16.839,16.6271,4.4965,88.1679,3.72,23.0666,19.2806,114.7959
300896.SZ,20240425,20240331,7.9735,7.5914,8.5965,94.5466,65.3506,20.8775,20.6762,3.8973,86.3291,2.45,31.8073,19.904,96.9723
300896.SZ,20240320,20231231,30.4816,28.8105,32.0297,95.0941,64.646,14.282,14.1148,5.3605,90.5411,8.6,29.3397,20.9416,123.3764
300896.SZ,20231025,20230930,22.999,21.729,24.2661,95.3006,65.2321,16.3739,16.2473,5.0234,88.9016,6.56,29.9853,21.842,107.4413
300896.SZ,20230825,20230630,15.9689,15.0736,16.8107,95.4137,65.8551,18.1635,17.9852,4.726,87.545,4.45,28.7474,19.4154,117.6778
300896.SZ,20230426,20230331,6.8451,6.4033,7.2514,95.2924,65.5376,20.7533,20.562,4.3618,87.986,1.91,28.8969,19.0573,128.2782
300896.SZ,20230309,20221231,23.2366,22.1741,25.0409,94.8468,65.3786,18.4401,18.2317,4.9974,80.2267,5.84,27.0204,18.5781,147.1009
300896.SZ,20221026,20220930,18.752,17.8154,20.1344,94.6106,66.6031,23.9316,23.7194,4.2708,81.859,4.59,25.6647,18.5128,121.0003
300896.SZ,20220825,20220630,11.6011,11.0314,12.4387,94.3884,66.7829,23.9624,23.6902,4.3789,81.4167,2.73,23.8433,17.1017,142.4953
300896.SZ,20220427,20220331,5.4204,5.1495,5.8388,94.4511,65.0307,27.0413,26.8051,4.1461,73.2626,1.29,24.5212,16.0517,132.2363
300896.SZ,20220308,20211231,20.0307,19.0009,21.6169,93.6963,66.12,21.2964,21.1008,4.4669,83.682,4.43,23.2459,12.7023,121.7615
300896.SZ,20211015,20210930,15.2158,14.4096,16.4638,93.5427,69.2454,27.6473,27.409,4.0022,80.3773,3.28,22.1128,11.894,118.8485
300896.SZ,20210824,20210630,9.4186,8.8671,10.1237,93.2489,67.0884,34.7071,34.4859,3.6368,87.9755,1.97,20.8027,9.7956,113.0085
300896.SZ,20210427,20210331,3.8731,3.5286,4.1051,92.4987,63.9351,37.9712,37.7175,3.169,78.3953,1.24,19.7998,10.8583,125.0869
300896.SZ,20210209,20201231,16.937,16.2103,18.1633,91.8056,61.1019,48.7545,48.4559,2.1898,84.6712,4.508,37.7189,11.3079,155.1457
300896.SZ,20201028,20200930,11.5173,11.2808,12.6714,91.5386,61.5129,40.0185,39.7602,2.6402,77.5588,3.2,36.4767,12.658,175.2564
300896.SZ,20200909,20200630,20.106,19.4752,20.3619,90.2234,59.4692,13.1183,12.686,7.2065,69.8247,1.637,8.9581,13.1605,171.9526
300896.SZ,20210427,20200331,6.5358,6.4986,6.3419,89.8346,53.3282,,,,-17.0798,,,,
300896.SZ,20200909,20191231,57.7899,55.5484,57.822,92.6307,53.4272,8.3979,8.0515,10.8849,88.4364,3.395,7.3215,7.6983,158.8002
300896.SZ,20201028,20190930,55.2983,54.4341,55.1366,92.5679,54.1992,,,,83.8158,,,,
300896.SZ,20200909,20190630,29.2018,27.935,29.274,92.1037,52.0114,7.5197,7.1284,11.4225,79.6318,1.428,5.3551,8.035,153.5181
300896.SZ,20200909,20181231,33.9625,31.0574,32.8865,89.3412,36.1761,6.6303,6.3401,12.6976,94.5776,1.365,4.4268,7.5775,160.435
300896.SZ,20200909,20171231,27.9606,25.3179,26.1773,86.1476,34.4884,4.7936,4.4538,17.1781,89.8181,0.913,3.6118,7.805,196.1853
300896.SZ,20191220,20161231,25.7531,25.1634,25.904,87.1936,37.7351,5.3736,4.9644,15.409,88.6447,0.618,2.9207,11.8291,232.7536
300896.SZ,20170707,20151231,14.7271,14.5213,19.6998,91.3117,15.7864,10.8752,10.3136,12.1523,177.8653,,12.891,12.0003,228.615
300896.SZ,20170707,20141231,32.2734,32.2734,32.2592,93.7253,37.8299,8.8845,8.3278,16.3652,84.5062,,8.8058,16.5583,389.063
