trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
20260417,39.76,22.3444,2.8703,2.0628,1.3836,3450884.3959,3408030.2727
20260416,40.34,22.6703,2.9122,2.0929,1.3637,3501224.2588,3457745.0
20260415,40.55,22.7883,2.9274,2.1038,1.3567,3519450.7609,3475745.1599
20260414,40.84,22.9513,2.9483,2.1189,1.347,3544620.6924,3500602.5236
20260413,40.85,22.9569,2.949,2.1194,1.3467,3545488.621,3501459.674
20260410,41.08,23.0862,2.9656,2.1313,1.3392,3565450.9805,3521174.1349
20260409,41.03,23.0581,2.962,2.1287,1.3408,3561111.3371,3516888.3825
20260408,40.65,22.8445,2.9346,2.109,1.3533,3528130.0476,3484316.6646
20260407,39.62,22.2657,2.8602,2.0556,1.3885,3438733.3945,3396030.1661
20260403,40.67,22.8558,2.936,2.11,1.3527,3529865.905,3486030.9656
20260402,40.72,22.8839,2.9396,2.1126,1.351,3534205.5483,3490316.7179
20260401,40.15,22.5635,2.8985,2.0831,1.3702,3484733.6141,3441459.1411
20260331,40.41,22.7097,2.9173,2.0966,1.3614,3507299.7595,3463745.0533
20260317,40.96,23.8954,3.0715,2.2122,1.343,3555239.8172,3510888.3292
20260316,40.95,23.8895,3.0708,2.2117,1.3433,3554371.8387,3510031.1787
20260313,42.09,24.5546,3.1563,2.2732,1.307,3653321.3844,3607746.3324
20260312,42.25,24.6479,3.1683,2.2819,1.302,3667209.04,3621460.74
20260311,42.31,24.6829,3.1728,2.2851,1.3002,3672416.9108,3626603.6428
20260310,41.94,24.4671,3.145,2.2651,1.3116,3640301.7074,3594889.0754
20260309,41.55,24.2395,3.1158,2.2441,1.324,3606450.547,3561460.207
20260306,43.24,25.2255,3.2425,2.3353,1.2722,3753138.9086,3706318.6366
20260305,41.41,24.1579,3.1053,2.2365,1.3284,3594298.8484,3549460.1004
20260304,42.22,24.6304,3.166,2.2802,1.3029,3664605.1046,3618889.2886
20260303,42.3,24.6771,3.172,2.2846,1.3005,3671548.9323,3625746.4923
20260302,43.46,25.3538,3.259,2.3472,1.2658,3772234.435,3725175.947
20260211,44.15,25.7563,3.3108,2.3845,1.246,3832124.9495,3784319.3295
20260210,43.74,25.5172,3.28,2.3623,1.2577,3796537.8322,3749176.1602
20260209,43.77,25.5347,3.2823,2.364,1.2568,3799141.7676,3751747.6116
20260206,43.84,25.5755,3.2875,2.3677,1.2548,3805217.6169,3757747.6649
20260205,44.29,25.838,3.3213,2.392,1.242,3844276.6481,3796319.4361
20260204,43.44,25.3421,3.2575,2.3461,1.2663,3770498.478,3723461.646
20260203,43.27,25.243,3.2448,2.337,1.2713,3755742.844,3708890.088
20260130,41.85,24.4146,3.1383,2.2603,1.3145,3632489.9011,3587174.7211
20260129,42.63,24.8696,3.1968,2.3024,1.2904,3700192.2219,3654032.4579
20260128,42.65,24.8813,3.1983,2.3035,1.2898,3701928.1788,3655746.7588
20260127,43.2,25.2021,3.2395,2.3332,1.2734,3749666.9947,3702890.0347
20260126,43.8,25.5522,3.2845,2.3656,1.2559,3801745.703,3754319.063
20260123,45.1,26.3106,3.382,2.4358,1.2197,3914582.9042,3865748.6242
20260122,44.91,26.1997,3.3677,2.4255,1.2249,3898091.3133,3849462.7653
20260121,45.2,26.3689,3.3895,2.4412,1.217,3923262.6889,3874320.1289
20260120,45.33,26.4447,3.3992,2.4482,1.2135,3934546.409,3885463.085
20260119,45.3,26.4272,3.397,2.4466,1.2144,3931942.4736,3882891.6336
20260116,44.42,25.9139,3.331,2.3991,1.2384,3855560.3682,3807462.3922
20260115,44.9,26.1939,3.367,2.425,1.2252,3897223.3348,3848605.6148
20251230,42.82,24.9827,3.211,2.3129,1.2846,3717026.3728,3670318.3168
20251229,43.61,25.4437,3.2702,2.3555,1.2613,3785602.992,3738033.204
