end_date,ann_date,record_date,ex_date,pay_date,cash_div_tax
20250630,20250815,,,,0.0
20241231,20250410,,,,0.55
20241231,20250410,20250612,20250613,20250613,0.55
20241231,20250410,,,,0.55
20240630,20240808,,,,0.0
20231231,20240319,,,,0.5
20231231,20240319,,,,0.5
20231231,20240319,20240527,20240528,20240528,0.5
20230630,20230825,,,,0.0
20221231,20230331,,,,0.5
20221231,20230331,20230519,20230522,20230522,0.5
20221231,20230331,,,,0.5
20220630,20220811,,,,0.0
20211231,20220329,,,,0.5
20211231,20220329,,,,0.5
20211231,20220329,20220512,20220513,20220513,0.5
20210630,20210723,,,,0.0
20201231,20210326,,,,0.5
20201231,20210326,,,,0.49473
20201231,20210326,,,,0.5
