ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60
600298.SH,20250102,36.0,36.67,35.67,35.81,36.05,-0.24,-0.6657,63403.71,229458.067,,
600298.SH,20250103,35.81,36.08,34.84,34.96,35.81,-0.85,-2.3736,64615.38,228503.295,,
600298.SH,20250106,34.81,35.28,34.31,34.75,34.96,-0.21,-0.6007,53290.52,185230.884,,
600298.SH,20250107,34.7,34.93,34.3,34.49,34.75,-0.26,-0.7482,48393.96,167081.901,,
600298.SH,20250108,34.49,34.77,33.92,34.68,34.49,0.19,0.5509,50322.18,172963.441,,
600298.SH,20250109,34.5,34.88,34.22,34.32,34.68,-0.36,-1.0381,41277.74,142448.803,,
600298.SH,20250110,34.4,34.67,34.0,34.0,34.32,-0.32,-0.9324,39213.12,134065.561,,
600298.SH,20250113,33.83,34.05,32.94,33.08,34.0,-0.92,-2.7059,80510.63,268246.435,,
600298.SH,20250114,33.16,33.9,32.68,33.74,33.08,0.66,1.9952,73741.28,246099.37,,
600298.SH,20250115,33.6,34.25,33.5,33.75,33.74,0.01,0.0296,44350.35,150225.338,,
600298.SH,20250116,33.78,34.68,33.67,34.34,33.75,0.59,1.7481,62011.86,213054.131,,
600298.SH,20250117,34.31,35.94,34.16,35.83,34.34,1.49,4.339,81648.0,289469.663,,
600298.SH,20250120,35.83,36.45,35.19,35.29,35.83,-0.54,-1.5071,60759.35,217653.913,,
600298.SH,20250121,35.3,35.55,34.22,34.73,35.29,-0.56,-1.5869,59806.07,207394.452,,
600298.SH,20250122,34.68,34.95,34.11,34.4,34.73,-0.33,-0.9502,39721.6,136685.306,,
600298.SH,20250123,34.58,35.06,34.2,34.46,34.4,0.06,0.1744,68438.1,236163.112,,
600298.SH,20250124,34.37,35.46,34.23,34.92,34.46,0.46,1.3349,62678.71,219687.139,,
600298.SH,20250127,35.09,35.59,34.56,34.56,34.92,-0.36,-1.0309,56956.68,199331.552,,
600298.SH,20250205,34.67,34.69,34.07,34.1,34.56,-0.46,-1.331,61510.08,210976.41,,
600298.SH,20250206,34.03,34.32,33.66,34.13,34.1,0.03,0.088,70329.12,238918.698,34.517,
600298.SH,20250207,34.07,36.12,33.85,35.79,34.13,1.66,4.8638,141874.94,501558.867,34.516,
600298.SH,20250210,36.33,37.44,35.95,36.38,35.79,0.59,1.6485,129614.23,475129.939,34.587,
600298.SH,20250211,36.45,36.6,36.0,36.4,36.38,0.02,0.055,50815.86,184447.516,34.6695,
600298.SH,20250212,36.39,36.49,35.78,36.31,36.4,-0.09,-0.2473,60045.16,216537.055,34.7605,
600298.SH,20250213,36.32,36.85,36.0,36.4,36.31,0.09,0.2479,84594.5,308417.038,34.8465,
600298.SH,20250214,36.4,36.97,36.21,36.68,36.4,0.28,0.7692,63810.4,233731.416,34.9645,
600298.SH,20250217,36.71,36.84,35.82,36.31,36.68,-0.37,-1.0087,71422.36,258103.694,35.08,
600298.SH,20250218,36.23,37.0,36.02,36.41,36.31,0.1,0.2754,75723.79,277021.831,35.2465,
600298.SH,20250219,36.2,36.75,36.02,36.3,36.41,-0.11,-0.3021,60156.5,218785.309,35.3745,
