ts_code,ann_date,end_date,roe,roic,roa,grossprofit_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets,ocf_to_profit,eps,bps,arturn_days,invturn_days
600298.SH,20251030,20250930,9.9661,6.5377,6.5738,25.5393,9.7666,1.1791,0.6767,48.8541,159.205,1.3,13.3355,38.49,137.4046
600298.SH,20250815,20250630,7.2429,4.7564,4.8511,26.0853,10.5202,1.1077,0.5987,47.2402,25.948,0.94,12.9523,44.4214,137.2474
600298.SH,20250426,20250331,3.3586,2.2697,2.3278,25.9709,10.1988,1.2351,0.6466,47.4426,-53.1593,0.43,12.9062,45.411,145.255
600298.SH,20250410,20241231,12.6738,8.444,8.1767,23.5236,8.9026,1.2229,0.6726,47.8241,105.4541,1.55,12.4661,40.0027,125.4443
600298.SH,20241031,20240930,9.2952,6.1023,6.15,23.2789,8.8868,1.3746,0.779,47.7165,96.7192,1.12,12.0125,39.2744,126.2095
600298.SH,20240808,20240630,6.825,4.4289,4.5339,24.2824,9.8793,1.3776,0.7211,47.7694,-10.4718,0.8,11.7178,44.0109,134.5191
600298.SH,20240420,20240331,3.1519,2.0604,2.0529,24.6616,9.4739,1.366,0.7099,47.7132,-170.2599,0.37,11.705,43.3442,141.9111
600298.SH,20240319,20231231,13.141,8.9953,8.6542,24.1908,9.6582,1.3161,0.704,45.0126,87.5408,1.47,11.5958,41.4799,119.3199
600298.SH,20231025,20230930,9.492,6.6113,6.5866,24.6672,9.8379,1.3141,0.6996,43.3121,102.439,1.0577,11.4543,39.4092,117.3709
600298.SH,20230825,20230630,7.0959,4.8964,4.746,24.5351,10.392,1.1926,0.6285,44.4005,38.0778,0.7765,11.0374,43.2578,111.8638
600298.SH,20230429,20230331,3.7308,2.6132,2.4855,25.402,10.8687,1.0568,0.5541,42.8091,30.0164,0.4094,11.0874,42.4949,112.3035
600298.SH,20230331,20221231,16.401,11.2919,10.8866,24.8033,10.5025,0.9944,0.5459,43.2424,67.601,1.5684,10.6534,37.9323,97.9992
600298.SH,20221026,20220930,11.4481,7.7387,7.5822,25.1771,10.2056,1.2234,0.7097,44.2186,14.5096,1.0728,10.1433,37.3237,102.3076
600298.SH,20220811,20220630,8.6635,5.8076,5.7577,26.7141,11.1793,1.3003,0.7933,44.8647,-32.4007,0.8104,9.8492,39.4538,102.2611
600298.SH,20220419,20220331,4.4499,2.9458,2.9562,26.6774,10.4534,1.2074,0.6958,46.1843,-80.7016,0.3793,8.6365,38.7881,95.0269
600298.SH,20220329,20211231,20.5358,14.0226,12.9986,27.3385,12.3789,1.2236,0.7199,46.4434,87.9732,1.5879,8.2295,32.4158,98.4844
600298.SH,20211023,20210930,16.111,11.3793,10.6644,29.5839,13.6022,1.3527,0.76,42.8113,36.0511,1.2353,8.1007,35.848,104.372
600298.SH,20210723,20210630,13.3308,9.2041,8.8192,31.8416,16.0654,1.3584,0.7608,43.0373,-20.5724,0.9939,7.8402,35.4701,106.654
600298.SH,20210415,20210331,7.2338,5.0339,4.9053,33.2371,16.9126,1.4096,0.7489,41.6369,-84.1678,0.5364,7.6837,30.6853,105.8077
600298.SH,20210326,20201231,25.1198,17.4144,16.1565,33.9963,15.9199,1.4224,0.7846,42.7427,114.9868,1.6643,7.1473,32.4942,121.6586
600298.SH,20201023,20200930,19.1781,13.2567,12.9224,40.1442,16.4427,1.3978,0.7477,42.3631,122.563,1.229,6.7093,34.9261,134.8786
600298.SH,20200818,20200630,13.8985,9.3303,9.1658,40.549,17.2799,1.0657,0.572,45.6982,92.5236,0.8724,6.4508,36.77,139.654
600298.SH,20200423,20200331,5.9454,4.053,4.0282,37.9428,15.5875,1.1541,0.6209,46.298,72.3946,0.3681,6.2779,39.4737,140.4933
600298.SH,20200331,20191231,19.3397,13.2291,12.7281,35.0041,12.2816,1.2937,0.6271,46.5269,117.8897,1.0939,6.1036,37.1839,139.7461
600298.SH,20191023,20190930,14.6393,9.8426,9.7283,35.3973,12.416,1.2749,0.6616,46.9143,91.6561,0.808,5.8249,39.5245,134.7305
600298.SH,20190810,20190630,10.4806,6.6522,6.721,36.2334,12.9693,1.2031,0.6537,51.2218,30.333,0.5634,5.5417,41.8634,141.3983
