year,end_date,revenue_yi,total_revenue_yi,sales_cash_yi,revenue_yoy_pct,sales_cash_to_revenue_pct,source
2016,20161231,388.62189993839996,401.5508441293,610.1296410254,18.99168807763738,156.99826518323107,"Tushare income.revenue / cashflow.c_fr_sale_sg; annual report_type=1,end_type=4"
2017,20171231,582.1786131417,610.6275686616,644.2147934302,49.805920158894935,110.65586726962103,"Tushare income.revenue / cashflow.c_fr_sale_sg; annual report_type=1,end_type=4"
2018,20181231,736.3887238803,771.9938411022,842.6869573262,26.4884534157674,114.43507077155878,"Tushare income.revenue / cashflow.c_fr_sale_sg; annual report_type=1,end_type=4"
2019,20191231,854.2957346725,888.5433748876,949.8013863164,16.011517690127718,111.17946019951894,"Tushare income.revenue / cashflow.c_fr_sale_sg; annual report_type=1,end_type=4"
2020,20201231,949.1538091672,979.9324050121,1070.2438456017,11.103657743423545,112.75768324005841,"Tushare income.revenue / cashflow.c_fr_sale_sg; annual report_type=1,end_type=4"
2021,20211231,1061.9015484376,1094.6427856389,1193.2053679665,11.878763819040694,112.36497109568117,"Tushare income.revenue / cashflow.c_fr_sale_sg; annual report_type=1,end_type=4"
2022,20221231,1240.9984377199,1275.5395935597,1406.91678592,16.865677382786505,113.36974674238458,"Tushare income.revenue / cashflow.c_fr_sale_sg; annual report_type=1,end_type=4"
2023,20231231,1476.9360499414001,1505.6033031645002,1636.9990941762,19.01191855285418,110.83750675874902,"Tushare income.revenue / cashflow.c_fr_sale_sg; annual report_type=1,end_type=4"
2024,20241231,1708.9915227633999,1741.4406995825,1826.4520333989,15.711951294790794,106.87308913303264,"Tushare income.revenue / cashflow.c_fr_sale_sg; annual report_type=1,end_type=4"
2025,20251231,1688.3810251479,1720.5417189091,1839.904034878,-1.2060035021223103,108.97445585286809,SSE 2025 annual report: consolidated income statement and consolidated cash flow statement
