trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
20260417,61.95,18.4198,2.7574,2.6025,3.5513,8451188.7746,4393035.2169
20260416,62.06,18.4525,2.7623,2.6071,3.545,8466194.9209,4400835.6023
20260415,62.0,18.4347,2.7596,2.6046,3.5484,8458009.7502,4396580.8466
20260414,61.92,18.4109,2.7561,2.6012,3.553,8447096.1892,4390907.8391
20260413,62.26,18.512,2.7712,2.6155,3.5336,8493478.8233,4415018.1211
20260410,62.38,18.5476,2.7766,2.6206,3.5268,8509849.1648,4423527.6324
20260409,62.54,18.5952,2.7837,2.6273,3.5178,8531676.2867,4434873.6475
20260408,63.45,18.8658,2.8242,2.6655,3.4673,8655818.0427,4499404.1083
20260407,63.01,18.735,2.8046,2.647,3.4915,8595793.4574,4468202.5668
20260403,63.11,18.7647,2.809,2.6512,3.486,8609435.4086,4475293.8263
20260402,63.99,19.0264,2.8482,2.6882,3.438,8729484.5793,4537696.9093
20260401,63.3,18.8212,2.8175,2.6592,3.4755,8635355.1159,4488767.2192
20260331,61.86,18.393,2.7534,2.5987,3.5564,8438911.0185,4386653.0834
20260317,63.8,18.8004,2.7778,2.6743,3.4483,8703564.872,4524223.5163
20260316,63.83,18.8093,2.7791,2.6756,3.4467,8707657.4573,4526350.8942
20260313,63.42,18.6885,2.7612,2.6584,3.4689,8651725.4574,4497276.7305
20260312,63.21,18.6266,2.7521,2.6496,3.4805,8623077.3598,4482385.0857
20260311,63.09,18.5912,2.7468,2.6445,3.4871,8606707.0184,4473875.5744
20260310,62.95,18.55,2.7407,2.6387,3.4948,8587608.2867,4463947.8112
20260309,62.26,18.3466,2.7107,2.6097,3.5336,8493478.8233,4415018.1211
20260306,62.46,18.4056,2.7194,2.6181,3.5223,8520762.7258,4429200.64
20260305,61.4,18.0932,2.6733,2.5737,3.5831,8376158.0429,4354033.29
20260304,61.42,18.0991,2.6741,2.5745,3.5819,8378886.4332,4355451.5419
20260303,62.1,18.2995,2.7037,2.603,3.5427,8471651.7014,4403672.106
20260302,61.97,18.2612,2.6981,2.5976,3.5501,8453917.1648,4394453.4688
20260211,62.33,18.3673,2.7138,2.6127,3.5296,8503028.1892,4419982.0027
20260210,62.57,18.438,2.7242,2.6227,3.5161,8535768.8721,4437001.0254
20260209,62.9,18.5352,2.7386,2.6366,3.4976,8580787.3111,4460402.1815
20260206,63.05,18.5794,2.7451,2.6429,3.4893,8601250.2379,4471039.0706
20260205,63.33,18.6619,2.7573,2.6546,3.4739,8639447.7013,4490894.597
20260204,62.35,18.3732,2.7146,2.6135,3.5285,8505756.5794,4421400.2546
20260203,61.86,18.2288,2.6933,2.593,3.5564,8438911.0185,4386653.0834
20260130,60.08,17.7042,2.6158,2.5184,3.6618,8196084.287,4260428.6655
20260129,63.57,18.7327,2.7677,2.6647,3.4608,8672188.3842,4507913.6197
20260128,60.26,17.7573,2.6236,2.5259,3.6509,8220639.7991,4273192.9325
20260127,61.18,18.0284,2.6637,2.5645,3.596,8346145.7503,4338432.5193
20260126,61.89,18.2376,2.6946,2.5942,3.5547,8443003.6039,4388780.4612
20260123,61.79,18.2081,2.6902,2.59,3.5605,8429361.6527,4381689.2018
20260122,61.95,18.2553,2.6972,2.5968,3.5513,8451188.7746,4393035.2169
20260121,61.85,18.2258,2.6929,2.5926,3.557,8437546.8234,4385943.9575
20260120,62.54,18.4291,2.7229,2.6215,3.5178,8531676.2867,4434873.6475
20260119,62.24,18.3407,2.7098,2.6089,3.5347,8490750.4331,4413599.8692
20260116,61.45,18.1079,2.6754,2.5758,3.5802,8382979.0185,4357578.9197
20260115,61.85,18.2258,2.6929,2.5926,3.557,8437546.8234,4385943.9575
20251230,61.27,18.0549,2.6676,2.5682,3.5907,8358423.5064,4344814.6528
20251229,61.36,18.0814,2.6715,2.572,3.5854,8370701.2625,4351196.7862
