end_date,ann_date,record_date,ex_date,pay_date,cash_div_tax
20250630,20250827,,,,0.0
20241231,20250331,,,,2.2
20241231,20250331,20250626,20250627,20250627,2.2
20241231,20250331,,,,2.2
20240630,20240830,,,,0.0
20231231,20240327,,,,2.0
20231231,20240327,,,,2.0
20231231,20240327,20240715,20240716,20240716,2.0
20230630,20230828,,,,0.0
20230323,20230323,20230713,20230714,20230714,0.5
20221231,20230323,,,,0.0
20221231,20230323,20230713,20230714,20230714,0.0
20221231,20230323,,,,0.0
20220630,20220826,,,,0.0
20211231,20220329,,,,1.1
20211231,20220329,,,,1.1
20211231,20220329,20220718,20220719,20220719,1.1
20210630,20210826,,,,0.0
20201231,20210329,,,,0.75
20201231,20210329,,,,0.75
