ts_code,ann_date,end_date,roe,roic,roa,grossprofit_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets,ocf_to_profit,eps,bps,arturn_days,invturn_days
600600.SH,20251028,20250930,17.4666,16.5718,13.3309,43.656,18.3958,1.5867,1.4652,37.3458,81.4642,3.867,22.9682,1.1126,44.2101
600600.SH,20250827,20250630,13.2298,12.5201,9.7229,43.6973,19.3936,1.4312,1.3136,41.2431,91.4139,2.862,21.9637,1.1918,44.068
600600.SH,20250429,20250331,5.7173,5.3709,4.2782,41.6379,16.6407,1.5672,1.4228,38.4735,77.7277,1.254,22.5561,0.9615,43.1738
600600.SH,20250331,20241231,15.3778,13.8414,10.5021,40.2265,13.9766,1.4375,1.2334,41.9305,88.2176,3.191,21.3022,1.1359,66.6802
600600.SH,20241030,20240930,17.4329,16.1675,12.5938,41.7621,17.7152,1.8673,1.7374,39.1076,92.6134,3.667,21.8424,1.1954,44.5545
600600.SH,20240830,20240630,13.0424,12.0967,9.024,41.6034,18.5423,1.6324,1.5189,44.6736,116.3237,2.672,20.8137,1.0768,44.1772
600600.SH,20240430,20240331,5.6523,5.1823,4.0285,40.4406,15.9949,1.8286,1.6763,40.8528,132.3224,1.175,21.3074,0.9032,45.0113
600600.SH,20240327,20231231,16.122,14.4599,10.5586,38.6593,12.8127,1.7503,1.541,42.637,48.4164,3.139,20.1213,1.1668,66.5115
600600.SH,20231028,20230930,18.3134,16.9484,12.4462,39.7275,16.1369,1.8197,1.6893,41.8614,77.1562,3.612,20.5992,1.2489,45.6513
600600.SH,20230828,20230630,13.1636,12.215,8.5183,39.2067,16.1232,1.6017,1.4864,47.7584,99.9612,2.516,19.4634,1.23,44.8151
600600.SH,20230425,20230331,5.5281,5.0709,3.6862,38.3164,13.7614,1.7666,1.622,44.6116,92.5065,1.071,19.7984,1.0937,46.0617
600600.SH,20230323,20221231,15.3026,13.6191,9.4054,36.8451,11.8263,1.6268,1.4157,47.7809,97.5574,2.736,18.688,1.367,67.7303
600600.SH,20221027,20220930,17.4029,15.9654,11.267,38.0646,14.9986,1.7247,1.6049,45.504,104.5516,3.149,19.083,1.1844,42.3609
600600.SH,20220826,20220630,12.0086,11.0501,7.5438,38.0957,15.0904,1.5675,1.4519,49.4718,122.7208,2.1,17.9564,1.383,44.1014
600600.SH,20220429,20220331,4.7762,4.3803,3.0948,37.8457,12.5157,1.6527,1.5068,46.8472,61.3224,0.834,17.7069,1.2418,47.667
600600.SH,20220329,20211231,14.4667,13.109,9.5053,36.7148,10.7941,1.586,1.3947,48.9,135.6492,2.328,16.8591,1.4573,63.8683
600600.SH,20211029,20210930,16.4021,14.8161,10.84,43.6555,13.8857,1.6848,1.5733,46.5815,125.4464,2.665,17.1541,1.3759,45.9488
600600.SH,20210826,20210630,11.2861,10.2557,7.164,44.3973,13.596,1.5629,1.4387,49.2528,153.1227,1.78,16.2577,1.5587,48.6237
600600.SH,20210423,20210331,4.8298,4.3516,3.1078,45.1296,11.8141,1.6229,1.4676,47.6996,176.3944,0.756,15.9064,1.3157,52.9038
600600.SH,20210329,20201231,11.0637,9.2311,6.9245,40.4151,8.3825,1.5879,1.3763,48.5283,152.409,1.629,15.1167,1.7545,70.3304
600600.SH,20201030,20200930,14.7159,13.2166,9.567,41.9758,12.739,1.6606,1.5146,46.0821,142.9846,2.204,15.615,1.7529,50.5504
600600.SH,20200831,20200630,9.4453,8.4067,5.907,41.7587,12.3697,1.5303,1.3814,48.589,192.7663,1.373,14.8832,1.7223,54.1908
600600.SH,20200430,20200331,2.7759,2.2701,1.6917,40.0605,8.8051,1.6312,1.4489,45.2376,80.8762,0.398,14.4577,2.1633,65.5117
600600.SH,20200330,20191231,9.9731,8.027,6.2355,38.963,6.8937,1.5727,1.3345,46.6307,148.8776,1.371,14.1908,1.6838,61.4702
600600.SH,20191029,20190930,13.6544,12.1427,9.2706,40.1881,10.9536,1.6106,1.473,43.3467,122.1456,1.914,14.7327,1.7341,39.6995
600600.SH,20190816,20190630,8.8321,7.8611,5.8033,40.1122,10.4258,1.4531,1.3148,47.3297,165.3801,1.207,14.0283,1.6203,42.1556
600600.SH,20190430,20190331,4.3945,3.8804,2.8983,39.659,10.6106,1.5412,1.3566,44.5251,156.459,0.598,13.902,1.1653,46.0429
600600.SH,20190329,20181231,8.1001,6.5755,5.7088,37.7023,5.8739,1.4694,1.25,45.151,167.9033,1.053,13.3018,1.7075,54.8413
600600.SH,20181029,20180930,11.7255,10.3904,8.2709,39.2487,9.5212,1.504,1.3625,43.8793,181.3865,1.554,13.8195,1.7681,38.4178
600600.SH,20180829,20180630,7.4361,6.5484,5.0258,39.3733,9.2137,1.3527,1.2093,45.9148,218.5995,0.964,13.2341,1.9852,41.632
600600.SH,20180427,20180331,3.8162,3.4397,2.7426,40.098,9.7062,1.4028,1.2285,43.4685,245.9521,0.494,13.1897,1.7252,45.2443
600600.SH,20180328,20171231,7.5496,6.3364,5.5697,40.5484,5.2603,1.3464,1.1175,42.6161,111.6107,0.935,12.6909,1.8224,55.3676
600600.SH,20171031,20170930,10.9862,10.0317,7.9852,42.4217,8.5375,1.3526,1.2072,43.5952,159.1063,1.384,13.116,2.2036,40.8021
600600.SH,20170831,20170630,6.8959,6.3474,5.0049,41.9511,8.1321,1.2536,1.1041,46.1415,209.7635,0.85,12.5797,2.0955,43.6639
600600.SH,20170428,20170331,3.4889,3.1797,2.6497,40.9509,8.605,1.2938,1.1064,43.3533,185.3048,0.429,12.5054,1.6276,47.3909
600600.SH,20170331,20161231,6.3682,5.6524,6.3306,41.5266,4.2354,1.226,0.9915,43.8805,181.124,0.772,12.0756,1.673,54.1801
600600.SH,20161031,20160930,10.9548,10.1703,8.0568,42.893,8.3493,1.2657,1.1064,43.8481,203.1341,1.362,12.6837,1.7738,40.2955
600600.SH,20160831,20160630,6.3909,5.7614,4.6653,40.8058,7.2868,1.1814,1.0434,45.8902,269.7863,0.791,12.581,2.0195,39.1058
600600.SH,20160426,20160331,3.1919,2.8566,2.4933,41.1047,7.7507,1.2762,1.0909,42.9774,236.5448,0.395,12.5782,1.6358,45.009
600600.SH,20160329,20151231,10.759,8.4388,7.0165,37.788,5.8334,1.2188,0.9951,43.2783,138.7784,1.268,12.1823,1.5855,48.8871
600600.SH,20151028,20150930,10.9428,9.6665,7.5847,38.7336,7.1508,1.1948,1.0294,44.9555,232.2819,1.292,12.2217,1.6631,38.6449
600600.SH,20150831,20150630,7.6449,6.8794,5.1493,38.8644,7.5906,1.1218,0.9565,48.2625,305.9099,0.887,11.8229,2.7816,41.1994
600600.SH,20150430,20150331,3.3296,3.0099,2.416,39.4548,7.282,1.1492,0.9442,45.123,311.3929,0.386,11.7735,2.012,47.7834
600600.SH,20150331,20141231,13.5343,11.021,8.4834,38.3831,6.9521,1.1218,0.8523,43.3886,74.0126,1.473,11.3899,1.7208,50.4965
600600.SH,20141031,20140930,14.721,12.8202,9.5043,39.6896,8.6534,1.1483,0.9583,46.1987,155.2389,1.613,11.5398,1.8723,39.8765
600600.SH,20140829,20140630,9.7423,8.4188,5.9797,40.1757,8.4783,1.0993,0.9262,49.9193,230.3804,1.04,10.9666,2.9079,41.1984
600600.SH,20140430,20140331,4.0919,3.2356,2.507,40.2657,7.8484,1.1134,0.9277,49.7648,287.7319,0.434,10.8105,2.3913,48.317
600600.SH,20140326,20131231,14.8998,11.6039,9.3872,39.8823,6.9808,1.1044,0.8764,49.3019,144.6719,1.461,10.378,1.495,51.8015
600600.SH,20131031,20130930,16.2228,13.4308,9.9714,41.1189,9.1325,1.2006,1.0214,50.6877,205.4104,1.602,10.5269,1.3215,41.6956
600600.SH,20130830,20130630,10.7636,9.0068,6.4708,41.532,9.6009,1.1519,0.9743,51.6071,232.4031,1.032,9.9562,2.1488,44.8453
600600.SH,20130427,20130331,3.8386,3.1881,2.6914,41.298,8.0775,1.3759,1.1144,47.231,245.2736,0.361,9.5906,2.0352,54.9685
600600.SH,20130328,20121231,14.9193,12.1302,10.1069,40.136,7.1554,1.3825,1.0608,45.9728,145.1362,1.302,9.2288,1.1924,59.2203
600600.SH,20121031,20120930,14.3081,11.8999,9.5392,41.1072,8.0832,1.3442,1.1077,49.1937,200.5879,1.245,9.1854,1.2804,50.3421
600600.SH,20120816,20120630,8.808,7.2279,5.7683,40.4799,7.834,1.2658,1.0305,50.9213,270.7079,0.746,8.708,1.5293,54.6913
600600.SH,20120427,20120331,3.9747,3.1761,2.6626,39.226,8.1846,1.3767,1.061,47.0802,210.4971,0.3335,8.5575,1.6195,66.1911
