trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
20260420,93.78,29.2357,3.6186,4.0988,0.6578,11827044.8468,11351194.811
20260417,93.04,29.005,3.5901,4.0665,0.663,11733719.9034,11261624.709
20260416,93.71,29.2138,3.6159,4.0958,0.6583,11818216.8116,11342721.9635
20260415,92.31,28.7774,3.5619,4.0346,0.6682,11641656.108,11173265.0139
20260414,94.66,29.51,3.6526,4.1373,0.6517,11938025.8605,11457710.6079
20260413,94.83,29.563,3.6592,4.1447,0.6505,11959465.3745,11478287.5232
20260410,95.35,29.7247,3.6793,4.1674,0.6469,12024891.4937,11541075.1052
20260409,94.24,29.3774,3.6368,4.1187,0.6546,11884362.0828,11406177.9564
20260408,95.45,29.7545,3.6835,4.1716,0.6463,12036952.0459,11552628.2464
20260407,90.82,28.3112,3.5048,3.9692,0.6793,11453074.7492,10992244.079
20260403,90.15,28.1024,3.479,3.9399,0.6843,11368582.7861,10911151.7696
20260402,91.35,28.4765,3.5253,3.9924,0.6753,11519911.6751,11056391.7266
20260401,96.05,29.9416,3.7067,4.1978,0.6423,12112616.4904,11625248.2249
20260331,94.96,29.6018,3.6646,4.1501,0.6496,11975159.4162,11493321.9306
20260317,108.92,33.0323,4.2934,4.8018,0.5664,13735361.7955,13182689.7343
20260316,110.3,33.4508,4.3478,4.8626,0.5593,13909386.7613,13349712.4283
20260313,111.73,33.8845,4.4042,4.9256,0.5521,14089716.9795,13522786.6692
20260312,112.82,34.2151,4.4471,4.9737,0.5468,14227171.4815,13654710.3913
20260311,114.3,34.6639,4.5055,5.0389,0.5397,14413806.9521,13833836.1791
20260310,114.08,34.5972,4.4968,5.0292,0.5408,14386063.8416,13807209.3728
20260309,112.2,34.0271,4.4227,4.9464,0.5498,14148986.3519,13579671.2099
20260306,115.05,34.8914,4.535,5.072,0.5362,14508385.7379,13924609.3824
20260305,114.17,34.6223,4.5001,5.0329,0.5403,14396497.858,13817186.7193
20260304,113.52,34.4252,4.4745,5.0042,0.5435,14314534.7888,13738521.8216
20260303,116.35,35.2834,4.586,5.129,0.5303,14671389.3823,14081016.6838
20260302,118.93,36.0658,4.6877,5.2427,0.5188,14996719.7184,14393255.8161
20260211,117.29,35.5669,4.6894,5.1702,0.526,14789278.181,14194135.8191
20260210,117.83,35.5906,4.6925,5.1736,0.5236,14799146.638,14259485.238
20260209,117.01,35.343,4.6599,5.1376,0.5273,14696156.7352,14160250.9352
20260206,115.95,35.0212,4.6175,5.0909,0.5321,14562359.018,14031308.018
20260205,117.63,35.5255,4.6863,5.1642,0.5245,14772046.0721,14233300.6721
20260204,117.29,35.4228,4.6727,5.1492,0.5261,14729348.6678,14192160.4678
20260203,118.43,35.7671,4.7182,5.1993,0.521,14872510.5527,14330101.1527
20260130,121.2,36.6036,4.8285,5.3209,0.5091,15220368.817,14665272.817
20260129,122.88,37.111,4.8954,5.3947,0.5022,15431344.2263,14868553.8263
20260128,128.08,38.6815,5.1026,5.6229,0.4818,16084363.3505,15497756.9505
20260127,124.86,37.709,4.9743,5.4816,0.4942,15679993.8159,15108135.0159
20260126,124.62,37.6365,4.9648,5.471,0.4952,15649854.4717,15079094.8717
20260123,129.4,39.0801,5.1552,5.6809,0.4769,16250129.7435,15657477.7435
20260122,128.84,38.911,5.1329,5.6563,0.4789,16179804.6071,15589717.4071
20260121,130.42,39.3882,5.1958,5.7257,0.4731,16378221.9563,15780898.3563
20260120,128.99,38.9563,5.1389,5.6629,0.4784,16198641.6972,15607867.4972
20260119,128.92,38.9352,5.1361,5.6598,0.4786,16189851.0551,15599397.4551
20260116,130.83,39.512,5.2122,5.7437,0.4717,16429710.0027,15830508.6027
20260115,128.47,38.7965,5.1178,5.6397,0.4803,16132177.992,15543785.392
20251230,126.8,36.8799,5.6813,5.3611,0.4869,15335243.9753,15335243.9753
20251229,126.92,36.9148,5.6867,5.3661,0.4864,15349756.8245,15349756.8245
