end_date,ann_date,record_date,ex_date,pay_date,cash_div_tax
20250930,20251029,,,,0.4
20250930,20251029,20251121,20251124,20251124,0.4
20250630,20250830,,,,0.0
20241231,20250416,,,,0.22
20241231,20250416,,,,0.22
20241231,20250416,20250731,20250801,20250801,0.22
20240930,20241026,,,,0.2
20240930,20241026,20241217,20241218,20241218,0.2
20240630,20240820,,,,0.0
20231231,20240427,,,,0.14
20231231,20240427,,,,0.14
20231231,20240427,20240812,20240813,20240813,0.14
20230630,20230815,,,,0.0
20221231,20230408,,,,0.084
20221231,20230408,,,,0.084
20221231,20230408,20230728,20230731,20230731,0.084
20220630,20220812,,,,0.0
20211231,20220419,,,,0.52
20211231,20220419,,,,0.52
20211231,20220419,20220727,20220728,20220728,0.52
