ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60
603501.SH,20250102,104.4,104.93,98.99,100.58,104.41,-3.83,-3.6682,209140.25,2132763.511,,
603501.SH,20250103,100.95,101.27,98.11,98.5,100.58,-2.08,-2.068,159312.69,1588228.432,,
603501.SH,20250106,98.88,100.79,97.8,98.14,98.5,-0.36,-0.3655,130612.96,1293913.059,,
603501.SH,20250107,98.6,102.3,98.28,101.92,98.14,3.78,3.8516,196503.84,1983374.835,,
603501.SH,20250108,101.41,101.9,98.01,100.63,101.92,-1.29,-1.2657,180101.36,1799511.979,,
603501.SH,20250109,100.0,101.86,99.68,99.96,100.63,-0.67,-0.6658,117006.06,1176919.877,,
603501.SH,20250110,99.96,104.1,99.02,100.55,99.96,0.59,0.5902,220276.75,2243940.351,,
603501.SH,20250113,98.68,100.48,98.23,99.75,100.55,-0.8,-0.7956,137251.84,1362280.52,,
603501.SH,20250114,99.78,104.75,97.56,104.75,99.75,5.0,5.0125,223113.29,2284011.805,,
603501.SH,20250115,104.64,104.64,102.26,102.56,104.75,-2.19,-2.0907,140222.82,1446501.127,,
603501.SH,20250116,103.12,105.08,101.3,101.81,102.56,-0.75,-0.7313,164130.9,1688491.931,,
603501.SH,20250117,101.0,104.05,100.68,102.64,101.81,0.83,0.8152,153207.3,1571225.174,,
603501.SH,20250120,103.5,105.65,103.01,104.86,102.64,2.22,2.1629,181878.84,1903187.216,,
603501.SH,20250121,105.17,106.99,104.08,106.65,104.86,1.79,1.707,194999.02,2065997.714,,
603501.SH,20250122,108.5,110.5,106.7,108.27,106.65,1.62,1.519,331306.17,3601947.861,,
603501.SH,20250123,109.44,109.71,106.35,106.36,108.27,-1.91,-1.7641,226433.72,2446722.163,,
603501.SH,20250124,106.03,107.68,105.92,107.36,106.36,1.0,0.9402,157224.33,1683209.581,,
603501.SH,20250127,107.83,108.29,105.5,105.51,107.36,-1.85,-1.7232,131689.42,1401176.059,,
603501.SH,20250205,107.85,111.0,105.9,110.59,105.51,5.08,4.8147,282830.21,3079772.311,,
603501.SH,20250206,109.92,113.55,109.0,113.55,110.59,2.96,2.6766,293414.34,3277449.181,103.747,
603501.SH,20250207,114.98,120.57,114.88,117.1,113.55,3.55,3.1264,509966.34,6006232.735,104.57300000000001,
603501.SH,20250210,117.36,119.78,116.91,118.34,117.1,1.24,1.0589,283176.43,3353437.581,105.56500000000001,
603501.SH,20250211,120.1,123.39,119.8,123.0,118.34,4.66,3.9378,361313.69,4374274.066,106.80799999999999,
603501.SH,20250212,122.25,135.3,121.51,135.3,123.0,12.3,10.0,471438.94,6113325.008,108.477,
603501.SH,20250213,139.0,141.65,135.59,136.05,135.3,0.75,0.5543,586633.19,8086916.05,110.248,
603501.SH,20250214,134.0,138.3,131.01,135.92,136.05,-0.13,-0.0956,426830.56,5737966.768,112.046,
603501.SH,20250217,136.01,138.96,132.26,136.2,135.92,0.28,0.206,420848.31,5713609.182,113.8285,
603501.SH,20250218,140.0,149.66,137.6,143.6,136.2,7.4,5.4332,720953.33,10302840.111,116.021,
603501.SH,20250219,145.0,157.96,143.6,157.96,143.6,14.36,10.0,605909.26,9198127.337,118.6815,
603501.SH,20250220,161.0,161.96,151.7,152.99,157.96,-4.97,-3.1464,649641.29,10101458.102,121.203,
603501.SH,20250221,152.95,160.5,151.2,157.98,152.99,4.99,3.2617,526616.21,8203232.734,124.0115,
603501.SH,20250224,155.44,155.44,148.46,150.0,157.98,-7.98,-5.0513,548579.13,8277731.647,126.37949999999998,
603501.SH,20250225,146.0,150.89,145.5,147.2,150.0,-2.8,-1.8667,398233.95,5899527.979,128.49650000000003,
