ts_code,ann_date,end_date,roe,roic,roa,grossprofit_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets,ocf_to_profit,eps,bps,arturn_days,invturn_days
603501.SH,20251029,20250930,12.3686,8.6554,8.3455,30.4292,14.688,2.4593,1.6792,37.3419,75.7211,2.67,22.7745,53.7966,133.8555
603501.SH,20250830,20250630,8.0481,5.6173,5.273,30.4797,14.4771,2.4267,1.6342,38.3607,86.1856,1.69,21.3281,54.2594,138.3126
603501.SH,20250430,20250331,3.5039,2.4524,2.4657,31.0312,13.3118,2.2488,1.5245,37.5425,110.7834,0.72,20.5385,53.5938,144.3233
603501.SH,20250416,20241231,14.559,9.8307,8.5387,29.4444,12.7642,2.8707,1.9549,37.8862,145.887,2.77,19.7087,55.9319,131.6511
603501.SH,20241026,20240930,10.771,7.2746,6.8514,29.6117,12.5148,2.5318,1.7104,40.9025,125.7364,1.98,18.4625,60.0347,132.8087
603501.SH,20240820,20240630,6.3355,4.327,4.091,29.1427,11.2552,2.4221,1.593,41.438,122.5395,1.14,17.6599,62.3917,137.3941
603501.SH,20240427,20240331,2.625,1.8066,1.62,27.8876,9.8169,2.0449,1.3463,43.106,192.8799,0.46,17.1198,63.1535,143.6782
603501.SH,20240427,20231231,2.8155,2.7987,3.0975,21.7607,2.5871,2.2345,1.5374,43.0501,1130.2892,0.47,17.4521,55.9458,204.4177
603501.SH,20231028,20230930,2.041,2.0694,2.3757,21.2805,2.3878,1.7734,1.0427,49.4578,1154.1679,,15.0782,57.178,226.3771
603501.SH,20230815,20230630,0.8284,1.0916,1.2174,20.9312,1.6673,1.703,0.8398,49.3545,1664.6331,0.13,15.796,56.0573,285.0808
603501.SH,20230419,20230331,1.0962,0.9502,1.111,24.7158,4.4976,1.816,0.7947,49.9787,532.8124,0.17,15.2265,55.6139,318.8098
603501.SH,20230408,20221231,5.787,4.5826,5.2561,30.7541,4.773,1.8908,0.6996,48.5645,-153.512,0.84,15.0039,48.2328,273.6602
603501.SH,20221029,20220930,12.009,8.4286,7.7919,32.6439,13.8472,2.0732,0.7383,46.8896,-113.0898,1.83,16.3468,50.6244,298.3096
603501.SH,20220812,20220630,12.7496,8.5766,7.7233,34.2847,20.3923,2.0383,0.9077,48.0785,-56.0707,1.93,21.8498,47.88,265.0177
603501.SH,20220427,20220331,5.382,3.7145,3.174,35.3072,16.0552,2.2242,1.0727,46.7344,-85.5043,1.03,19.2405,48.0231,241.8055
603501.SH,20220419,20211231,32.6289,22.3076,19.6868,34.4926,18.8598,2.3329,1.3235,49.1758,43.8506,5.16,18.2308,40.3578,160.2279
603501.SH,20211030,20210930,27.1,18.1714,15.932,33.8597,19.5501,2.424,1.5117,50.4597,64.1823,4.06,16.678,38.6189,138.7818
603501.SH,20210827,20210630,18.2694,12.2104,10.7367,33.0894,18.6092,2.3131,1.5204,50.685,43.8076,2.59,15.0687,44.1047,122.5407
603501.SH,20210423,20210331,8.7028,5.8966,5.1136,32.4273,17.3635,2.2484,1.5373,52.0206,41.0415,1.2,14.3314,43.8875,116.3693
603501.SH,20210416,20201231,28.2401,18.9135,16.2645,29.9121,13.5347,2.0326,1.2622,49.1123,113.1361,3.21,12.9537,45.9982,124.8873
603501.SH,20201029,20200930,19.172,12.6859,10.7531,30.4563,12.2248,1.9119,1.1076,51.4317,20.4915,1.84,11.6782,60.5517,138.426
603501.SH,20200821,20200630,11.3109,7.4653,6.131,32.3396,12.1408,1.7608,0.9131,54.261,19.9702,1.2,11.0941,64.1094,178.802
603501.SH,20200424,20200331,5.2402,3.6563,3.007,32.2268,11.6975,1.9538,1.1575,53.4101,-17.7577,0.53,10.4935,64.4145,166.7593
603501.SH,20200410,20191231,9.7393,11.4212,9.3706,27.3918,5.1738,1.4306,0.8565,54.4789,102.5765,0.76,9.1777,45.1932,96.1179
603501.SH,20191031,20190930,2.9136,6.3971,5.5935,26.5947,4.0268,1.4411,0.8848,54.629,-55.9433,0.17,8.8462,47.4884,97.8899
603501.SH,20190830,20190630,1.5259,1.918,1.2951,17.4735,0.8909,0.6826,0.4465,70.3931,,0.06,3.6834,97.2027,130.3026
603501.SH,20190426,20190331,3.043,2.1668,1.4919,22.1092,6.1634,0.7093,0.4597,69.0727,-126.2014,0.11,3.7764,102.3076,149.2785
603501.SH,20190328,20181231,9.8606,6.517,4.7048,23.4108,2.9187,0.8885,0.5725,64.2515,4.4709,0.32,3.5882,77.24,86.9775
603501.SH,20181020,20180930,17.629,12.1421,9.4535,26.5767,7.4067,1.2954,0.8198,59.2555,-66.4077,0.54,3.5327,87.0996,96.861
603501.SH,20180731,20180630,11.8708,8.1331,6.2964,28.1334,7.6221,1.5328,1.0537,57.4787,-161.5271,0.34,3.17,90.566,96.2155
603501.SH,20180428,20180331,3.4887,2.571,2.672,27.8898,4.705,1.4886,1.1001,59.7996,-292.4235,0.09,2.8048,99.6788,96.041
