trade_date,close,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
20260417,199.8,25.557,5.887,5.4055,2.5025,11284078.626,10389859.74
20260416,194.26,24.8483,5.7237,5.2556,2.5739,10971196.7662,10101772.538
20260415,193.5,24.7511,5.7013,5.235,2.584,10928274.345,10062251.55
20260414,191.23,24.4608,5.6345,5.1736,2.6147,10800071.8501,9944208.599
20260413,193.95,24.8087,5.7146,5.2472,2.578,10953688.9365,10085652.135
20260410,200.12,25.5979,5.8964,5.4141,2.4985,11302151.2244,10406500.156
20260409,201.61,25.7885,5.9403,5.4544,2.48,11386301.7607,10483982.093
20260408,206.33,26.3922,6.0794,5.5821,2.4233,11652872.5871,10729428.229
20260407,198.04,25.3319,5.8351,5.3579,2.5247,11184679.3348,10298337.452
20260403,202.27,25.8729,5.9597,5.4723,2.4719,11423576.4949,10518302.951
20260402,206.88,26.4626,6.0956,5.597,2.4169,11683934.8656,10758028.944
20260401,210.4,26.9129,6.1993,5.6923,2.3764,11882733.448,10941073.52
20260331,205.27,26.2567,6.0481,5.5535,2.4358,11593007.1049,10674306.851
20260317,237.5,30.6222,7.2326,6.6651,2.1053,13413256.625,12350308.75
20260316,238.95,30.8092,7.2768,6.7058,2.0925,13495148.0865,12425710.635
20260313,227.2,29.2942,6.9189,6.3761,2.2007,12831544.864,11814695.36
20260312,226.62,29.2194,6.9013,6.3598,2.2063,12798788.2794,11784534.606
20260311,237.53,30.6261,7.2335,6.666,2.105,13414950.9311,12351868.789
20260310,239.08,30.8259,7.2807,6.7095,2.0914,13502490.0796,12432470.804
20260309,235.84,30.4082,7.1821,6.6185,2.1201,13319505.0208,12263986.592
20260306,235.0,30.2999,7.1565,6.595,2.1277,13272064.45,12220305.5
20260305,234.31,30.2109,7.1355,6.5756,2.1339,13233095.4097,12184424.603
20260304,230.4,29.7068,7.3495,6.4659,2.1701,13012270.848,11981099.52
20260303,234.98,30.0899,7.4443,6.5493,2.1278,13180096.3442,12219265.474
20260302,237.29,30.3857,7.5175,6.6136,2.1071,13309664.9141,12339388.477
20260211,269.18,34.4693,8.5278,7.5025,1.8575,15098384.2622,13997709.934
20260210,270.73,34.6678,8.5769,7.5457,1.8469,15185324.2117,14078311.949
20260209,274.0,35.0865,8.6805,7.6368,1.8248,15368739.46,14248356.2
20260206,275.79,35.3157,8.7372,7.6867,1.813,15469141.0791,14341438.527
20260205,274.51,35.1518,8.6967,7.651,1.8214,15397345.5079,14274876.863
20260204,268.65,34.4014,8.511,7.4877,1.8612,15068656.4085,13970149.245
20260203,253.96,30.1496,15.0096,6.5623,1.9688,13206250.148,13206250.148
20260130,250.14,29.6961,14.7838,6.4636,1.9989,13007605.182,13007605.182
20260129,262.5,31.1635,15.5143,6.7829,1.9048,13650341.25,13650341.25
20260128,254.51,30.2149,15.0421,6.5765,1.9646,13234850.863,13234850.863
20260127,245.81,29.1821,14.5279,6.3517,2.0341,12782439.553,12782439.553
20260126,250.8,29.7745,14.8228,6.4806,1.9936,13041926.04,13041926.04
20260123,253.36,30.0784,14.9741,6.5468,1.9735,13175049.368,13175049.368
20260122,256.17,30.412,15.1402,6.6194,1.9518,13321173.021,13321173.021
20260121,251.09,29.8089,14.84,6.4881,1.9913,13057006.417,13057006.417
20260120,257.38,30.5556,15.2117,6.6506,1.9427,13384094.594,13384094.594
20260119,260.49,30.9248,15.3955,6.731,1.9195,13545818.637,13545818.637
20260116,266.86,31.6811,15.772,6.8956,1.8736,13877066.918,13877066.918
20260115,271.85,32.2735,16.0669,7.0245,1.8392,14136553.405,14136553.405
20251230,268.02,31.8188,15.8406,6.9256,1.8655,13937388.426,13937388.426
20251229,268.03,31.82,15.8411,6.9258,1.8655,13937908.439,13937908.439
