end_date,ann_date,record_date,ex_date,pay_date,cash_div_tax
20250630,20250726,,,,2.5
20250630,20250726,,,,2.5
20250630,20250726,20250822,20250825,20250825,2.5
20241231,20250308,,,,2.5
20241231,20250308,,,,2.5
20241231,20250308,20250417,20250418,20250418,2.5
20240630,20240831,,,,2.5
20240630,20240831,,,,2.5
20240630,20240831,20241008,20241009,20241009,2.5
20231231,20240415,,,,2.5
20231231,20240415,,,,2.5
20231231,20240415,20240607,20240611,20240611,2.5
20230630,20230807,,,,0.0
20221231,20230422,,,,2.0
20221231,20230422,,,,2.0
20221231,20230422,20230609,20230612,20230612,2.0
20220630,20220816,,,,0.0
20211231,20220228,,,,1.5
20211231,20220228,,,,1.5
20211231,20220228,20220401,20220406,20220406,1.5
