ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60
605499.SH,20250401,249.99,260.95,249.9,256.21,248.97,7.24,2.908,33749.69,866897.891,,
605499.SH,20250402,255.06,260.49,253.66,255.4,256.21,-0.81,-0.3161,14162.75,362293.637,,
605499.SH,20250403,255.34,261.99,252.25,259.1,255.4,3.7,1.4487,21736.28,560744.519,,
605499.SH,20250407,250.0,266.39,247.1,255.0,259.1,-4.1,-1.5824,43434.85,1109555.707,,
605499.SH,20250408,254.99,256.96,245.5,256.0,255.0,1.0,0.3922,31489.09,792221.473,,
605499.SH,20250409,252.0,262.37,250.6,262.37,256.0,6.37,2.4883,34487.31,881042.713,,
605499.SH,20250410,260.0,260.0,249.0,256.9,262.37,-5.47,-2.0848,41881.76,1060216.08,,
605499.SH,20250411,253.11,255.93,249.51,255.22,256.9,-1.68,-0.654,23394.67,593273.555,,
605499.SH,20250414,255.0,262.0,252.52,261.33,255.22,6.11,2.394,25730.03,666130.464,,
605499.SH,20250415,261.05,267.89,260.0,267.58,261.33,6.25,2.3916,25236.07,668694.124,,
605499.SH,20250416,280.0,281.58,259.6,275.0,267.58,7.42,2.773,52407.99,1416232.312,,
605499.SH,20250417,274.99,286.95,270.2,283.3,275.0,8.3,3.0182,31053.94,876016.128,,
605499.SH,20250418,281.55,281.88,268.0,268.88,280.8,-11.92,-4.245,20006.07,547196.313,,
605499.SH,20250421,267.48,280.98,267.48,279.0,268.88,10.12,3.7638,23629.64,653857.421,,
605499.SH,20250422,277.43,286.8,277.05,282.29,279.0,3.29,1.1792,22229.2,629169.378,,
605499.SH,20250423,282.0,282.89,277.61,280.54,282.29,-1.75,-0.6199,17293.77,484444.053,,
605499.SH,20250424,280.54,282.58,277.0,281.98,280.54,1.44,0.5133,17620.72,493177.475,,
605499.SH,20250425,282.0,283.05,274.98,277.85,281.98,-4.13,-1.4646,11965.51,332284.275,,
605499.SH,20250428,277.85,282.98,277.38,279.65,277.85,1.8,0.6478,13162.84,369519.188,,
605499.SH,20250429,279.93,286.4,277.34,284.89,279.65,5.24,1.8738,26771.41,760575.532,268.92449999999997,
605499.SH,20250430,284.92,293.0,283.0,286.0,284.89,1.11,0.3896,24451.97,703689.531,270.414,
605499.SH,20250506,284.17,284.54,274.88,280.25,286.0,-5.75,-2.0105,35248.33,983138.312,271.6565,
605499.SH,20250507,284.98,284.98,275.3,277.0,280.25,-3.25,-1.1597,21592.61,601196.956,272.5515,
605499.SH,20250508,276.19,281.54,275.83,279.22,277.0,2.22,0.8014,19468.06,544450.876,273.7625,
605499.SH,20250509,279.0,283.71,278.12,281.5,279.22,2.28,0.8166,11739.51,330561.419,275.0375,
605499.SH,20250512,280.36,281.01,268.5,270.51,281.5,-10.99,-3.9041,32289.73,878017.148,275.4445,
605499.SH,20250513,269.32,275.0,265.6,273.03,270.51,2.52,0.9316,23309.44,634817.819,276.251,
605499.SH,20250514,272.04,277.48,271.81,275.8,273.03,2.77,1.0145,19783.9,544368.011,277.28000000000003,
605499.SH,20250515,274.99,279.51,273.77,277.55,275.8,1.75,0.6345,15924.52,441994.839,278.091,
605499.SH,20250516,276.18,277.98,272.65,277.98,277.55,0.43,0.1549,11674.98,321277.93,278.611,
605499.SH,20250519,275.79,279.8,273.0,278.35,277.98,0.37,0.1331,13573.77,374904.745,278.7785,
605499.SH,20250520,280.0,289.2,277.5,281.0,278.35,2.65,0.952,24593.68,699154.517,278.6635,
605499.SH,20250521,283.21,288.88,282.4,286.71,281.0,5.71,2.032,21100.4,603796.972,279.555,
605499.SH,20250522,287.86,292.88,284.58,286.88,286.71,0.17,0.0593,14959.71,430246.485,279.949,
605499.SH,20250523,288.39,291.0,282.45,283.66,286.88,-3.22,-1.1224,16729.9,477902.749,280.01750000000004,
605499.SH,20250526,284.02,294.87,284.02,285.98,283.66,2.32,0.8179,22580.86,654567.06,280.2895,
605499.SH,20250527,286.99,295.95,286.31,293.0,285.98,7.02,2.4547,20239.2,590238.45,280.84049999999996,
605499.SH,20250528,293.18,313.3,291.84,311.47,293.0,18.47,6.3038,34947.57,1069623.896,282.5215,
605499.SH,20250529,308.98,312.99,304.52,312.03,311.47,0.56,0.1798,21856.02,676194.175,284.1405,
605499.SH,20250530,315.0,321.88,311.0,320.0,312.03,7.97,2.5542,24502.0,780615.527,285.896,
605499.SH,20250603,321.06,321.77,311.03,320.49,320.0,0.49,0.1531,29299.79,933387.572,287.6205,
605499.SH,20250604,320.5,329.74,318.0,328.45,320.49,7.96,2.4837,23087.75,747364.793,290.0305,
605499.SH,20250605,326.0,328.0,322.0,322.81,328.45,-5.64,-1.7172,18652.92,605657.76,292.321,
605499.SH,20250606,325.0,334.5,320.1,328.73,322.81,5.92,1.8339,19341.44,634120.619,294.79650000000004,
605499.SH,20250609,326.7,335.8,325.08,334.0,328.73,5.27,1.6031,16344.28,542695.551,297.42150000000004,
605499.SH,20250610,330.88,336.0,330.0,332.3,334.0,-1.7,-0.509,19080.85,633776.042,300.511,
605499.SH,20250611,333.99,335.8,328.11,334.92,332.3,2.62,0.7884,14099.29,469972.778,303.6055,
605499.SH,20250612,335.85,338.92,330.52,336.5,334.92,1.58,0.4718,19373.83,650202.467,306.6405,
605499.SH,20250613,336.0,336.75,319.5,324.61,336.5,-11.89,-3.5334,37677.95,1223593.679,308.9935,
605499.SH,20250616,324.0,328.29,323.0,327.35,324.61,2.74,0.8441,14823.19,483377.141,311.462,
605499.SH,20250617,327.0,332.96,314.04,314.8,327.35,-12.55,-3.8338,29151.76,935831.968,313.2845,
605499.SH,20250618,316.3,324.98,313.22,324.59,314.8,9.79,3.1099,21861.0,701387.185,315.464,
605499.SH,20250619,325.0,327.84,318.74,321.29,324.59,-3.3,-1.0167,17237.46,556057.455,317.193,
605499.SH,20250620,319.66,324.77,318.46,321.15,321.29,-0.14,-0.0436,15646.04,502102.364,318.9065,
