ts_code,ann_date,end_date,roe,roic,roa,grossprofit_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets,ocf_to_profit,eps,bps,arturn_days,invturn_days
605499.SH,20251025,20250930,45.6247,24.2717,20.2058,45.1688,22.3214,0.8417,0.8041,63.2415,65.4749,7.2324,16.9199,1.4615,23.6788
605499.SH,20250726,20250630,28.9191,15.7801,12.9676,45.1465,22.116,0.8961,0.8466,61.8635,57.8848,4.5667,16.7988,1.5885,26.688
605499.SH,20250416,20250331,11.9908,6.5788,5.323,44.4688,20.2133,0.8522,0.7905,61.8114,50.9877,1.8846,16.6499,1.3571,32.1624
605499.SH,20250308,20241231,47.4852,26.6463,21.1298,44.8094,21.0017,0.8559,0.7839,66.081,139.6798,6.3974,14.7839,1.6781,33.7016
605499.SH,20241030,20240930,40.5704,22.0179,18.6054,45.0501,21.5586,0.8396,0.809,64.7261,90.1267,5.2064,17.5567,1.9943,18.7748
605499.SH,20240831,20240630,25.8516,14.4896,12.2739,44.6007,21.9805,0.9215,0.8806,62.1132,105.4662,4.3264,17.6618,1.8212,21.1595
605499.SH,20240423,20240331,9.9742,6.1674,5.1636,42.7707,19.0651,1.1266,1.0732,55.8167,102.9739,1.6597,17.47,1.868,22.9557
605499.SH,20240415,20231231,35.823,22.2433,19.0888,43.0723,18.1107,1.0896,1.019,57.0106,126.7698,5.0993,15.809,1.4561,27.0301
605499.SH,20231028,20230930,29.9922,17.4267,15.5972,42.5175,19.16,1.0399,1.0085,59.1529,96.3345,,14.9394,1.5617,17.9402
605499.SH,20230807,20230630,21.1091,12.4205,11.0386,43.1043,20.2946,0.9851,0.9396,59.7977,92.6202,2.7702,13.5863,1.3804,21.9186
605499.SH,20230422,20230331,9.3665,5.693,5.202,43.5278,19.963,1.0547,1.0069,56.7091,112.9679,1.2431,13.883,1.1031,23.5756
605499.SH,20230422,20221231,30.9709,21.8941,19.0118,42.3253,16.9366,1.0806,1.0218,57.3341,109.2672,3.6012,12.6604,1.0439,26.9427
605499.SH,20221028,20220930,25.7805,19.0889,16.5311,41.7494,17.5413,1.0374,0.9802,54.1767,94.9769,2.9137,12.0088,1.2121,22.9834
605499.SH,20220816,20220630,17.4868,13.039,11.1957,42.6804,17.5852,1.0015,0.9251,54.4677,73.8855,1.8865,10.9816,1.2551,26.8001
605499.SH,20220430,20220331,8.3847,6.5958,5.3023,43.1869,17.1763,0.891,0.8124,55.5275,66.2689,0.8616,9.9566,1.2359,28.4774
605499.SH,20220228,20211231,38.7868,31.8869,24.6723,44.3728,17.0965,0.835,0.7354,45.5987,135.8696,3.112,10.595,0.9654,28.4145
605499.SH,20211028,20210930,33.4551,28.6268,22.6665,48.4905,17.9136,1.1813,1.0891,39.4916,111.1194,2.64,10.1027,0.9263,23.678
605499.SH,20210729,20210630,21.681,18.8239,14.9306,49.68,18.3536,1.5057,1.4019,39.1144,135.9895,1.8432,10.8022,1.0004,26.5683
605499.SH,20210507,20210331,16.4039,13.3643,9.6623,49.5424,19.9788,0.9964,0.8756,51.6187,103.6329,0.95,6.2643,0.9261,26.8081
605499.SH,20210507,20201231,45.7702,37.4436,26.3123,46.5999,16.3772,0.9197,0.7917,56.131,127.6171,2.26,5.3146,1.3948,33.1013
605499.SH,20211028,20200930,43.056,37.4082,26.5223,46.8047,17.4113,,,,95.4158,,,,
605499.SH,20201012,20200630,26.3312,22.3328,15.782,46.4398,17.8706,0.8272,0.6943,53.9814,102.9667,1.23,4.7689,2.5357,30.3301
605499.SH,20210507,20200331,9.3962,8.1637,5.8171,49.1551,16.464,,,,-19.8662,0.43,,,
605499.SH,20210507,20191231,41.9212,35.1777,26.4976,46.7364,13.5569,0.9997,0.8521,51.0528,163.5064,1.63,4.5422,2.7848,26.8073
605499.SH,20210507,20181231,22.0454,18.6771,13.3458,45.968,7.1055,0.7133,0.5883,48.4256,70.911,0.62,3.1056,3.1778,27.8985
605499.SH,20201012,20171231,33.9989,28.2286,19.4898,47.9221,10.4145,0.8822,0.7639,57.5277,47.5263,,5.7759,1.7829,
