ts_code,ann_date,end_date,report_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,trad_asset,notes_receiv,prepayment,inventories,total_cur_assets,total_cur_liab,st_borr,non_cur_liab_due_1y,lt_borr,bond_payable,lease_liab,total_share
688390.SH,20260429,20260331,1,10395914092.74,7415558311.05,2844927916.05,1676717537.3,27334436.52,182413878.56,81675039.7,3091880046.82,7720877742.57,6842398353.79,1241148088.51,24014475.61,237573437.22,,27368250.93,243062217.0
688390.SH,20260429,20260331,1,10395914092.74,7415558311.05,2844927916.05,1676717537.3,27334436.52,182413878.56,81675039.7,3091880046.82,7720877742.57,6842398353.79,1241148088.51,24014475.61,237573437.22,,27368250.93,243062217.0
688390.SH,20260429,20251231,1,9424104838.1,6549466236.62,2736653056.52,1464542600.16,25388175.21,196190251.34,77773695.51,2400896819.91,6750734336.12,6104901992.94,1055739865.54,23734995.37,129000000.0,,18443146.51,242996473.0
688390.SH,20251030,20250930,1,8485080684.28,5623814783.31,2715988949.14,936246726.22,22373369.46,256012751.08,66519184.35,2477312552.62,5900159116.84,5238068569.79,1153921624.56,28797932.07,127000000.0,,21159134.63,242772935.0
688390.SH,20250829,20250630,1,8015958732.76,5163614964.8,2710597978.81,1069649408.73,9839375.04,196736198.45,68001725.31,2185461212.93,5498708337.55,4756613281.77,1211863567.87,24989661.01,131000000.0,,22490259.53,242586404.0
688390.SH,20250429,20250331,1,7834275542.24,4959418769.97,2729383308.59,1111622722.18,5378329.95,129383949.31,98427425.44,2182771970.3,5308604267.14,4663615248.52,1356724141.46,21648945.84,,,20047467.78,242586404.0
688390.SH,20250429,20250331,1,7834275542.24,4959418769.97,2729383308.59,1111622722.18,5378329.95,129383949.31,98427425.44,2182771970.3,5308604267.14,4663615248.52,1356724141.46,21648945.84,,,20047467.78,242586404.0
688390.SH,20250429,20241231,1,7951970036.63,5038528711.98,2749846342.08,1073370569.92,14888902.78,90265902.37,66460796.12,2637842719.18,5269013633.23,4460780351.17,1073132992.74,64213149.21,168544576.5,,24675801.25,242586404.0
688390.SH,20241030,20240930,1,7704592876.0,4660701982.16,2890208803.38,842664704.27,11701862.48,70102979.44,83416736.45,2769799767.69,5144043380.07,4140093369.78,705771304.59,65917717.29,256966315.85,,23514916.35,242586404.0
688390.SH,20240831,20240630,1,7441643135.09,4468937486.69,2839936853.13,734348318.71,30576670.84,54765146.84,123892721.81,2579057485.97,4947981004.63,3957093231.64,217826842.65,49674970.98,237932543.83,,33464612.19,242000978.0
688390.SH,20240426,20240331,1,6803246487.66,3724558260.58,2965041085.21,906883374.99,,63416370.18,149016438.24,2262995880.28,4557529330.73,3209161193.35,44898749.21,18872625.09,250478888.05,,27742882.04,172887533.0
688390.SH,20240426,20231231,1,7111232868.5,4051101993.17,2982827693.9,1838438667.48,243299.67,94867012.4,128241731.05,1943824215.36,5018709890.2,3700307647.44,44891985.34,24564846.3,71267387.82,,16897493.59,172887533.0
688390.SH,20240426,20231231,1,7111232868.5,4051101993.17,2982827693.9,1838438667.48,243299.67,94867012.4,128241731.05,1943824215.36,5018709890.2,3700307647.44,44891985.34,24564846.3,71267387.82,,16897493.59,172887533.0
688390.SH,20231028,20230930,1,7261749646.26,4187013662.62,3005740787.76,2238689671.98,,74160564.97,214803923.44,1729446273.34,5255375397.87,3867706222.19,10500887.49,26062955.15,48782822.63,,20579698.21,172887533.0
688390.SH,20230830,20230630,1,7061224248.46,4179069602.05,2836992433.93,2022619212.39,117233562.31,83861843.49,121150615.22,1770173911.58,5262273968.66,3893125595.14,61050291.66,30120070.47,8929388.0,,19588502.71,172480000.0
688390.SH,20230830,20230630,1,7061224248.46,4179069602.05,2836992433.93,2022619212.39,117233562.31,83861843.49,121150615.22,1770173911.58,5262273968.66,3893125595.14,61050291.66,30120070.47,8929388.0,,19588502.71,172480000.0
688390.SH,20230427,20230331,1,6431212585.99,3771042035.91,2613952115.82,1616824605.89,100188488.89,83256489.73,76800710.83,1852167275.48,4774204391.86,3527205859.98,51054531.94,20337485.91,9002662.5,,18131566.67,123200000.0
688390.SH,20230427,20230331,1,6431212585.99,3771042035.91,2613952115.82,1616824605.89,100188488.89,83256489.73,76800710.83,1852167275.48,4774204391.86,3527205859.98,51054531.94,20337485.91,9002662.5,,18131566.67,123200000.0
688390.SH,20230427,20221231,1,5798746253.67,3517625527.67,2257494205.68,1576651328.8,80146666.67,86276381.61,74067364.44,1578660803.51,4249634980.75,3289978995.94,50054236.11,26167444.63,,,20774360.91,123200000.0
688390.SH,20230427,20221231,1,5798746253.67,3517625527.67,2257494205.68,1576651328.8,80146666.67,86276381.61,74067364.44,1578660803.51,4249634980.75,3289978995.94,50054236.11,26167444.63,,,20774360.91,123200000.0
688390.SH,20221029,20220930,1,4882359633.37,2991783942.6,1863603014.24,1111709392.95,60075555.55,94908018.17,99208443.25,1546348218.02,3573888520.89,2784887556.0,,13354919.28,,,22092585.7,123200000.0
688390.SH,20220830,20220630,1,4252336144.7,2601994225.94,1629560189.08,816141618.83,92503061.53,142568643.98,57915688.3,1590188946.57,3119773391.15,2458705490.24,,11588324.44,,,24739870.33,123200000.0
