ts_code,ann_date,end_date,report_type,n_cashflow_act,c_fr_sale_sg,c_paid_to_for_empl,c_pay_acq_const_fiolta,n_cashflow_inv_act,n_cash_flows_fnc_act,free_cashflow
688390.SH,20260429,20260331,1,-81543671.17,2071593275.02,438104550.07,71127393.55,-34162758.26,283720468.4,-111150127.7
688390.SH,20260429,20260331,1,-81543671.17,2071593275.02,438104550.07,71127393.55,-34162758.26,283720468.4,
688390.SH,20260429,20251231,1,644644798.52,6725193811.67,1249031657.01,126254855.51,-84580392.17,-310797740.81,760049322.18
688390.SH,20251030,20250930,1,-32670581.01,4628746849.07,935587826.58,98797616.73,-77601822.94,-155198885.08,-90639531.51
688390.SH,20251030,20250930,1,-32670581.01,4628746849.07,935587826.58,98797616.73,-77601822.94,-155198885.08,
688390.SH,20250829,20250630,1,-43851409.99,3118876808.91,616079589.05,66920896.76,-24637076.27,-92529806.91,-70581504.92
688390.SH,20250829,20250630,1,-43851409.99,3118876808.91,616079589.05,66920896.76,-24637076.27,-92529806.91,
688390.SH,20250429,20250331,1,-253426912.1,1470326884.85,321519430.13,39290374.8,-47388798.31,308193346.85,
688390.SH,20250429,20250331,1,-253426912.1,1470326884.85,321519430.13,39290374.8,-47388798.31,308193346.85,-132088504.68
688390.SH,20250429,20241231,1,-792969094.84,6509832265.25,1062660560.09,495325681.44,-505531562.41,589271800.12,-1694616627.97
688390.SH,20250429,20241231,1,-792969094.84,6509832265.25,1062660560.09,495325681.44,-505531562.41,589271800.12,-1684224621.98
688390.SH,20241030,20240930,1,-1024176630.4,4695140186.86,806614484.46,373212111.56,-390137011.88,477933076.59,-1666259487.34
688390.SH,20241030,20240930,1,-1024176630.4,4695140186.86,806614484.46,373212111.56,-390137011.88,477933076.59,
688390.SH,20240831,20240630,1,-908229488.41,2879556226.03,558722047.51,261711587.72,-297814213.54,166428899.06,-1167131308.89
688390.SH,20240426,20240331,1,-713270490.64,1186158720.87,320076497.52,144030864.94,-142134855.53,-85272532.46,-1140693686.97
688390.SH,20240426,20240331,1,-713270490.64,1186158720.87,320076497.52,144030864.94,-142134855.53,-85272532.46,
688390.SH,20240426,20231231,1,1034080763.77,7172288075.96,900136704.2,565301506.53,-542678306.05,-213293631.04,167673189.2799
688390.SH,20231028,20230930,1,1044533915.66,5553645720.26,679352463.17,403982044.33,-386452661.18,-151212291.23,728303360.4044
688390.SH,20231028,20230930,1,1044533915.66,5553645720.26,679352463.17,403982044.33,-386452661.18,-151212291.23,-156466498.55
688390.SH,20230830,20230630,1,706009275.58,3535072567.94,445241259.16,239938172.57,-310279828.19,-152820250.45,521408055.4602
688390.SH,20230427,20230331,1,107478995.84,1376339444.9,234832342.01,143390729.88,-181238788.05,15144010.05,-71070894.9451
688390.SH,20230427,20230331,1,107478995.84,1376339444.9,234832342.01,143390729.88,-181238788.05,15144010.05,-71070894.9451
688390.SH,20230427,20221231,1,874499725.85,4653835636.86,639437639.61,486022042.09,-503007412.15,-51900248.5,440801987.9339
688390.SH,20230427,20221231,1,874499725.85,4653835636.86,639437639.61,486022042.09,-503007412.15,-51900248.5,440801987.9339
688390.SH,20221029,20220930,1,365290375.33,2993813068.47,440645875.14,370681780.31,-293812010.96,-101307193.69,-71375994.9581
688390.SH,20220830,20220630,1,-34694718.96,1659775679.8,291596859.1,241143865.7,-196776232.36,-106741414.94,-292036018.57
688390.SH,20220426,20220331,1,-178966249.04,666164151.37,153567134.18,128871794.83,-131762076.17,-1255458.73,-303145918.071
688390.SH,20220426,20211231,1,296059990.52,2254662205.47,386210943.8,318657906.23,50776690.82,-110706196.46,339369794.7072
688390.SH,20220426,20211231,1,296059990.52,2254662205.47,386210943.8,318657906.23,50776690.82,-110706196.46,339369794.7072
688390.SH,20211028,20210930,1,69780193.09,1320042110.0,261526458.02,172431232.97,275394479.76,-108880749.0,15035030.1851
688390.SH,20210826,20210630,1,44299641.89,781598584.02,165593330.53,96875201.14,-18656213.41,-108357646.6,28692662.9396
688390.SH,20210428,20210331,1,-31825209.23,314378338.7,88680436.44,33144307.91,126076976.5,-1531263.28,-64229189.4686
688390.SH,20210423,20201231,1,439758484.1,1340526623.11,193571821.99,128611360.85,-728903017.43,731807948.03,-5815061.2104
688390.SH,20210423,20201231,1,439758484.1,1340526623.11,193571821.99,128611360.85,-728903017.43,731807948.03,-5815061.2104
688390.SH,20210428,20200331,1,1981300.69,196446288.0,42909860.4,34767427.63,-59753243.11,-19764695.51,
