ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ttm,total_share,float_share,total_mv,circ_mv
688390.SH,20260429,101.63,9.8833,2.14,183.0983,93.4225,8.683,2.7789,2.637,,24306.2217,24306.2217,2470241.3114,2470241.3114
688390.SH,20260428,88.3,4.7939,1.15,,157.7374,7.8209,3.1853,2.4153,,24306.2217,24306.2217,2146239.3761,2146239.3761
688390.SH,20260427,85.49,4.6973,1.14,,152.7177,7.572,3.084,2.3384,,24306.2217,24306.2217,2077938.8931,2077938.8931
688390.SH,20260424,89.54,3.6919,0.97,,159.9525,7.9307,3.2301,2.4492,,24306.2217,24306.2217,2176379.091,2176379.091
688390.SH,20260423,91.78,4.8907,1.43,,163.954,8.1291,3.3109,2.5105,,24306.2217,24306.2217,2230825.0276,2230825.0276
688390.SH,20260422,92.33,5.0171,1.6,,164.9365,8.1778,3.3307,2.5255,,24306.2217,24306.2217,2244193.4496,2244193.4496
688390.SH,20260421,88.44,2.5571,0.75,,157.9875,7.8333,3.1904,2.4191,,24306.2217,24306.2217,2149642.2471,2149642.2471
688390.SH,20260420,89.27,4.4714,1.27,,159.4702,7.9068,3.2203,2.4418,,24306.2217,24306.2217,2169816.4112,2169816.4112
688390.SH,20260417,87.34,2.0487,0.49,,156.0225,7.7359,3.1507,2.389,,24306.2217,24306.2217,2122905.4033,2122905.4033
688390.SH,20260416,86.91,3.0443,0.7,,155.2543,7.6978,3.1352,2.3773,,24306.2217,24306.2217,2112453.7279,2112453.7279
688390.SH,20260415,86.55,3.5826,0.78,,154.6112,7.6659,3.1222,2.3674,,24306.2217,24306.2217,2103703.4881,2103703.4881
688390.SH,20260414,89.98,3.8133,0.87,,160.7385,7.9697,3.2459,2.4612,,24306.2217,24306.2217,2187073.8286,2187073.8286
688390.SH,20260413,89.86,5.0541,1.23,,160.5241,7.9591,3.2416,2.458,,24306.2217,24306.2217,2184157.082,2184157.082
688390.SH,20260410,85.96,5.5863,1.4,,153.5573,7.6136,3.1009,2.3513,,24306.2217,24306.2217,2089362.8173,2089362.8173
688390.SH,20260409,82.22,3.7103,0.86,,146.8762,7.2824,2.966,2.249,,24306.2217,24306.2217,1998457.5482,1998457.5482
688390.SH,20260408,82.04,4.7975,1.06,,146.5547,7.2664,2.9595,2.2441,,24306.2217,24306.2217,1994082.4283,1994082.4283
688390.SH,20260407,83.21,2.7919,0.53,,148.6447,7.3701,3.0017,2.2761,,24306.2217,24306.2217,2022520.7077,2022520.7077
688390.SH,20260403,82.13,3.7168,0.66,,146.7154,7.2744,2.9628,2.2465,,24306.2217,24306.2217,1996269.9882,1996269.9882
688390.SH,20260402,86.0,4.9367,0.91,,153.6287,7.6172,3.1024,2.3524,,24306.2217,24306.2217,2090335.0662,2090335.0662
688390.SH,20260401,91.48,5.2686,0.97,,163.4181,8.1025,3.3001,2.5023,,24306.2217,24306.2217,2223533.1611,2223533.1611
688390.SH,20260331,94.55,5.9086,1.16,,168.9023,8.3745,3.4108,2.5863,,24306.2217,24306.2217,2298153.2617,2298153.2617
688390.SH,20260330,94.25,6.4229,1.26,,168.3664,8.3479,3.4,2.578,,24306.2217,24306.2217,2290861.3952,2290861.3952
688390.SH,20260327,99.45,5.4963,0.94,,177.6555,8.8085,3.5876,2.7203,,24306.2217,24306.2217,2417253.7481,2417253.7481
688390.SH,20260326,97.3,3.9995,0.65,,173.8148,8.618,3.51,2.6615,,24306.2217,24306.2217,2364995.3714,2364995.3714
688390.SH,20260325,98.86,5.3261,0.95,,176.6016,8.7562,3.5663,2.7041,,24306.2217,24306.2217,2402913.0773,2402913.0773
688390.SH,20260324,96.68,4.2974,0.78,,172.7073,8.5631,3.4876,2.6445,,24306.2217,24306.2217,2349925.514,2349925.514
688390.SH,20260323,97.69,6.3306,1.24,,174.5115,8.6526,3.5241,2.6721,,24306.2217,24306.2217,2374474.7979,2374474.7979
688390.SH,20260320,102.03,9.381,2.15,,182.2644,9.037,3.6806,2.7909,,24306.2217,24306.2217,2479963.8001,2479963.8001
688390.SH,20260319,97.1,5.3906,1.24,,173.4575,8.6003,3.5028,2.656,,24306.2217,24306.2217,2360134.1271,2360134.1271
688390.SH,20260318,92.97,2.7392,0.52,,166.0798,8.2345,3.3538,2.543,,24306.2217,24306.2217,2259749.4314,2259749.4314
688390.SH,20260317,93.46,3.7161,0.69,,166.9551,8.2779,3.3715,2.5564,,24306.2217,24306.2217,2271659.4801,2271659.4801
688390.SH,20260316,96.49,4.2343,0.72,,172.3678,8.5463,3.4808,2.6393,,24306.2217,24306.2217,2345307.3318,2345307.3318
688390.SH,20260313,99.08,5.7805,1.02,,176.9946,8.7757,3.5742,2.7102,,24306.2217,24306.2217,2408260.446,2408260.446
688390.SH,20260312,101.0,5.2133,0.95,,180.4244,8.9457,3.6435,2.7627,,24306.2217,24306.2217,2454928.3917,2454928.3917
688390.SH,20260311,102.2,7.2632,1.35,,182.5681,9.052,3.6868,2.7955,,24306.2217,24306.2217,2484095.8577,2484095.8577
688390.SH,20260310,97.19,4.5317,0.71,,173.6183,8.6083,3.506,2.6585,,24306.2217,24306.2217,2362321.687,2362321.687
688390.SH,20260309,101.0,6.6452,1.03,,180.4244,8.9548,3.6435,2.7627,,24306.2217,24299.6473,2454928.3917,2454264.3773
688390.SH,20260306,93.8,4.7014,0.69,,167.5625,8.3164,3.3838,2.5657,,24306.2217,24299.6473,2279923.5955,2279306.9167
688390.SH,20260305,94.06,4.3938,0.67,,168.0269,8.3395,3.3931,2.5729,,24306.2217,24299.6473,2286243.2131,2285624.825
688390.SH,20260304,97.69,6.732,1.11,,174.5115,8.6613,3.5241,2.6721,,24306.2217,24299.6473,2374474.7979,2373832.5447
688390.SH,20260303,98.34,9.4686,2.05,,175.6251,8.7166,3.5466,2.6892,,24299.6473,24299.6473,2389627.3155,2389627.3155
688390.SH,20260302,91.21,6.9335,1.84,,162.8917,8.0846,3.2894,2.4942,,24299.6473,24299.6473,2216370.8302,2216370.8302
