ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688390.SH,20260429,89.0,103.0,87.59,101.63,88.3,13.33,15.0963,240224.78,2319918.789
688390.SH,20260428,85.71,89.89,85.0,88.3,85.49,2.81,3.2869,116521.7,1019606.925
688390.SH,20260427,86.96,87.73,81.89,85.49,89.54,-4.05,-4.5231,114173.92,971484.653
688390.SH,20260424,91.5,91.5,88.04,89.54,91.78,-2.24,-2.4406,89735.07,802607.156
688390.SH,20260423,94.53,94.57,89.8,91.78,92.33,-0.55,-0.5957,118873.25,1096839.664
688390.SH,20260422,87.8,94.36,87.78,92.33,88.44,3.89,4.3985,121947.04,1112322.632
688390.SH,20260421,88.88,89.54,86.93,88.44,89.27,-0.83,-0.9298,62154.34,548443.293
688390.SH,20260420,86.66,91.49,85.69,89.27,87.34,1.93,2.2098,108682.75,969201.735
688390.SH,20260417,86.47,87.66,86.4,87.34,86.91,0.43,0.4948,49797.11,433437.762
688390.SH,20260416,87.34,88.42,85.6,86.91,86.55,0.36,0.4159,73994.81,643941.581
688390.SH,20260415,90.0,90.57,86.14,86.55,89.98,-3.43,-3.812,87078.67,764412.772
688390.SH,20260414,90.16,90.3,87.09,89.98,89.86,0.12,0.1335,92686.69,821052.833
688390.SH,20260413,86.55,92.46,84.55,89.86,85.96,3.9,4.537,122845.24,1108530.229
688390.SH,20260410,84.0,90.0,84.0,85.96,82.22,3.74,4.5488,135780.99,1183112.902
688390.SH,20260409,80.87,83.11,80.0,82.22,82.04,0.18,0.2194,90184.43,734803.016
688390.SH,20260408,84.3,84.56,81.31,82.04,83.21,-1.17,-1.4061,116608.14,962268.439
688390.SH,20260407,82.13,85.6,80.6,83.21,82.13,1.08,1.315,67861.5,566276.142
688390.SH,20260403,85.99,85.99,81.92,82.13,86.0,-3.87,-4.5,90340.9,751889.438
688390.SH,20260402,89.98,91.86,85.12,86.0,91.48,-5.48,-5.9904,119993.16,1048193.007
688390.SH,20260401,93.47,95.0,91.0,91.48,94.55,-3.07,-3.247,128058.89,1183367.572
688390.SH,20260331,93.34,100.0,90.93,94.55,94.25,0.3,0.3183,143616.9,1386729.567
688390.SH,20260330,98.3,100.0,89.04,94.25,99.45,-5.2,-5.2288,156116.49,1453270.755
688390.SH,20260327,97.78,103.25,96.52,99.45,97.3,2.15,2.2097,133593.68,1335191.206
688390.SH,20260326,98.81,100.5,94.51,97.3,98.86,-1.56,-1.578,97211.85,950920.661
688390.SH,20260325,96.68,100.98,93.7,98.86,96.68,2.18,2.2549,129457.34,1265539.066
688390.SH,20260324,99.0,99.99,92.91,96.68,97.69,-1.01,-1.0339,104454.76,1002856.075
688390.SH,20260323,100.88,104.57,97.01,97.69,102.03,-4.34,-4.2537,153874.16,1537933.395
688390.SH,20260320,96.78,108.55,96.51,102.03,97.1,4.93,5.0772,228016.09,2349297.038
688390.SH,20260319,93.22,98.5,93.0,97.1,92.97,4.13,4.4423,131024.92,1263545.798
688390.SH,20260318,94.37,94.38,91.38,92.97,93.46,-0.49,-0.5243,66579.26,617912.49
688390.SH,20260317,97.45,100.05,93.0,93.46,96.49,-3.03,-3.1402,90324.71,862471.142
688390.SH,20260316,99.34,101.23,95.3,96.49,99.08,-2.59,-2.614,102920.3,998551.658
688390.SH,20260313,100.5,105.0,98.22,99.08,101.0,-1.92,-1.901,140500.95,1434340.851
688390.SH,20260312,103.9,103.9,99.08,101.0,102.2,-1.2,-1.1742,126714.71,1276998.346
688390.SH,20260311,97.0,106.81,96.0,102.2,97.19,5.01,5.1549,176541.77,1814805.81
688390.SH,20260310,96.96,99.25,94.79,97.19,101.0,-3.81,-3.7723,110148.03,1069095.852
688390.SH,20260309,94.0,102.85,93.53,101.0,93.8,7.2,7.6759,161476.09,1598900.62
688390.SH,20260306,93.74,95.85,89.5,93.8,94.06,-0.26,-0.2764,114242.12,1066942.448
688390.SH,20260305,98.0,99.93,93.46,94.06,97.69,-3.63,-3.7158,106768.37,1018932.766
688390.SH,20260304,97.36,101.88,95.6,97.69,98.34,-0.65,-0.661,163586.19,1614535.473
688390.SH,20260303,97.15,104.99,97.0,98.34,91.21,7.13,7.8171,230083.36,2317275.933
688390.SH,20260302,84.89,92.97,84.82,91.21,87.1,4.11,4.7187,168480.62,1522600.234
