ts_code,ann_date,end_date,roe,roe_waa,roa,grossprofit_margin,netprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,current_ratio,quick_ratio,ocf_to_or,invturn_days,arturn_days,rd_exp
688390.SH,20260429,20260331,3.636,3.64,0.724,26.3294,4.188,462.0427,25.4218,71.3315,1.1284,0.6765,-0.0345,149.328,74.8877,155903971.7
688390.SH,20260429,20251231,4.918,4.87,1.5717,21.5135,1.8274,318.2697,31.9291,69.497,1.1058,0.7125,0.0725,136.695,57.0171,613698670.8
688390.SH,20251030,20250930,2.9682,2.91,1.3326,22.067,1.8721,837.575,25.3041,66.2789,1.1264,0.6535,-0.0053,150.8127,52.278,467165997.89
688390.SH,20250829,20250630,-0.6079,-0.6,0.218,19.9221,0.3769,30.3501,29.8041,64.4167,1.156,0.6966,-0.0107,139.9363,46.3237,293764001.25
688390.SH,20250429,20250331,-1.0231,-1.02,0.0324,19.4111,-0.5683,2.7521,67.1272,63.3041,1.1383,0.6703,-0.1347,150.2253,47.1921,
688390.SH,20250429,20250331,-1.0231,-1.02,0.0324,19.4111,-0.5683,2.7521,67.1272,63.3041,1.1383,0.6703,-0.1347,150.2253,47.1921,
688390.SH,20250429,20241231,-2.1564,-2.16,-0.4838,20.9503,-0.0524,-107.2539,-8.3619,63.362,1.1812,0.5898,-0.1177,160.5566,40.8358,551295106.55
688390.SH,20250429,20241231,-2.1564,-2.16,-0.4838,20.9503,-0.0524,-107.2539,-8.3619,63.362,1.1812,0.5898,-0.1177,160.5566,40.8358,551295106.55
688390.SH,20241030,20240930,0.2946,0.29,0.7565,23.0007,1.1534,-99.0309,-12.5117,60.4925,1.2425,0.5735,-0.2072,172.6784,41.6166,393313518.62
688390.SH,20240831,20240630,-0.8185,-0.81,-0.1088,22.7646,0.1475,-103.2171,-17.4742,60.0531,1.2504,0.5987,-0.2885,172.6784,45.8085,264948347.37
688390.SH,20240426,20240331,-0.9691,-0.97,-0.5449,27.4662,-1.7023,-108.5674,-34.499,54.7468,1.4202,0.715,-0.6334,237.9064,52.2952,135560241.14
688390.SH,20240426,20231231,32.5208,32.53,15.3701,30.7598,11.7811,31.2356,56.1,56.9676,1.3563,0.831,0.1406,126.6045,32.0818,469576082.32
688390.SH,20231028,20230930,33.9271,33.51,15.6323,34.1331,15.9044,224.4941,93.7956,57.6585,1.3588,0.9116,0.1849,120.9623,32.8647,340852923.31
688390.SH,20230830,20230630,29.0808,28.0,12.5892,35.5517,19.3076,1256.2044,162.6127,59.1834,1.3517,0.897,0.1851,123.4653,37.3816,214033241.75
688390.SH,20230427,20230331,13.8114,13.81,6.3079,39.0458,19.2802,3473.7207,164.5894,58.6366,1.3535,0.8284,0.0625,147.9776,38.8971,98362938.71
688390.SH,20230427,20230331,13.8114,13.81,6.3079,39.0458,19.2802,3473.7207,164.5894,58.6366,1.3535,0.8284,0.0625,147.9776,38.8971,98362938.71
688390.SH,20230427,20221231,33.1827,33.18,14.4454,32.455,13.5079,132.2744,75.8789,60.6618,1.2917,0.8119,0.1857,138.2223,36.2794,347822537.83
688390.SH,20230427,20221231,33.1827,33.18,14.4454,32.455,13.5079,132.2744,75.8789,60.6618,1.2917,0.8119,0.1857,138.2223,36.2794,347822537.83
688390.SH,20221029,20220930,15.6354,15.48,6.2095,30.9832,9.1304,27.8995,69.64,61.2774,1.2833,0.7281,0.1253,161.5992,38.1939,249347878.22
688390.SH,20221029,20220930,15.6354,15.48,6.2095,30.9832,9.1304,27.8995,69.64,61.2774,1.2833,0.7281,0.1253,161.5992,38.1939,249347878.22
688390.SH,20220830,20220630,3.3249,3.22,0.9093,29.1764,3.3937,-64.319,33.6071,61.1898,1.2689,0.6221,-0.0239,214.4133,36.424,152879941.1
688390.SH,20220830,20220630,3.3249,3.22,0.9093,29.1764,3.3937,-64.319,33.6071,61.1898,1.2689,0.6221,-0.0239,214.4133,36.424,152879941.1
688390.SH,20220426,20220331,0.5649,0.56,0.3042,30.1243,1.1174,-86.5385,46.163,56.3964,1.3962,0.8365,-0.2754,204.0816,42.2932,67949446.3
688390.SH,20220426,20220331,0.5649,0.56,0.3042,30.1243,1.1174,-86.5385,46.163,56.3964,1.3962,0.8365,-0.2754,204.0816,42.2932,67949446.3
688390.SH,20220426,20211231,17.9615,18.12,9.0913,31.662,10.3981,7.3955,68.5319,54.8339,1.4816,1.0507,0.1105,118.7688,30.8132,188465218.24
688390.SH,20220426,20211231,17.9615,18.12,9.0913,31.662,10.3981,7.3955,68.5319,54.8339,1.4816,1.0507,0.1105,118.7688,30.8132,188465218.24
688390.SH,20211028,20210930,14.166,14.16,8.0732,34.5535,12.3863,9.3325,65.1167,50.8255,1.6792,1.2364,0.0406,126.6417,31.3746,119438976.67
688390.SH,20211028,20210930,14.166,14.16,8.0732,34.5535,12.3863,9.3325,65.1167,50.8255,1.6792,1.2364,0.0406,126.6417,31.3746,119438976.67
688390.SH,20210826,20210630,10.3302,10.1,6.187,34.8993,13.9758,29.6603,84.8939,49.6906,1.7557,1.3629,0.0408,116.7315,32.2963,68576000.93
688390.SH,20210826,20210630,10.3302,10.1,6.187,34.8993,13.9758,29.6603,84.8939,49.6906,1.7557,1.3629,0.0408,116.7315,32.2963,68576000.93
688390.SH,20210428,20210331,4.6875,4.69,3.2146,37.8061,15.6316,86.3978,99.566,43.9756,2.011,1.6184,-0.0716,130.681,34.3826,28323896.7
688390.SH,20210428,20210331,4.6875,4.69,3.2146,37.8061,15.6316,86.3978,99.566,43.9756,2.011,1.6184,-0.0716,130.681,34.3826,28323896.7
