ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
688390.SH,20251231,户用系统销售,P,3109192634.08,340630285.48,2768562348.6,CNY
688390.SH,20251231,其他收入,P,634063525.53,176958478.34,457105047.19,CNY
688390.SH,20251231,其他业务,P,83000776.67,21789696.69,61211079.98,CNY
688390.SH,20251231,光伏并网逆变器,P,2560813149.95,517563010.77,2043250139.18,CNY
688390.SH,20251231,光伏储能逆变器,P,955952698.78,449404108.83,506548589.95,CNY
688390.SH,20251231,储能电池,P,1546166397.2,406029876.52,1140136520.68,CNY
688390.SH,20251231,其他业务(行业),I,83000776.67,21789696.69,61211079.98,CNY
688390.SH,20251231,光伏行业,I,8806188405.54,1890585759.94,6915602645.6,CNY
688390.SH,20251231,国外,D,3639334285.05,1199334562.56,2439999722.49,CNY
688390.SH,20251231,中国大陆,D,5249854897.16,713040894.07,4536814003.09,CNY
688390.SH,20251231,经销,455006000,3210546033.45,1060764894.14,2149781139.31,CNY
688390.SH,20251231,直销,455006000,5595642372.09,829820865.8,4765821506.29,CNY
688390.SH,20251231,其他业务(销售模式),455006000,83000776.67,21789696.69,61211079.98,CNY
688390.SH,20241231,用户保险系统,P,3059720116.44,431813075.01,2627907041.43,CNY
688390.SH,20241231,户用系统销售,P,3059720116.44,431813075.01,2627907041.43,CNY
688390.SH,20241231,其他收入,P,475038496.06,148522832.78,326515663.28,CNY
688390.SH,20241231,其他业务,P,51201500.25,12738585.68,38462914.57,CNY
688390.SH,20241231,光伏并网逆变器,P,2217323618.31,438662338.21,1778661280.1,CNY
688390.SH,20241231,光伏储能逆变器,P,461660197.77,229548164.88,232112032.89,CNY
688390.SH,20241231,储能电池,P,472911343.49,150313604.9,322597738.59,CNY
688390.SH,20241231,其他业务(行业),I,51201500.25,12738585.68,38462914.57,CNY
688390.SH,20241231,光伏行业,I,6686653772.07,1398860015.78,5287793756.29,CNY
688390.SH,20241231,国外,D,2004793928.75,738564762.38,1266229166.37,CNY
688390.SH,20241231,中国大陆,D,4733061343.57,673033839.08,4060027504.49,CNY
688390.SH,20241231,经销,455006000,1861215531.14,685239363.21,1175976167.93,CNY
688390.SH,20241231,直销,455006000,4825438240.93,713620652.57,4111817588.36,CNY
688390.SH,20241231,其他业务(销售模式),455006000,51201500.25,12738585.68,38462914.57,CNY
688390.SH,20231231,用户保险系统,P,1654294563.59,214113508.33,1440181055.26,CNY
688390.SH,20231231,技术服务等收入,P,55658464.45,20778549.15,34879915.3,CNY
688390.SH,20231231,户用系统销售,P,1654294563.59,214113508.33,1440181055.26,CNY
688390.SH,20231231,其他收入,P,346368531.97,93531199.39,252837332.58,CNY
688390.SH,20231231,其他业务,P,55658464.45,20778549.15,34879915.3,CNY
688390.SH,20231231,光伏并网逆变器,P,2861140966.42,841932039.84,2019208926.58,CNY
688390.SH,20231231,光伏储能逆变器,P,1566304262.77,874430938.49,691873324.28,CNY
688390.SH,20231231,储能电池,P,868914102.97,216884054.4,652030048.57,CNY
688390.SH,20231231,光伏行业,I,7297022427.72,2240891740.45,5056130687.27,CNY
688390.SH,20231231,国外,D,4333235663.85,1876111375.47,2457124288.38,CNY
688390.SH,20231231,中国大陆,D,3019445228.32,385558914.13,2633886314.19,CNY
688390.SH,20221231,用户保险系统,P,209690356.24,21651665.79,188038690.45,CNY
688390.SH,20221231,户用系统销售,P,209690356.24,21651665.79,188038690.45,CNY
688390.SH,20221231,其他收入,P,209483148.16,53371481.55,156111666.61,CNY
688390.SH,20221231,其他业务,P,20403178.39,13050664.44,7352513.95,CNY
688390.SH,20221231,光伏并网逆变器,P,2000946632.14,598032863.86,1402913768.28,CNY
688390.SH,20221231,光伏储能逆变器,P,1643081426.98,731206607.43,911874819.55,CNY
688390.SH,20221231,储能电池,P,626631797.14,111394324.45,515237472.69,CNY
688390.SH,20221231,光伏行业,I,4689833360.66,1515656943.08,3174176417.58,CNY
688390.SH,20221231,国外,D,3741502240.76,1388907493.95,2352594746.81,CNY
688390.SH,20221231,其他业务(地区),D,20403178.39,13050664.44,7352513.95,CNY
688390.SH,20221231,中国大陆,D,948331119.9,126749449.13,821581670.77,CNY
688390.SH,20211231,用户保险系统,P,174994285.85,23999772.04,150994513.81,CNY
688390.SH,20211231,户用系统销售,P,174994285.85,23999772.04,150994513.81,CNY
688390.SH,20211231,其他收入,P,53843550.51,17585682.61,36257867.9,CNY
688390.SH,20211231,其他业务,P,16751595.73,5376675.27,11374920.46,CNY
688390.SH,20211231,光伏并网逆变器,P,1954476408.18,608908460.99,1345567947.19,CNY
688390.SH,20211231,光伏储能逆变器,P,478047924.48,192074002.02,285973922.46,CNY
688390.SH,20211231,光伏行业,I,2661362169.02,842567917.66,1818794251.36,CNY
688390.SH,20211231,国外,D,1700478656.95,685783916.29,1014694740.66,CNY
688390.SH,20211231,其他业务(地区),D,16751595.73,5376675.27,11374920.46,CNY
688390.SH,20211231,中国大陆,D,960883512.07,156784001.37,804099510.7,CNY
