ts_code,ann_date,end_date,report_type,total_revenue,oper_cost,sell_exp,admin_exp,rd_exp,fin_exp,operate_profit,total_profit,n_income,n_income_attr_p,basic_eps,diluted_eps
688390.SH,20260429,20260331,1,2360529409.91,1739015650.15,197024243.01,97579377.34,155903971.7,84543642.63,66104066.14,65139213.94,98858829.98,101474348.22,0.41,0.41
688390.SH,20260429,20260331,1,2360529409.91,1739015650.15,197024243.01,97579377.34,155903971.7,84543642.63,66104066.14,65139213.94,98858829.98,101474348.22,0.41,0.41
688390.SH,20260429,20251231,1,8889189182.21,6976813725.58,695496655.37,372886243.89,613698670.8,21617620.99,106965314.62,104680643.93,162438450.88,134913396.53,0.56,0.56
688390.SH,20251030,20250930,1,6194276239.56,4827385934.77,499060491.57,278574332.12,467165997.89,-15929149.71,84661976.58,83223117.88,115960506.56,81119778.26,0.33,0.33
688390.SH,20250829,20250630,1,4085839240.31,3271852745.17,310392956.57,182545835.31,293764001.25,-29945514.56,-2207192.31,-3049138.86,15398669.86,-16597979.91,-0.07,-0.07
688390.SH,20250829,20250630,1,4085839240.31,3271852745.17,310392956.57,182545835.31,293764001.25,-29945514.56,-2207192.31,-3049138.86,15398669.86,-16597979.91,-0.07,-0.07
688390.SH,20250429,20250331,1,1882073404.8,1516742729.23,132841974.05,85943451.66,138734567.24,1827593.16,-9546318.79,-9870721.5,-10695376.18,-28028280.96,-0.12,-0.12
688390.SH,20250429,20241231,1,6737855272.32,5326256670.86,535546260.7,324096267.43,551295106.55,25066984.76,-62956487.61,-66759077.98,-3533361.66,-61810412.84,-0.26,-0.25
688390.SH,20241030,20240930,1,4943394265.8,3806377937.66,390640332.64,239270537.91,393313518.62,14406013.68,44065067.13,39974685.92,57016453.4,8652084.37,0.04,0.04
688390.SH,20240831,20240630,1,3147697568.32,2431135488.5,256092515.68,161241051.22,264948347.37,3349576.64,-13314043.44,-14297943.03,4642511.55,-23830602.29,-0.1,-0.1
688390.SH,20240426,20240331,1,1126132578.17,816827219.69,113353434.89,77007515.68,135560241.14,2538980.34,-36824443.57,-38849044.58,-19170005.19,-28821465.63,-0.17,-0.17
688390.SH,20240426,20231231,1,7352680892.17,5091010602.57,493419172.04,288172567.0,469576082.32,-123663719.02,1006529274.32,1003767766.14,866223746.41,852097089.84,4.94,4.9
688390.SH,20231028,20230930,1,5650348075.44,3721711413.74,342123878.45,200385779.28,340852923.31,-96439924.51,1029499740.55,1028123898.32,898651327.17,892832656.14,5.17,5.14
688390.SH,20230830,20230630,1,3814199531.81,2458185422.66,219874890.79,131256836.38,214033241.75,-118697952.89,815165530.63,813678916.8,736430433.5,740759455.48,4.29,4.26
688390.SH,20230830,20230630,1,3814199531.81,2458185422.66,219874890.79,131256836.38,214033241.75,-118697952.89,815165530.63,813678916.8,736430433.5,740759455.48,4.29,4.26
688390.SH,20230427,20230331,1,1719259184.63,1047961532.67,102062765.31,61200545.68,98362938.71,-3303645.31,380396511.74,379506372.05,331477053.13,336407103.33,2.73,2.71
688390.SH,20230427,20221231,1,4710236539.05,3181528931.53,339223766.88,196611455.0,347822537.83,-94914408.65,695140623.14,690084661.75,636253117.83,649288216.9,5.27,5.23
688390.SH,20230427,20221231,1,4710236539.05,3181528931.53,339223766.88,196611455.0,347822537.83,-94914408.65,695140623.14,690084661.75,636253117.83,649288216.9,5.27,5.23
688390.SH,20221029,20220930,1,2915622242.03,2012268077.27,236210434.54,139080285.72,249347878.22,-13530776.39,272537219.14,270469039.37,266207081.71,275146024.57,2.23,2.22
688390.SH,20220830,20220630,1,1452405069.72,1028645719.45,147584297.82,83279180.83,152879941.1,-4342836.24,41920997.36,39718065.49,49290156.36,54620046.07,0.44,0.44
688390.SH,20220426,20220331,1,649783898.18,454041203.21,68215211.9,37272651.86,67949446.3,9564758.7,9453189.4,9385119.61,7260870.08,9413357.48,0.11,0.11
688390.SH,20220426,20220331,1,649783898.18,454041203.21,68215211.9,37272651.86,67949446.3,9564758.7,9453189.4,9385119.61,7260870.08,9413357.48,0.11,0.11
688390.SH,20220426,20211231,1,2678113764.75,1830169171.82,210819470.59,105894714.12,188465218.24,41539819.72,296484309.19,296133129.87,278471842.55,279535000.04,3.1765,3.1746
688390.SH,20220426,20211231,1,2678113764.75,1830169171.82,210819470.59,105894714.12,188465218.24,41539819.72,296484309.19,296133129.87,278471842.55,279535000.04,3.1765,3.1746
688390.SH,20211028,20210930,1,1718711968.38,1124836655.18,137488979.53,76152383.59,119438976.67,18333586.49,241011653.5,241540288.21,212885211.22,215126701.49,2.44,2.44
688390.SH,20210826,20210630,1,1087071454.87,707690961.28,81741699.51,39771277.18,68576000.93,11620400.42,174394666.9,174557929.51,151926981.91,153078727.01,1.74,1.74
688390.SH,20210428,20210331,1,444561202.14,276489736.43,34163797.74,17534277.84,28323896.7,4781520.88,81230687.9,81360746.52,69492173.52,69928007.4,0.79,0.79
688390.SH,20210423,20201231,1,1589084062.93,991539879.89,130808804.05,56842032.29,92002826.49,6005899.61,302035504.8,302554667.81,258809477.14,260285504.55,3.64,3.64
688390.SH,20210423,20201231,1,1589084062.93,991539879.89,130808804.05,56842032.29,92002826.49,6005899.61,302035504.8,302554667.81,258809477.14,260285504.55,3.64,3.64
688390.SH,20210428,20200331,1,222764018.2,121722821.48,21865169.8,10604361.34,13792623.73,4013142.44,46416800.42,46204009.96,37309684.02,37515463.0,0.57,0.57
