ts_code,name,industry,market,list_date,act_name,total_mv,pe_ttm,pb,employees,mv_亿,top1_holder,top1_hold_ratio,latest_holder_end_date,founder_best_ratio,founder_best_rank,mgr_latest_ann_date,mgr_count,mgr_avg_age,mgr_high_edu_ratio,mgr_high_edu_count,mgr_edu_sample_n,founder_major_holder,young_mgmt,high_edu_mgmt,mgr_data_ok,all_match_proxy
001313.SZ,粤海饲料,饲料,主板,20220216,郑石轩,588700.0,716.6427,2.3088,3129.0,58.87,湛江市对虾饲料有限公司,37.8017,20250930,,,20251114,1.0,47.0,0.0,0.0,1.0,False,False,False,False,False
301552.SZ,科力装备,汽车配件,创业板,20240722,张万武,420498.4,27.0885,3.552,1388.0,42.04984,张万武,29.4646,20251231,29.4646,1.0,20250630,11.0,46.0,0.2727272727272727,3.0,11.0,True,False,False,True,False
605028.SH,世茂能源,供气供热,主板,20210712,李立峰,477600.0,27.7059,3.4819,211.0,47.76,宁波世茂投资控股有限公司,60.0,20251231,,,20251010,3.0,52.333333333333336,0.0,0.0,3.0,False,False,False,True,False
920496.BJ,许昌智能,电气设备,北交所,20240126,张洪涛,159779.875,147.6724,2.8424,640.0,15.9779875,张洪涛,15.7484,20250930,15.7484,1.0,20250829,1.0,35.0,0.0,0.0,1.0,True,True,False,False,False
301288.SZ,*ST清研,环境保护,创业板,20220422,刘淑杰,205543.03,,2.5865,129.0,20.554303,刘淑杰,18.1259,20251231,18.1259,1.0,20251230,1.0,44.0,0.0,0.0,1.0,True,True,False,False,False
301118.SZ,恒光股份,化工原料,创业板,20211118,曹立祥,271193.3404,,2.0234,923.0,27.11933404,湖南洪江恒光投资管理有限公司,44.3753,20250930,2.6689,5.0,20251211,2.0,34.0,0.0,0.0,2.0,False,True,False,False,False
688217.SH,睿昂基因,医疗保健,科创板,20210517,熊慧,161144.26,,1.9073,401.0,16.114426,熊慧,18.219,20251231,18.219,1.0,20251011,3.0,37.333333333333336,1.0,3.0,3.0,True,True,True,True,True
603282.SH,亚光股份,专用机械,主板,20230315,陈国华,283296.94,23.1847,2.1432,890.0,28.329694,陈国华,26.117,20250930,26.117,1.0,20251219,3.0,58.666666666666664,0.3333333333333333,1.0,3.0,True,False,False,True,False
301050.SZ,雷电微力,航空,创业板,20210824,邓洁茹,1259051.5869,100.2344,3.9932,434.0,125.90515869,邓洁茹,19.3311,20250930,19.3311,1.0,20251113,14.0,46.07142857142857,0.5714285714285714,8.0,14.0,True,False,True,True,False
603261.SH,*ST立航,航空,主板,20220315,刘随阳,284520.9358,,4.2789,641.0,28.452093579999996,刘随阳,63.3509,20250930,63.3509,1.0,20251211,3.0,45.0,0.0,0.0,3.0,True,True,False,True,False
301113.SZ,雅艺科技,家居用品,创业板,20211222,叶跃庭,233870.0,308.5632,3.4205,524.0,23.387,叶跃庭,52.008,20251231,52.008,1.0,20250826,3.0,49.666666666666664,0.3333333333333333,1.0,3.0,True,False,False,True,False
001333.SZ,光华股份,化工原料,主板,20221208,孙杰风,319744.0,24.6947,1.8659,364.0,31.9744,孙杰风,49.2188,20250930,49.2188,1.0,20251112,1.0,37.0,0.0,0.0,1.0,True,True,False,False,False
920879.BJ,基康技术,电器仪表,北交所,20221220,蒋小钢,392028.9702,47.4544,6.1324,350.0,39.202897019999995,蒋小钢,28.9531,20251231,28.9531,1.0,20250906,3.0,54.0,0.0,0.0,3.0,True,False,False,True,False
920403.BJ,康农种业,种植业,北交所,20240118,方燕丽,223562.43,27.839,3.9867,153.0,22.356243,方燕丽,51.5624,20250930,51.5624,1.0,20250717,13.0,47.46153846153846,0.38461538461538464,5.0,13.0,True,False,False,True,False
688489.SH,三未信安,IT设备,科创板,20221202,张岳公,459686.6072,,2.5056,875.0,45.96866072,张岳公,20.5649,20251231,20.5649,1.0,20250909,3.0,43.666666666666664,0.6666666666666666,2.0,3.0,True,True,True,True,True
603209.SH,兴通股份,水运,主板,20220324,陈兴明,473850.0,17.8032,1.4256,731.0,47.385,陈兴明,24.3492,20250930,24.3492,1.0,20251111,4.0,47.5,0.25,1.0,4.0,True,False,False,True,False
600955.SH,维远股份,化工原料,主板,20210915,徐云亭,1024650.0,,1.3489,1548.0,102.465,维远控股有限责任公司,19.7704,20251231,1.9091,7.0,20250913,1.0,45.0,0.0,0.0,1.0,False,True,False,False,False
301429.SZ,森泰股份,其他建材,创业板,20230417,唐圣卫,235021.36,45.3924,1.7465,1022.0,23.502136,唐道远,35.248,20250930,4.0693,9.0,20250709,12.0,49.25,0.125,1.0,8.0,False,False,False,True,False
605180.SH,华生科技,纺织,主板,20210430,蒋生华,251810.0,94.238,2.2028,267.0,25.181,蒋瑜慧,37.4063,20250930,8.0156,5.0,20251118,4.0,38.5,0.25,1.0,4.0,False,True,False,True,False
920003.BJ,中诚咨询,建筑工程,北交所,20251107,许学雷,183335.5722,18.0961,3.2468,898.0,18.33355722,许学雷,57.3985,20250630,57.3985,1.0,20251230,1.0,51.0,1.0,1.0,1.0,True,False,True,False,False
001360.SZ,南矿集团,工程机械,主板,20230410,李顺山,451860.0,88.1722,3.1874,841.0,45.186,李顺山,36.3599,20250930,36.3599,1.0,,,,,,,True,False,False,False,False
301300.SZ,远翔新材,化工原料,创业板,20220819,王承辉,289854.696,36.2039,3.617,368.0,28.9854696,王承辉,46.8181,20250930,46.8181,1.0,20250915,1.0,38.0,0.0,0.0,1.0,True,True,False,False,False
605138.SH,盛泰集团,服饰,主板,20211027,徐磊,380010.8998,83.0873,1.5768,13053.0,38.00108998,宁波盛泰纺织有限公司,32.3322,20250930,,,20250917,3.0,41.666666666666664,0.6666666666666666,2.0,3.0,False,True,True,True,False
605365.SH,立达信,家用电器,主板,20210720,李江淮,1262060.3703,47.3927,3.3851,7978.0,126.20603703,李江淮,24.2026,20250930,24.2026,1.0,20250913,12.0,47.583333333333336,0.6666666666666666,8.0,12.0,True,False,True,True,False
688575.SH,亚辉龙,医疗保健,科创板,20210517,胡鹍辉,828513.035,344.9407,3.0709,1753.0,82.8513035,胡鹍辉,36.9466,20250930,36.9466,1.0,20251227,3.0,46.333333333333336,0.3333333333333333,1.0,3.0,True,False,False,True,False
