ts_code,name,industry,list_date,trade_date,total_mv,pe_ttm,pb,fina_end_date,roe_used,roe,roe_yearly,pe_hist_n,pb_hist_n,pe_percentile_5y,pb_percentile_5y,total_revenue,n_income_attr_p,total_assets,total_liab,n_cashflow_act,market_cap_yi,debt_asset_ratio_pct,net_margin_pct,roa_est_pct,ocf_to_profit,value_score,valuation_low_by,latest_annual_end,revenue_yoy_pct,profit_yoy_pct
600132.SH,重庆啤酒,啤酒,19971030,20260414,2616832.2676,21.2596,19.0037,20250930,103.8034,77.8526,103.8034,36,36,0.027777777777777776,0.1388888888888889,14721871107.45,1230897085.41,10690758918.93,7830279049.2,2624190299.49,261.68322675999997,73.24343490091258,8.361009795739244,11.51365487468308,2.1319331490787525,0.027777777777777776,PE&PB,20251231,0.527657132147108,10.434664248077414
605499.SH,东鹏饮料,软饮料,20210527,20260414,10800071.8501,24.4608,5.6345,20250930,60.8329,45.6247,60.8329,36,36,0.027777777777777776,0.027777777777777776,20875273117.52,4415263147.79,26720734868.03,17296937481.94,6174239867.75,1080.00718501,64.7322671601929,21.150684462587463,16.523733982603293,1.39838547807517,0.027777777777777776,PE&PB,20251231,31.797893836349523,32.72165806008516
603268.SH,*ST松发,船舶,20150319,20260414,10673707.4415,40.2082,11.2924,20250930,42.0131,31.5098,42.0131,36,36,0.027777777777777776,0.3333333333333333,21639152774.73,2654607744.11,49392022895.44,39939893787.26,-1457675614.45,1067.37074415,80.8630451759597,12.267614040832624,5.374567771256602,-0.5491114902698022,0.027777777777777776,PE,20251231,7774.100256326563,3563.626879334702
002847.SZ,盐津铺子,食品,20170208,20260414,1499903.2345,20.0411,7.0328,20250930,41.6525,31.2394,41.6525,36,36,0.027777777777777776,0.027777777777777776,5762229731.44,748413603.64,4081986689.77,1921349703.41,908977875.88,149.99032345,47.068985017152485,12.988263892994231,18.334542969373803,1.2145394892063377,0.027777777777777776,PE&PB,20251231,8.64067752202905,16.949515470309855
688278.SH,特宝生物,生物制药,20200117,20260414,2583839.4084,25.0557,7.4903,20250930,31.9336,23.9502,31.9336,36,36,0.027777777777777776,0.027777777777777776,3695567867.63,1031236252.58,4373520620.54,923941968.0,729375868.86,258.38394084,21.125817119982404,27.9046763452173,23.579087468728407,0.7072829984741226,0.027777777777777776,PE&PB,20251231,31.18069877010362,24.605300753340632
600550.SH,保变电气,电气设备,20010228,20260414,2749402.0206,120.4454,30.8101,20250930,28.1441,21.1081,28.1441,36,36,0.027777777777777776,0.027777777777777776,1635180382.71,59563649.0,8071095086.77,7060899432.2,-298908802.47,274.94020206,87.48378449628359,3.642634759431531,0.7379872044579887,-5.018309111149319,0.027777777777777776,PE&PB,20251231,20.418176583588828,104.53678441182515
600415.SH,小商品城,商品城,20020509,20260414,6728327.1703,16.0063,2.932,20250930,21.5972,16.1979,21.5972,36,36,0.027777777777777776,0.027777777777777776,19927252694.51,4203546946.97,44405436378.39,21376745042.11,10529211443.0,672.83271703,48.139927868185616,21.09446300205791,9.466289017296235,2.504839740303047,0.027777777777777776,PE&PB,20251231,26.62366752296673,36.759531668479845
603233.SH,大参林,医药商业,20170731,20260414,1942874.8023,17.0783,2.9195,20250930,20.4055,15.3041,20.4055,36,36,0.027777777777777776,0.027777777777777776,20068245786.99,1080996345.45,26081775688.25,17591270341.48,3729111877.62,194.28748023,67.44659777671876,5.3866010857351405,4.14464244448278,3.4496988757789326,0.027777777777777776,PE&PB,20241231,8.010784702104226,-21.581107909279307
000933.SZ,神火股份,铝,19990831,20260414,7828784.3129,14.013,2.9109,20250930,20.3885,15.2914,20.3885,36,36,0.027777777777777776,0.19444444444444445,12408562541.64,2289691883.17,52722409210.39,21553474810.26,4039054901.65,782.87843129,40.881050644424,18.452515152229545,4.342919675830691,1.7640167794358719,0.027777777777777776,PE&PB,20251231,7.474326094516756,-6.998735947608163
603816.SH,顾家家居,家居用品,20161014,20260414,2519391.8088,15.7814,2.4396,20250930,20.3387,15.254,20.3387,36,36,0.027777777777777776,0.027777777777777776,15012062977.42,1538530266.62,17664219986.45,7024929043.18,1855065884.54,251.93918088,39.76925699843375,10.248626514118278,8.709868127775735,1.2057389606090738,0.027777777777777776,PE&PB,20241231,-3.8117446413533242,-29.38355880005728
